"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Crabp1",3.2689,0,0,0.871,0.08,"Yes","Male-higher"
"S100a4",2.3901,0,0,0.998,0.814,"Yes","Male-higher"
"Col1a1",2.2435,0,0,0.73,0.145,"Yes","Male-higher"
"Bgn",2.11,0,0,0.911,0.161,"Yes","Male-higher"
"Lgals3",2.0908,0,0,0.767,0.102,"Yes","Male-higher"
"Col1a2",2.0306,0,0,0.7,0.14,"Yes","Male-higher"
"Mt1",1.8353,0,0,0.861,0.317,"Yes","Male-higher"
"Gm42047",1.6897,0,0,0.656,0.013,"Yes","Male-higher"
"Emp2",1.4907,0,0,0.818,0.248,"Yes","Male-higher"
"Sorbs2",1.4801,0,0,0.79,0.337,"Yes","Male-higher"
"Sox6",1.3421,0,0,0.596,0.108,"Yes","Male-higher"
"Meis2",1.3353,0,0,0.891,0.571,"Yes","Male-higher"
"Rpl22l1",1.3101,0,0,0.93,0.633,"Yes","Male-higher"
"Rps26",1.2681,0,0,1,0.991,"Yes","Male-higher"
"Npas3",1.2531,1.41351890392013e-197,4.56354578130613e-193,0.897,0.723,"Yes","Male-higher"
"Scd2",1.2344,0,0,0.9,0.591,"Yes","Male-higher"
"Mgp",1.2038,2.5662399612788e-117,8.2851057149886e-113,0.727,0.454,"Yes","Male-higher"
"Efemp1",1.1786,0,0,0.543,0.066,"Yes","Male-higher"
"Crlf1",1.1675,0,0,0.616,0.156,"Yes","Male-higher"
"Tm4sf1",1.1613,1.23425322998336e-233,3.98478655300127e-229,0.677,0.261,"Yes","Male-higher"
"Rps12",1.1064,0,0,1,0.995,"Yes","Male-higher"
"Tubb2b",1.1028,0,0,0.531,0.068,"Yes","Male-higher"
"Adgrl3",1.0905,6.64316360465343e-212,2.14474536976236e-207,0.775,0.411,"Yes","Male-higher"
"Snrpf",1.0821,0,0,0.893,0.611,"Yes","Male-higher"
"Rps24",1.0567,0,0,0.995,0.987,"Yes","Male-higher"
"2410006H16Rik",1.0456,5.27610254341952e-248,1.70338970614299e-243,0.879,0.644,"Yes","Male-higher"
"Cxcl14",1.0164,1.47495422929483e-240,4.76188972927837e-236,0.559,0.166,"Yes","Male-higher"
"Slc4a7",1.0141,4.51818320452009e-216,1.45869544757931e-211,0.73,0.372,"Yes","Male-higher"
"Mt2",1.0057,1.48408492509954e-175,4.79136818068385e-171,0.527,0.189,"Yes","Male-higher"
"Nav3",0.9836,0,0,0.518,0.059,"Yes","Male-higher"
"Msln",0.9782,0,0,0.456,0.062,"Yes","Male-higher"
"Gas5",0.9602,1.83428539655556e-295,5.92199040277961e-291,0.956,0.83,"Yes","Male-higher"
"Mgst3",0.9582,3.8887612228453e-293,1.2554865607956e-288,0.601,0.156,"Yes","Male-higher"
"Cd109",0.9581,5.39055874170573e-298,1.7403418897597e-293,0.57,0.133,"Yes","Male-higher"
"Tpt1",0.9468,0,0,0.995,0.981,"Yes","Male-higher"
"Nr2f2",0.9306,1.43608918635979e-174,4.6364139381626e-170,0.768,0.512,"Yes","Male-higher"
"Rpl38",0.9274,0,0,0.994,0.979,"Yes","Male-higher"
"Mif",0.9205,6.0172401471315e-298,1.94266598150141e-293,0.966,0.901,"Yes","Male-higher"
"Rps28",0.9044,0,0,0.993,0.979,"Yes","Male-higher"
"Peg10",0.9036,2.41187834508993e-33,7.78674923712285e-29,0.499,0.379,"Yes","Male-higher"
"Fbn2",0.8995,7.22887074074601e-188,2.33384091864985e-183,0.502,0.157,"Yes","Male-higher"
"Unc13c",0.8993,3.36789189499557e-226,1.08732389829932e-221,0.403,0.073,"Yes","Male-higher"
"Fdps",0.8976,1.49461103576215e-169,4.82535172895812e-165,0.789,0.513,"Yes","Male-higher"
"Tuba1a",0.8818,3.54735913430661e-254,1.14526489651089e-249,0.969,0.917,"Yes","Male-higher"
"Eya4",0.8809,1.13816439825471e-205,3.67456375976533e-201,0.529,0.16,"Yes","Male-higher"
"Csrp2",0.8788,1.16007190493622e-167,3.74529214508659e-163,0.892,0.741,"Yes","Male-higher"
"Rpl41",0.8726,0,0,0.999,0.998,"Yes","Male-higher"
"Rpl15",0.8665,0,0,0.994,0.984,"Yes","Male-higher"
"Rps20",0.8406,0,0,0.998,0.993,"Yes","Male-higher"
"Tcf4",0.8354,3.06992200307895e-175,9.91124318694039e-171,0.954,0.841,"Yes","Male-higher"
"Rpl23a",0.8345,0,0,0.994,0.985,"Yes","Male-higher"
"Spp1",0.8305,1.26480918987011e-97,4.08343646949564e-93,0.894,0.759,"Yes","Male-higher"
"Mrpl52",0.822,9.67128099437345e-182,3.12237306903347e-177,0.723,0.383,"Yes","Male-higher"
"Rpl10a",0.8094,0,0,0.99,0.983,"Yes","Male-higher"
"Capg",0.8043,3.04346453176168e-261,9.82582524079257e-257,0.49,0.098,"Yes","Male-higher"
"Uty",0.7786,0,0,0.35,0,"Yes","Male-higher"
"Mrpl33",0.7768,9.7559383160855e-147,3.1497046853482e-142,0.71,0.416,"Yes","Male-higher"
"Rpl3",0.7762,0,0,0.984,0.973,"Yes","Male-higher"
"Hcfc1r1",0.7667,2.35757088821114e-155,7.61141761258966e-151,0.834,0.606,"Yes","Male-higher"
"Hmga2",0.7639,5.65002279546866e-64,1.82410985951706e-59,0.797,0.685,"Yes","Male-higher"
"Myo1d",0.7563,1.2409402935362e-164,4.00637573768164e-160,0.382,0.097,"Yes","Male-higher"
"Aebp1",0.7519,5.96911679311738e-161,1.92712935665795e-156,0.418,0.111,"Yes","Male-higher"
"Kalrn",0.7519,2.23778460163941e-142,7.22468758639284e-138,0.441,0.151,"Yes","Male-higher"
"Lpar1",0.747,1.99998114095791e-245,6.4569391135826e-241,0.388,0.056,"Yes","Male-higher"
"Sox2ot",0.7364,2.6349640529925e-107,8.50698144508627e-103,0.395,0.148,"Yes","Male-higher"
"2200002D01Rik",0.7296,3.84201375766641e-195,1.2403941416626e-190,0.485,0.141,"Yes","Male-higher"
"Ptma",0.7294,2.17068982328942e-267,7.00807209448988e-263,0.984,0.974,"Yes","Male-higher"
"Nrn1",0.7286,2.18259971968272e-299,7.04652319499566e-295,0.383,0.032,"Yes","Male-higher"
"Sec61g",0.7244,3.61692346641347e-172,1.16772374113159e-167,0.908,0.74,"Yes","Male-higher"
"Rps15",0.7221,0,0,0.999,0.994,"Yes","Male-higher"
"Wls",0.7217,1.17990517077825e-185,3.80932384385757e-181,0.637,0.241,"Yes","Male-higher"
"Flnb",0.7201,2.99878260496956e-150,9.68156964014421e-146,0.906,0.722,"Yes","Male-higher"
"Pfn1",0.7165,1.28666492607462e-229,4.15399771383191e-225,0.968,0.902,"Yes","Male-higher"
"Rpl19",0.7162,0,0,0.997,0.992,"Yes","Male-higher"
"Mt3",0.7084,1.48832200846604e-38,4.80504760433262e-34,0.317,0.181,"Yes","Male-higher"
"Vcam1",0.7076,1.47609361680945e-177,4.76556824186931e-173,0.484,0.147,"Yes","Male-higher"
"Rai14",0.7037,2.6617691794451e-109,8.5935217958385e-105,0.646,0.372,"Yes","Male-higher"
"Rps27a",0.7004,0,0,0.992,0.992,"Yes","Male-higher"
"Gsn",0.6987,4.51931360159803e-128,1.45906039627592e-123,0.842,0.613,"Yes","Male-higher"
"Ankrd28",0.6948,2.01300433266447e-116,6.49898448800724e-112,0.66,0.378,"Yes","Male-higher"
"Tkt",0.6924,7.08592739566677e-148,2.28769165969102e-143,0.734,0.438,"Yes","Male-higher"
"Rpl37",0.6909,0,0,0.997,0.996,"Yes","Male-higher"
"Nr2f1",0.6902,1.52711287324679e-233,4.93028391127725e-229,0.402,0.066,"Yes","Male-higher"
"P3h4",0.6845,3.10000083363823e-199,1.0008352691401e-194,0.42,0.095,"Yes","Male-higher"
"Ppia",0.6832,0,0,0.998,0.994,"Yes","Male-higher"
"Rps29",0.6828,0,0,0.993,0.994,"Yes","Male-higher"
"Cdkn2a",0.68,1.71358384163171e-135,5.53230543270799e-131,0.853,0.68,"Yes","Male-higher"
"Rpl26",0.6752,0,0,0.993,0.988,"Yes","Male-higher"
"Ptch1",0.6718,1.27679551532227e-67,4.12213432121796e-63,0.386,0.19,"Yes","Male-higher"
"Myo1b",0.6707,2.10349020074698e-255,6.79111811311162e-251,0.351,0.035,"Yes","Male-higher"
"Rpl23",0.6706,0,0,0.994,0.993,"Yes","Male-higher"
"Rpl27",0.6681,1.67538463560128e-306,5.40897929603872e-302,0.986,0.98,"Yes","Male-higher"
"Oaz1",0.6678,1.04030440678897e-200,3.35862277731819e-196,0.957,0.909,"Yes","Male-higher"
"Farp1",0.6667,5.65913220652191e-95,1.8270508328756e-90,0.678,0.431,"Yes","Male-higher"
"Ube2e2",0.6634,1.36431251017765e-88,4.40468293910854e-84,0.611,0.361,"Yes","Male-higher"
"Nedd8",0.6615,2.80940262114794e-141,9.07015636237612e-137,0.861,0.676,"Yes","Male-higher"
"Thoc7",0.6565,2.12303305575458e-112,6.85421222050365e-108,0.72,0.477,"Yes","Male-higher"
"Pdlim2",0.647,9.56693557822673e-97,3.0886851514305e-92,0.687,0.436,"Yes","Male-higher"
"Nid2",0.6417,1.32971187903282e-138,4.29297480145747e-134,0.492,0.189,"Yes","Male-higher"
"Dpysl2",0.6406,1.80649134969694e-117,5.83225732249658e-113,0.597,0.309,"Yes","Male-higher"
"Msi2",0.6403,1.20618577638713e-96,3.89417077906586e-92,0.726,0.472,"Yes","Male-higher"
"Ndufc2",0.6348,8.12296738958321e-110,2.62250002172694e-105,0.748,0.511,"Yes","Male-higher"
"Arhgap24",0.6322,3.43930937029918e-117,1.11038103020109e-112,0.364,0.113,"Yes","Male-higher"
"Lsm7",0.6287,4.0045922292712e-101,1.29288260122021e-96,0.72,0.495,"Yes","Male-higher"
"Pcdh9",0.6269,1.70821456993517e-168,5.5149707390357e-164,0.287,0.041,"Yes","Male-higher"
"Ecm1",0.6257,1.91151342265072e-88,6.17132108502787e-84,0.564,0.329,"Yes","Male-higher"
"Rpl39",0.6255,2.11120728989133e-285,6.81603273541418e-281,0.995,0.99,"Yes","Male-higher"
"Psmb5",0.6251,5.13704164207555e-135,1.65849389414409e-130,0.885,0.726,"Yes","Male-higher"
"Nrp2",0.6138,1.30000725462716e-128,4.19707342156377e-124,0.457,0.168,"Yes","Male-higher"
"Apex1",0.6138,2.39548673400947e-118,7.73382892074957e-114,0.571,0.284,"Yes","Male-higher"
"Ctnnd2",0.6135,8.36888676248284e-102,2.70189509126759e-97,0.562,0.293,"Yes","Male-higher"
"Arid5b",0.6097,4.96276844219275e-99,1.60222979156193e-94,0.862,0.725,"Yes","Male-higher"
"Tinagl1",0.6096,8.41756011427198e-198,2.71760928289271e-193,0.355,0.058,"Yes","Male-higher"
"Pantr1",0.6093,3.79636009709081e-110,1.22565485734577e-105,0.432,0.171,"Yes","Male-higher"
"Apbb2",0.6076,1.12441066424329e-80,3.63015982950946e-76,0.67,0.434,"Yes","Male-higher"
"Eif2s3y",0.6047,0,0,0.314,0,"Yes","Male-higher"
"Cstb",0.5987,1.91660769109329e-79,6.18776793069467e-75,0.695,0.497,"Yes","Male-higher"
"Epb41l4a",0.5953,6.16598440412294e-107,1.99068806487109e-102,0.541,0.263,"Yes","Male-higher"
"Fads3",0.5938,2.35770088886099e-244,7.6118373196877e-240,0.361,0.041,"Yes","Male-higher"
"Kazald1",0.5905,9.80581713844289e-214,3.16580806314629e-209,0.257,0.014,"Yes","Male-higher"
"Rpl36a",0.5894,1.46091989080405e-204,4.71657986746086e-200,0.982,0.955,"Yes","Male-higher"
"Rps27l",0.5863,3.4888168141303e-134,1.12636450844197e-129,0.934,0.839,"Yes","Male-higher"
"Marcks",0.5859,4.46477197215263e-109,1.44145163120948e-104,0.902,0.799,"Yes","Male-higher"
"Ptn",0.5856,3.15471388766596e-26,1.01849937863295e-21,0.359,0.245,"Yes","Male-higher"
"Eml1",0.5852,2.92650457939548e-105,9.4482200345783e-101,0.466,0.202,"Yes","Male-higher"
"Chst1",0.5838,2.3960826777708e-156,7.73575292518301e-152,0.403,0.112,"Yes","Male-higher"
"Ano1",0.5827,6.08777060676168e-248,1.96543674039301e-243,0.292,0.015,"Yes","Male-higher"
"Prdx6",0.5809,3.15645503188867e-98,1.01906150704526e-93,0.767,0.578,"Yes","Male-higher"
"Adamtsl3",0.5777,3.94047797222143e-40,1.27218331333169e-35,0.624,0.491,"Yes","Male-higher"
"Ank2",0.5736,2.06422522026899e-73,6.66435112363844e-69,0.44,0.218,"Yes","Male-higher"
"Rps23",0.5695,1.38849115469474e-284,4.48274369293197e-280,0.994,0.993,"Yes","Male-higher"
"Jaml",0.5664,6.76186578660142e-125,2.18306836920427e-120,0.282,0.062,"Yes","Male-higher"
"Litaf",0.5649,6.9743599231938e-111,2.25167210120312e-106,0.557,0.273,"Yes","Male-higher"
"Ccdc80",0.562,1.13316873121504e-148,3.65843524872774e-144,0.3,0.059,"Yes","Male-higher"
"Banf1",0.5601,2.54334365123097e-100,8.21118497799918e-96,0.863,0.731,"Yes","Male-higher"
"Nisch",0.5597,7.30521789224156e-87,2.35848959651019e-82,0.733,0.509,"Yes","Male-higher"
"Atp5g2",0.558,6.0743371041864e-172,1.96109973408658e-167,0.957,0.921,"Yes","Male-higher"
"Elk3",0.5562,3.84830052562264e-81,1.24242382469727e-76,0.715,0.506,"Yes","Male-higher"
"Ldlr",0.5535,2.46432311228573e-81,7.95606716801449e-77,0.529,0.287,"Yes","Male-higher"
"9330188P03Rik",0.5529,1.92890495210411e-265,6.22746963786811e-261,0.284,0.008,"Yes","Male-higher"
"Scx",0.5519,5.91095504474224e-111,1.90835183619503e-106,0.493,0.213,"Yes","Male-higher"
"Ddx3y",0.5518,4.20423743108655e-227,1.35733805462629e-222,0.314,0.029,"Yes","Male-higher"
"Mecom",0.5509,7.2421931729249e-167,2.3381420658788e-162,0.25,0.028,"Yes","Male-higher"
"Eif5a",0.5509,5.90657538240758e-146,1.90693786221029e-141,0.97,0.945,"Yes","Male-higher"
"Rps27",0.5474,1.39715913850498e-193,4.51072827866333e-189,0.988,0.972,"Yes","Male-higher"
"Selenok",0.5459,2.82673106716576e-84,9.12610125034466e-80,0.634,0.392,"Yes","Male-higher"
"Actg1",0.5446,8.50557275371022e-168,2.74602416353534e-163,0.994,0.986,"Yes","Male-higher"
"Nav1",0.5385,4.04620091713622e-142,1.30631596609743e-137,0.331,0.077,"Yes","Male-higher"
"Anxa2",0.5373,3.45357733973609e-182,1.1149874441338e-177,0.983,0.963,"Yes","Male-higher"
"Tpi1",0.5372,2.98376508930858e-103,9.63308559083276e-99,0.917,0.821,"Yes","Male-higher"
"Rpl34",0.5342,8.68671110260428e-230,2.80450467947579e-225,0.994,0.99,"Yes","Male-higher"
"Lhfpl4",0.5329,4.49324823537708e-65,1.45064519279149e-60,0.56,0.339,"Yes","Male-higher"
"2610001J05Rik",0.5304,3.18424214109609e-89,1.02803257525287e-84,0.562,0.308,"Yes","Male-higher"
"Dad1",0.5285,1.52216510827159e-71,4.91431005205484e-67,0.772,0.584,"Yes","Male-higher"
"Ctsh",0.5273,6.16681985513268e-139,1.99095779022959e-134,0.324,0.077,"Yes","Male-higher"
"Wwc1",0.5258,5.88498012106236e-70,1.89996583208498e-65,0.737,0.545,"Yes","Male-higher"
"Nenf",0.5254,3.14898165817e-80,1.01664872834018e-75,0.593,0.354,"Yes","Male-higher"
"Gmds",0.5212,1.53248573911753e-62,4.94763020874095e-58,0.6,0.397,"Yes","Male-higher"
"Lmo7",0.5192,9.51416926054317e-54,3.07164954576636e-49,0.39,0.213,"Yes","Male-higher"
"Mrpl57",0.5151,3.83860965722274e-74,1.23929512783436e-69,0.65,0.433,"Yes","Male-higher"
"Siva1",0.5149,1.36694771802563e-78,4.41319070764574e-74,0.675,0.468,"Yes","Male-higher"
"Rps14",0.5139,4.48827271244123e-256,1.44903884521165e-251,0.999,0.995,"Yes","Male-higher"
"Bmpr1a",0.5135,3.69892709441026e-71,1.19419861243035e-66,0.568,0.339,"Yes","Male-higher"
"Twist2",0.5126,5.6727563948187e-97,1.83144940206722e-92,0.479,0.218,"Yes","Male-higher"
"Mmp14",0.5124,2.6975329857048e-79,8.70898524434796e-75,0.509,0.273,"Yes","Male-higher"
"Stard13",0.5121,2.94155972215977e-100,9.49682556299282e-96,0.38,0.14,"Yes","Male-higher"
"Glud1",0.512,1.48844377709362e-80,4.80544073434676e-76,0.616,0.375,"Yes","Male-higher"
"Nav2",0.5094,2.08058173586346e-46,6.71715813423517e-42,0.765,0.624,"Yes","Male-higher"
"Ahr",0.509,9.5351916657488e-151,3.078436629287e-146,0.278,0.046,"Yes","Male-higher"
"Sfta3-ps",0.5086,2.40839179937204e-224,7.77549292427263e-220,0.218,0,"Yes","Male-higher"
"Esd",0.5086,6.77106082757266e-113,2.18603698818183e-108,0.946,0.882,"Yes","Male-higher"
"Gamt",0.5085,7.23518719436233e-106,2.33588018569988e-101,0.404,0.151,"Yes","Male-higher"
"Camk2d",0.508,9.74312463952427e-67,3.14556778987041e-62,0.869,0.742,"Yes","Male-higher"
"Gng2",0.5032,1.98029327575533e-162,6.39337684077608e-158,0.311,0.055,"Yes","Male-higher"
"Rpl35a",0.5016,2.71872035069259e-225,8.77738865221103e-221,0.995,0.99,"Yes","Male-higher"
"Ccser2",0.5016,7.74943930295024e-101,2.50190647895749e-96,0.46,0.2,"Yes","Male-higher"
"Plec",-0.5008,9.09526646625281e-80,2.93640677862972e-75,0.834,0.905,"Yes","Female-higher"
"Manf",-0.5015,7.43808689377858e-69,2.40138635365641e-64,0.731,0.838,"Yes","Female-higher"
"Dock3",-0.5016,7.52797828234904e-80,2.43040778845639e-75,0.06,0.283,"Yes","Female-higher"
"Tpm4",-0.5031,1.87957074791715e-81,6.06819415965052e-77,0.844,0.902,"Yes","Female-higher"
"Amot",-0.5037,5.66111862220216e-71,1.82769214717797e-66,0.116,0.334,"Yes","Female-higher"
"Il6st",-0.5042,3.80319945109604e-56,1.22786294278636e-51,0.277,0.467,"Yes","Female-higher"
"Pmepa1",-0.5049,4.44103613152714e-58,1.43378851506354e-53,0.722,0.822,"Yes","Female-higher"
"Sept11",-0.505,4.17180269503751e-81,1.34686650009286e-76,0.778,0.869,"Yes","Female-higher"
"Tmem35a",-0.5054,2.47573304360337e-107,7.99290413127348e-103,0,0.235,"Yes","Female-higher"
"Ywhab",-0.5058,1.31105658209188e-79,4.23274617528362e-75,0.727,0.835,"Yes","Female-higher"
"Bnc2",-0.5067,1.90703826917644e-66,6.15687305203615e-62,0.151,0.364,"Yes","Female-higher"
"Pus7",-0.5075,5.30638475172704e-57,1.71316631709508e-52,0.281,0.475,"Yes","Female-higher"
"Pfkp",-0.5092,8.7584275884371e-63,2.82765834692692e-58,0.283,0.504,"Yes","Female-higher"
"Anln",-0.5102,2.8252626877046e-47,9.12136058725429e-43,0.551,0.673,"Yes","Female-higher"
"Nedd9",-0.5122,4.53317843976671e-62,1.46353665927868e-57,0.214,0.425,"Yes","Female-higher"
"Plod2",-0.5131,6.32942890618617e-64,2.0434561223622e-59,0.293,0.5,"Yes","Female-higher"
"Emc7",-0.5131,1.87462247757248e-62,6.05221866884275e-58,0.476,0.644,"Yes","Female-higher"
"Mindy3",-0.5137,3.58765024881511e-57,1.15827288282996e-52,0.325,0.513,"Yes","Female-higher"
"Sema3a",-0.5153,3.27375467514713e-65,1.05693169687125e-60,0.014,0.177,"Yes","Female-higher"
"Txnrd1",-0.5154,1.21470956713462e-77,3.92168983749411e-73,0.709,0.833,"Yes","Female-higher"
"Cxadr",-0.5159,6.94793914075329e-69,2.2431421515922e-64,0.121,0.337,"Yes","Female-higher"
"Pde4a",-0.5181,6.7646189470928e-67,2.18395722706891e-62,0.167,0.377,"Yes","Female-higher"
"Tnc",-0.5192,4.09733258711975e-68,1.32282382575161e-63,0.605,0.768,"Yes","Female-higher"
"Tmem45a",-0.521,1.02044039715332e-111,3.2944918222095e-107,0.003,0.249,"Yes","Female-higher"
"Top1",-0.5213,1.61876247668213e-94,5.22617465596824e-90,0.847,0.925,"Yes","Female-higher"
"Mgst1",-0.5216,9.43673870113627e-78,3.04665108966184e-73,0.046,0.255,"Yes","Female-higher"
"Knl1",-0.5228,7.01541386713948e-41,2.26492636700598e-36,0.385,0.525,"Yes","Female-higher"
"Ckap2l",-0.5231,1.78343869411554e-44,5.75783182395203e-40,0.278,0.435,"Yes","Female-higher"
"Jazf1",-0.5259,2.9104383674919e-105,9.39635026944759e-101,0.011,0.253,"Yes","Female-higher"
"Tspan3",-0.5262,1.24218738768619e-75,4.01040198114487e-71,0.652,0.782,"Yes","Female-higher"
"Frmd6",-0.5262,1.05987821955793e-61,3.42181683184276e-57,0.382,0.57,"Yes","Female-higher"
"Tpx2",-0.5264,1.68233917349386e-50,5.43143202162492e-46,0.571,0.683,"Yes","Female-higher"
"Mfge8",-0.5271,4.25133487662776e-71,1.37254346491927e-66,0.629,0.768,"Yes","Female-higher"
"Cxxc5",-0.5324,1.08550832158455e-67,3.50456361623571e-63,0.33,0.547,"Yes","Female-higher"
"Chrdl1",-0.5345,5.63479223995766e-102,1.81919267467033e-97,0.009,0.242,"Yes","Female-higher"
"Pgp",-0.5363,1.54229583087932e-66,4.97930208999389e-62,0.521,0.677,"Yes","Female-higher"
"Nckap1",-0.5369,9.10968409883314e-79,2.94106151130828e-74,0.626,0.763,"Yes","Female-higher"
"Arpc1b",-0.5386,8.34311459267228e-97,2.69357454624425e-92,0.828,0.903,"Yes","Female-higher"
"Pde1a",-0.5424,5.39513185233373e-50,1.74181831852594e-45,0.67,0.75,"Yes","Female-higher"
"Bub1",-0.5431,2.42413729903683e-58,7.82632726994039e-54,0.259,0.455,"Yes","Female-higher"
"Aldh2",-0.5435,1.12615074080488e-64,3.63577766668857e-60,0.289,0.493,"Yes","Female-higher"
"Runx1",-0.5458,9.01390670609106e-75,2.9101397800615e-70,0.512,0.697,"Yes","Female-higher"
"Gpsm1",-0.5462,1.85478292073828e-78,5.98816665960353e-74,0.132,0.366,"Yes","Female-higher"
"Selenoh",-0.5468,1.57854849568159e-84,5.096343818308e-80,0.793,0.866,"Yes","Female-higher"
"Galc",-0.547,9.41486170483795e-67,3.03958810140693e-62,0.228,0.439,"Yes","Female-higher"
"Slco1a5",-0.5475,1.16092030129079e-104,3.74803119271731e-100,0.017,0.261,"Yes","Female-higher"
"Oxct1",-0.5476,5.02825361494085e-89,1.62337167958365e-84,0.842,0.912,"Yes","Female-higher"
"Taldo1",-0.5498,3.21382167323209e-72,1.03758232720298e-67,0.685,0.799,"Yes","Female-higher"
"Ftl1",-0.5506,7.47835537090899e-142,2.41438703149797e-137,0.973,0.992,"Yes","Female-higher"
"Slc39a13",-0.5506,4.05403534601445e-73,1.30884531146076e-68,0.342,0.553,"Yes","Female-higher"
"Mgll",-0.5513,4.65719422647167e-88,1.50357515601638e-83,0.079,0.328,"Yes","Female-higher"
"Actb",-0.5518,7.71926737175112e-307,2.49216547096985e-302,0.999,1,"Yes","Female-higher"
"Casc4",-0.5523,4.49883978437745e-72,1.45245042438626e-67,0.261,0.488,"Yes","Female-higher"
"Parva",-0.5546,6.34078070168461e-85,2.04712104953888e-80,0.638,0.786,"Yes","Female-higher"
"Mcc",-0.5546,1.75302902889255e-72,5.65965421977958e-68,0.436,0.641,"Yes","Female-higher"
"Eya1",-0.5586,6.86857626279236e-108,2.21751984644251e-103,0.003,0.241,"Yes","Female-higher"
"Dclk1",-0.5586,5.51012981192592e-66,1.77894540978028e-61,0.495,0.67,"Yes","Female-higher"
"AI506816",-0.5595,4.3387651847515e-88,1.40077033989702e-83,0.731,0.847,"Yes","Female-higher"
"Cap2",-0.5621,1.52217374514407e-76,4.91433793619764e-72,0.173,0.407,"Yes","Female-higher"
"Tceal5",-0.5622,3.89359210472326e-120,1.2570462110099e-115,0.007,0.272,"Yes","Female-higher"
"Bex3",-0.5628,3.37995099834834e-88,1.09121717981676e-83,0.779,0.869,"Yes","Female-higher"
"Slco3a1",-0.5633,2.58548370394241e-74,8.34723413817808e-70,0.235,0.466,"Yes","Female-higher"
"Pkp4",-0.5646,6.99552163968006e-78,2.25850416137071e-73,0.469,0.651,"Yes","Female-higher"
"Maf",-0.5651,1.88541250310354e-84,6.08705426626979e-80,0.145,0.393,"Yes","Female-higher"
"Myh9",-0.5669,3.98137647988467e-113,1.28538739653077e-108,0.921,0.962,"Yes","Female-higher"
"Prc1",-0.5682,1.06800449437943e-28,3.44805251010399e-24,0.523,0.618,"Yes","Female-higher"
"Loxl1",-0.5687,2.23862271001804e-73,7.22739341929326e-69,0.417,0.623,"Yes","Female-higher"
"Rhoj",-0.5703,1.7036609542066e-67,5.500269390656e-63,0.225,0.438,"Yes","Female-higher"
"Tln1",-0.5717,6.29484206151044e-94,2.03228975955865e-89,0.775,0.86,"Yes","Female-higher"
"Ripor2",-0.5742,4.0463677256672e-73,1.30636982023166e-68,0.262,0.495,"Yes","Female-higher"
"Grina",-0.5742,2.20638217576569e-71,7.12330485445952e-67,0.493,0.664,"Yes","Female-higher"
"Kif5b",-0.5751,1.41527226389908e-122,4.56920650399817e-118,0.853,0.927,"Yes","Female-higher"
"Cadm1",-0.5754,2.77765074052282e-96,8.96764541577792e-92,0.774,0.884,"Yes","Female-higher"
"Nfkbia",-0.5765,1.60643947379076e-53,5.18638984113345e-49,0.314,0.492,"Yes","Female-higher"
"Scn5a",-0.5774,5.71764228043341e-111,1.84594081023793e-106,0.036,0.303,"Yes","Female-higher"
"Nmt2",-0.5776,5.22669676185364e-81,1.68743904956445e-76,0.596,0.752,"Yes","Female-higher"
"Dnajc10",-0.5818,2.68696656843165e-80,8.67487156618158e-76,0.518,0.699,"Yes","Female-higher"
"Agap1",-0.5825,1.29311076202683e-80,4.17480809520361e-76,0.31,0.537,"Yes","Female-higher"
"Gpd2",-0.5839,1.26861628554037e-76,4.09572767786708e-72,0.381,0.593,"Yes","Female-higher"
"Cxcl12",-0.5907,3.14139534739769e-72,1.01419948790734e-67,0.232,0.451,"Yes","Female-higher"
"Lurap1l",-0.5937,9.2697016085276e-73,2.99272316431314e-68,0.541,0.711,"Yes","Female-higher"
"Ablim1",-0.594,6.94696280946339e-79,2.24282694303526e-74,0.194,0.444,"Yes","Female-higher"
"Cdc42ep3",-0.5983,5.0300923210438e-49,1.62396530584899e-44,0.464,0.596,"Yes","Female-higher"
"Smc2",-0.5985,4.05852116536738e-57,1.31029355823886e-52,0.583,0.698,"Yes","Female-higher"
"Ckap5",-0.6032,1.23110411084325e-59,3.97461962185743e-55,0.591,0.705,"Yes","Female-higher"
"Sytl2",-0.6038,1.28702050485242e-111,4.15514569991604e-107,0.043,0.317,"Yes","Female-higher"
"Rb1cc1",-0.6045,8.1543932607355e-81,2.63264586422846e-76,0.475,0.661,"Yes","Female-higher"
"Klhl29",-0.6069,7.59906276063059e-103,2.45335741226959e-98,0.06,0.33,"Yes","Female-higher"
"Gxylt2",-0.607,1.68180071344828e-89,5.42969360336778e-85,0.228,0.505,"Yes","Female-higher"
"Plin2",-0.6092,8.08912795898409e-72,2.61157496155801e-67,0.596,0.744,"Yes","Female-higher"
"Heg1",-0.6109,4.94907176149032e-84,1.59780781819715e-79,0.185,0.433,"Yes","Female-higher"
"Cpe",-0.6136,3.25595598143534e-163,1.0511853886064e-158,0.917,0.969,"Yes","Female-higher"
"Lyn",-0.6138,1.4452471106251e-101,4.66598029665313e-97,0.09,0.356,"Yes","Female-higher"
"Lhx2",-0.6163,7.95975086670364e-84,2.56980556731527e-79,0.158,0.397,"Yes","Female-higher"
"Tor1b",-0.6186,1.98586694177339e-87,6.41137142151537e-83,0.297,0.539,"Yes","Female-higher"
"Isg15",-0.6186,2.5241929604147e-65,8.14935697269887e-61,0.02,0.186,"Yes","Female-higher"
