"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Atp5j",-0.0322,0.545260306637354,1,0.889,0.879,"No","NS"
"Exoc1",-0.0322,0.920575715627948,1,0.202,0.195,"No","NS"
"Ptpn21",-0.0323,0.0919904329252773,1,0.285,0.301,"No","NS"
"Dexi",-0.0323,0.221368575779193,1,0.146,0.157,"No","NS"
"Fbxo25",-0.0323,0.253634949928284,1,0.122,0.131,"No","NS"
"Rhbdd2",-0.0323,0.497765904422519,1,0.101,0.105,"No","NS"
"Coq10b",-0.0323,0.697097104217464,1,0.346,0.339,"No","NS"
"Trim27",-0.0323,0.899893706352221,1,0.303,0.295,"No","NS"
"Plaur",-0.0324,0.483489263377453,1,0.374,0.378,"No","NS"
"Uap1l1",-0.0324,0.852104372539451,1,0.24,0.231,"No","NS"
"Cactin",-0.0325,0.155613983401961,1,0.235,0.21,"No","NS"
"Gnpat",-0.0325,0.63374216199164,1,0.217,0.218,"No","NS"
"Ikbkb",-0.0326,0.556470924852587,1,0.153,0.156,"No","NS"
"Cd99l2",-0.0326,0.779478850345117,1,0.2,0.193,"No","NS"
"Vps13d",-0.0328,0.0827972998349516,1,0.235,0.253,"No","NS"
"Traip",-0.0328,0.0899010502453984,1,0.098,0.112,"No","NS"
"Zfp212",-0.0328,0.196877979597232,1,0.097,0.107,"No","NS"
"P2rx4",-0.0328,0.519288051494336,1,0.113,0.117,"No","NS"
"Kpna2",-0.0329,0.175513141162234,1,0.188,0.202,"No","NS"
"Fam53c",-0.0329,0.367953495390255,1,0.14,0.148,"No","NS"
"Phka1",-0.0329,0.405430540841119,1,0.181,0.187,"No","NS"
"Vopp1",-0.0329,0.428610317192787,1,0.111,0.117,"No","NS"
"Minpp1",-0.033,0.269419364238583,1,0.21,0.22,"No","NS"
"Sel1l",-0.033,0.375809196563953,1,0.288,0.293,"No","NS"
"Nfya",-0.033,0.393757514979734,1,0.137,0.142,"No","NS"
"Ulk4",-0.0331,0.150126455058733,1,0.181,0.162,"No","NS"
"Mvp",-0.0331,0.346745793415882,1,0.187,0.193,"No","NS"
"Ncdn",-0.0331,0.508994940710828,1,0.118,0.123,"No","NS"
"Trmt13",-0.0331,0.574188691532218,1,0.151,0.154,"No","NS"
"Eif3g",-0.0332,0.294008718504507,1,0.541,0.539,"No","NS"
"Kidins220",-0.0332,0.540680648485358,1,0.367,0.368,"No","NS"
"Tmem222",-0.0332,0.962404901836473,1,0.185,0.179,"No","NS"
"Zfp787",-0.0333,0.548632840083208,1,0.157,0.16,"No","NS"
"Nmd3",-0.0333,0.816018446266421,1,0.411,0.402,"No","NS"
"Cdkn2aip",-0.0334,0.389034326980155,1,0.12,0.126,"No","NS"
"Ppp2r5e",-0.0334,0.39838691803424,1,0.425,0.418,"No","NS"
"Dpy19l1",-0.0334,0.516360497712021,1,0.276,0.277,"No","NS"
"Rtl8b",-0.0335,0.366908165344876,1,0.16,0.168,"No","NS"
"Fam219a",-0.0336,0.051238653254792,1,0.117,0.135,"No","NS"
"Rnf5",-0.0336,0.548207590720926,1,0.11,0.114,"No","NS"
"Rbm33",-0.0337,0.104044987817907,1,0.315,0.333,"No","NS"
"Slc25a51",-0.0337,0.118350635335707,1,0.154,0.171,"No","NS"
"Rce1",-0.0337,0.439145221355095,1,0.151,0.157,"No","NS"
"Zgpat",-0.0337,0.446897804981899,1,0.095,0.1,"No","NS"
"Lias",-0.0337,0.638899207507825,1,0.274,0.275,"No","NS"
"Wbp1l",-0.0338,0.0609019127072288,1,0.122,0.14,"No","NS"
"Msl2",-0.0338,0.97745105059369,1,0.176,0.173,"No","NS"
"Traf6",-0.034,0.2063805063195,1,0.158,0.168,"No","NS"
"B4galt6",-0.034,0.216335152558674,1,0.169,0.18,"No","NS"
"Med10",-0.034,0.329917072100094,1,0.329,0.3,"No","NS"
"Mir22hg",-0.034,0.397729503105672,1,0.204,0.211,"No","NS"
"Trmu",-0.034,0.616347830235526,1,0.124,0.116,"No","NS"
"Gtf3c2",-0.034,0.818527616659029,1,0.273,0.267,"No","NS"
"Ralgapa1",-0.0341,0.0629427731205279,1,0.41,0.423,"No","NS"
"Nvl",-0.0341,0.871920749344553,1,0.366,0.356,"No","NS"
