"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0520.1","MA0520.1",16,5289,9.46745562130178,13.2225,0.716011013144396,0.945857166039599,"Stat6",0.973254408090402,0.0241744414886123
"MA0501.1","MA0501.1",9,3376,5.32544378698225,8.44,0.630976752012115,0.953033915314837,"MAF::NFE2",0.979149268990486,0.0208916439870669
"MA0728.1","MA0728.1",8,3097,4.73372781065089,7.7425,0.611395261304603,0.954997836051025,"Nr2f6(var.2)",0.979149268990486,0.019997612491818
"MA0860.1","MA0860.1",5,2181,2.9585798816568,5.4525,0.542609790308447,0.956414390562246,"Rarg(var.2)",0.979149268990486,0.019353897952795
"MA1496.1","MA1496.1",3,1515,1.77514792899408,3.7875,0.468685921846622,0.956836215943786,"HOXA4",0.979149268990486,0.0191623951377692
"MA1539.1","MA1539.1",1,762,0.591715976331361,1.905,0.310612061066331,0.961512513122421,"NR2F6(var.3)",0.982586759985378,0.0170450594809799
"MA0857.1","MA0857.1",7,2938,4.14201183431953,7.345,0.563922645925055,0.96874459154758,"Rarb",0.988623071538297,0.0137907091231542
"MA0799.1","MA0799.1",7,3002,4.14201183431953,7.505,0.551900311035247,0.973546689733126,"RFX4",0.99216643516518,0.0116432155797771
"MA1470.1","MA1470.1",2,1305,1.18343195266272,3.2625,0.362737763268267,0.975567181961148,"BACH2(var.2)",0.992869192009572,0.0107428177606312
"MA0115.1","MA0115.1",3,1769,1.77514792899408,4.4225,0.40139014787882,0.981398640734403,"NR1H2::RXRA",0.997443305160579,0.00815454786514712
"MA1504.1","MA1504.1",3,1831,1.77514792899408,4.5775,0.38779856449898,0.984945756695565,"HOXC4",0.999686441489648,0.00658768647342401
"MA0494.1","MA0494.1",5,2631,2.9585798816568,6.5775,0.449803098693547,0.988307733815419,"Nr1h3::Rxra",1,0.00510780613238891
"MA1587.1","MA1587.1",18,6860,10.6508875739645,17.15,0.621043007228251,0.993330586345258,"ZNF135",1,0.00290619165355409
"MA0765.2","MA0765.2",1,1168,0.591715976331361,2.92,0.202642457647726,0.993388782012528,"ETV5",1,0.00288074864678024
"MA0139.1","MA0139.1",14,5709,8.28402366863905,14.2725,0.580418543957895,0.99363132705569,"CTCF",1,0.00277472458200067
"MA0496.3","MA0496.3",11,4898,6.50887573964497,12.245,0.531553755789708,0.995105518970036,"MAFK",1,0.00213086510686511
"MA0859.1","MA0859.1",5,2921,2.9585798816568,7.3025,0.405146166608258,0.995298847833395,"Rarg",1,0.00204649867337666
"MA1596.1","MA1596.1",23,8757,13.6094674556213,21.8925,0.621649763874446,0.997749214677301,"ZNF460",1,0.000978605374506808
"MA0604.1","MA0604.1",0,371,0,0.9275,0,1,"Atf1",1,0
"MA0763.1","MA0763.1",0,895,0,2.2375,0,1,"ETV3",1,0
"MA1509.1","MA1509.1",0,386,0,0.965,0,1,"IRF6",1,0
"MA0864.2","MA0864.2",0,479,0,1.1975,0,1,"E2F2",1,0
