"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CSAD",1.50250212088155e-81,-0.469120693180539,0.372,0.557,5.49930801263856e-77
"PLCG2",1.90478033044991e-81,0.503965965563939,0.395,0.182,6.9716864874797e-77
"FOXP1",2.05767635544229e-81,-0.843172634092286,0.638,0.721,7.53130122855434e-77
"JMJD1C",4.47379728606174e-81,-0.405901196534261,0.913,0.953,1.63745454467146e-76
"LDLRAD4",1.39975432708624e-80,-0.533302577974779,0.844,0.905,5.12324081256833e-76
"GLIS3",3.52214281936014e-80,0.716732733022633,0.222,0.058,1.289139493314e-75
"BMPR1B",7.96467840083137e-80,-0.558164530925093,0.097,0.263,2.91515194148829e-75
"LARGE1",7.1713863020255e-79,0.533863127045868,0.781,0.679,2.62479910040435e-74
"DYNC1I1",4.11032909958548e-78,-0.49425477221704,0.72,0.808,1.50442155373928e-73
"VWC2L",4.01072038818744e-77,-0.547523409852973,0.066,0.21,1.46796376928049e-72
"GRIK2",1.31639572331191e-76,0.444097229924687,0.86,0.791,4.81813998689391e-72
"TUBA1A",3.57808097304034e-75,-0.37876867158601,0.824,0.896,1.30961341694249e-70
"UNC5C",7.93194812148379e-75,-0.711108832149513,0.456,0.626,2.90317233194428e-70
"THRB",2.294065653481e-74,0.588380991091486,0.54,0.327,8.3965096983058e-70
"SUPT3H",3.33693674599007e-74,0.556525618513831,0.775,0.649,1.22135221839982e-69
"CNTNAP2",3.97582344348889e-74,0.510300377710271,0.762,0.58,1.45519113855137e-69
"ROBO1",7.01642195170231e-74,0.476433721542793,0.912,0.839,2.56808059854256e-69
"VSTM2L",2.52574411700302e-73,0.471283559343167,0.417,0.213,9.24447604264274e-69
"KCNJ6",8.34487796910252e-73,0.556622500432637,0.477,0.271,3.05430878547121e-68
"FTH1",8.60405694084672e-73,0.786893484326029,0.658,0.54,3.14917088091931e-68
"C2orf83",1.52672591889975e-72,-0.395947076398426,0.065,0.199,5.58796953576498e-68
"SLC26A4",2.77465386837175e-72,-0.439213182882746,0.102,0.253,1.01555106236275e-67
"RPS25",4.11907967572532e-72,0.643012351126789,0.564,0.389,1.50762435211222e-67
"NALCN",5.20134014121632e-72,0.532411448610831,0.481,0.277,1.90374250508659e-67
"VOPP1",2.36913524399876e-70,-0.518863707212846,0.382,0.548,8.67127190655985e-66
"ZEB2",5.45065479515364e-70,-0.357298500912053,0.923,0.955,1.99499416157418e-65
"STK32B",6.27505969003193e-70,0.774364881919845,0.541,0.358,2.29673459714859e-65
"ACTB",6.82792007071605e-70,-0.449149756808416,0.402,0.57,2.49908702508278e-65
