"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TXNIP",1.82832751354066e-47,-0.719636132591807,0.108,0.226,6.69186153231016e-43
"ACSL6",1.98036179219613e-47,0.461410072472302,0.394,0.229,7.24832219561704e-43
"ZMYM2",2.61130594563466e-47,0.285191976892837,0.617,0.416,9.55764089161742e-43
"ABCA5",3.69633210158216e-47,0.367228256962442,0.274,0.128,1.35289451250009e-42
"FBN1",3.96801041390251e-47,0.38343555358112,0.272,0.128,1.45233149159246e-42
"CBLB",4.20020310632567e-47,0.282405870283403,0.386,0.211,1.53731633894626e-42
"ANKRD36C",4.45110750468467e-47,0.326942185484811,0.493,0.304,1.62914985778963e-42
"PARD3B",4.7119864195226e-47,0.57875322326944,0.437,0.273,1.72463414940947e-42
"HMGCS1",5.32549584579844e-47,0.319807383057857,0.184,0.065,1.94918473452069e-42
"DDIT4",5.44050802066521e-47,-0.551012480764044,0.045,0.136,1.99128034064367e-42
"ALS2",5.70607320045134e-47,0.254888355659045,0.234,0.097,2.0884798520972e-42
"USP54",7.20768765170005e-47,0.311194639627224,0.429,0.25,2.63808575739874e-42
"PRDM11",7.94672627680095e-47,0.523333833805038,0.175,0.06,2.90858128457191e-42
"NBEAL1",1.09457724588449e-46,0.315550244755715,0.445,0.263,4.00626217766182e-42
"FADS2",1.49613679386477e-46,0.25850780793903,0.239,0.103,5.47601027922445e-42
"CTNND2",2.11601143033423e-46,0.541989660707457,0.69,0.582,7.74481343616633e-42
"DZIP3",2.41287196109889e-46,0.282868652303034,0.336,0.174,8.83135266481806e-42
"INPP4B",2.86867787250182e-46,0.771158707212132,0.421,0.258,1.04996478811439e-41
"SPEF2",3.08398030131573e-46,0.261611455155875,0.131,0.032,1.12876763008457e-41
"FANCL",4.33856507211425e-46,0.317759654083057,0.309,0.155,1.58795820204454e-41
"SYT14",4.94740537458556e-46,0.399724251681887,0.287,0.143,1.81079984115206e-41
"BMP2K",5.12057607780238e-46,0.296155267814601,0.541,0.351,1.87418205023645e-41
"SERPINH1",5.49238477190656e-46,-0.577084092220585,0.029,0.108,2.01026775036552e-41
"SLC5A3",6.22672126003635e-46,-0.751806942009375,0.186,0.299,2.2790422483859e-41
"FOXP1",6.59104532270193e-46,0.495654199151494,0.496,0.311,2.41238849856213e-41
"USP6NL",8.59488674127698e-46,0.380307682220436,0.351,0.184,3.14581449617479e-41
"OXCT1",8.91505478657123e-46,0.256242770790486,0.227,0.094,3.26299920243294e-41
"KDM3B",1.16730665366481e-45,0.254406688496207,0.355,0.187,4.27245908307857e-41
"FAXDC2",1.23247874050338e-45,0.332857933755121,0.298,0.15,4.51099543811643e-41
"ZNF438",1.40635703701268e-45,0.27364566338038,0.401,0.227,5.14740739117013e-41
"MSMO1",1.93739378223045e-45,0.296530467483675,0.138,0.038,7.09105498234167e-41
"MGAT4C",2.08035164191882e-45,0.642338654221819,0.39,0.248,7.61429504458708e-41
"SLC25A33",2.66368399522911e-45,0.258301847813433,0.256,0.119,9.74934979093805e-41
"MAST4",2.83919467348504e-45,0.491487922164166,0.564,0.386,1.03917364244226e-40
"TBC1D4",2.99538768226681e-45,0.527742638289257,0.337,0.183,1.09634184558647e-40
"MBD5",3.05634914322959e-45,0.287643354241265,0.767,0.619,1.11865434991346e-40
"ANKRD28",3.34572700311136e-45,0.315447035687249,0.425,0.254,1.22456954040879e-40
"PSMD14",3.43942943610274e-45,0.250447898656172,0.29,0.141,1.25886556790796e-40
