"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0695.1","MA0695.1",9,1079,4.5,2.6975,1.66821130676552,0.0935348618208809,"ZBTB7C",0.205347774706424,1.02902649100362
"MA0619.1","MA0619.1",31,4867,15.5,12.1675,1.27388535031847,0.0935901386061449,"LIN54",0.205347774706424,1.0287699095371
"MA1113.2","MA1113.2",23,3443,11.5,8.6075,1.33604414754574,0.0944413625285337,"PBX2",0.206607790165062,1.02483775587587
"MA0873.1","MA0873.1",8,929,4,2.3225,1.72228202368138,0.0960152836122029,"HOXD12",0.209436846709659,1.01765963091738
"MA0762.1","MA0762.1",14,1904,7,4.76,1.47058823529412,0.0972819644681979,"ETV2",0.209744163506776,1.01196766803553
"MA0719.1","MA0719.1",12,1573,6,3.9325,1.52574698029243,0.0975724927348484,"RHOXF1",0.209744163506776,1.01067259972296
"MA1116.1","MA1116.1",32,5070,16,12.675,1.26232741617357,0.0977258972044737,"RBPJ",0.209744163506776,1.00999033369527
"MA1464.1","MA1464.1",8,933,4,2.3325,1.71489817792069,0.0977873478583252,"ARNT2",0.209744163506776,1.00971733243904
"MA0860.1","MA0860.1",20,2933,10,7.3325,1.36379133992499,0.0980260313980368,"Rarg(var.2)",0.209744163506776,1.00865857949835
"MA0497.1","MA0497.1",53,8968,26.5,22.42,1.18198037466548,0.0980869231871196,"MEF2C",0.209744163506776,1.00838888830026
"MA0037.3","MA0037.3",15,2075,7.5,5.1875,1.44578313253012,0.0981242802464674,"GATA3",0.209744163506776,1.00822351583787
"MA0652.1","MA0652.1",21,3112,10.5,7.78,1.34961439588689,0.099107430786237,"IRF8",0.210817371989497,1.00389378215978
"MA0512.2","MA0512.2",16,2249,8,5.6225,1.42285460204535,0.0993940737181035,"Rxra",0.210817371989497,1.00263950924708
"MA1485.1","MA1485.1",19,2765,9.5,6.9125,1.37432188065099,0.099474148713543,"FERD3L",0.210817371989497,1.00228976879975
"MA1523.1","MA1523.1",17,2424,8.5,6.06,1.4026402640264,0.10053562238377,"MSANTD3",0.212082087514843,0.997680029153331
"MA0682.2","MA0682.2",12,1582,6,3.955,1.51706700379267,0.100639489249671,"PITX1",0.212082087514843,0.997231575958946
"MA0106.3","MA0106.3",10,1262,5,3.155,1.58478605388273,0.102941568759909,"TP53",0.216322282520824,0.98740921768114
"MA0465.2","MA0465.2",28,4376,14,10.94,1.27970749542962,0.103612029858561,"CDX2",0.21711959065867,0.98458981797028
"MA0831.2","MA0831.2",8,947,4,2.3675,1.68954593453009,0.104135409966984,"TFE3",0.217605086373586,0.982401568872182
"MA1418.1","MA1418.1",37,6023,18.5,15.0575,1.22862360949693,0.104928666780286,"IRF3",0.218459042416762,0.979105845231842
"MA0145.3","MA0145.3",7,795,3.5,1.9875,1.76100628930818,0.105462795197237,"TFCP2",0.218459042416762,0.976900722264479
"MA0018.4","MA0018.4",20,2963,10,7.4075,1.34998312521093,0.105623179624269,"CREB1",0.218459042416762,0.976240762879623
"MA1480.1","MA1480.1",10,1269,5,3.1725,1.57604412923562,0.105715434735189,"DPRX",0.218459042416762,0.975861599911547
"MA0676.1","MA0676.1",22,3317,11,8.2925,1.32649984926138,0.106232737930567,"Nr2e1",0.218921609105533,0.973741625329964
"MA0792.1","MA0792.1",26,4034,13,10.085,1.28904313336639,0.107419370385923,"POU5F1B",0.220219614087558,0.968917397470857
"MA1471.1","MA1471.1",23,3499,11.5,8.7475,1.31466133180909,0.107453002048085,"BARX2",0.220219614087558,0.968781446578263
"MA1489.1","MA1489.1",24,3680,12,9.2,1.30434782608696,0.108223492306337,"FOXN3",0.221191028111034,0.965678455758273
"MA0771.1","MA0771.1",19,2800,9.5,7,1.35714285714286,0.108735446994056,"HSF4",0.221630173381328,0.963628855873161
"MA0489.1","MA0489.1",25,3862,12.5,9.655,1.29466597617815,0.109045855757439,"JUN(var.2)",0.221657243583242,0.96239083495347
"MA0866.1","MA0866.1",21,3158,10.5,7.895,1.3299556681444,0.110645909360385,"SOX21",0.223810567976339,0.956064637543789
"MA1601.1","MA1601.1",31,4953,15.5,12.3825,1.25176660609731,0.110705227323417,"ZNF75D",0.223810567976339,0.955831871947684
"MA0092.1","MA0092.1",20,2984,10,7.46,1.34048257372654,0.111157870995174,"Hand1::Tcf3",0.224118302060539,0.954059779849888
"MA0659.2","MA0659.2",30,4777,15,11.9425,1.25601842160352,0.111976046551572,"MAFG",0.225145518463937,0.950874869857162
"MA0669.1","MA0669.1",11,1449,5.5,3.6225,1.51828847481021,0.112278159188049,"NEUROG2",0.225145518463937,0.949704716281863
"MA0499.2","MA0499.2",25,3877,12.5,9.6925,1.28965695125097,0.112583158035136,"MYOD1",0.225145518463937,0.948526573245571
"MA0502.2","MA0502.2",17,2467,8.5,6.1675,1.37819213619781,0.112874562876022,"NFYB",0.225145518463937,0.947403918546869
"MA0592.3","MA0592.3",21,3174,10.5,7.935,1.32325141776938,0.114850137013019,"ESRRA",0.228041625285561,0.939868482367409
"MA0764.2","MA0764.2",46,7753,23,19.3825,1.186637430672,0.114937870117119,"ETV4",0.228041625285561,0.939536854922459
"MA0124.2","MA0124.2",15,2131,7.5,5.3275,1.407789770061,0.115456576908493,"Nkx3-1",0.228321259731304,0.937581322740648
"MA0059.1","MA0059.1",11,1458,5.5,3.645,1.50891632373114,0.115805327249746,"MAX::MYC",0.228321259731304,0.936271461835241
"MA0057.1","MA0057.1",24,3712,12,9.28,1.29310344827586,0.115996993884938,"MZF1(var.2)",0.228321259731304,0.935553265567046
"MA1139.1","MA1139.1",8,974,4,2.435,1.64271047227926,0.117012035764449,"FOSL2::JUNB(var.2)",0.229302928084783,0.931769464773066
"MA1101.2","MA1101.2",17,2482,8.5,6.205,1.36986301369863,0.117388319793004,"BACH2",0.229302928084783,0.930375113495589
"MA0671.1","MA0671.1",19,2832,9.5,7.08,1.34180790960452,0.117661224825597,"NFIX",0.229302928084783,0.929366635021925
"MA1487.1","MA1487.1",33,5352,16.5,13.38,1.23318385650224,0.117725229834413,"FOXE1",0.229302928084783,0.929130453013337
"MA0477.2","MA0477.2",23,3545,11.5,8.8625,1.29760225669958,0.1189618974824,"FOSL1",0.230608599451124,0.924592117287348
"MA0684.2","MA0684.2",22,3367,11,8.4175,1.30680130680131,0.11901382143255,"RUNX3",0.230608599451124,0.924402599755984
"MA0607.1","MA0607.1",10,1306,5,3.265,1.53139356814701,0.121088809919126,"Bhlha15",0.233416672350563,0.916895989102371
"MA0626.1","MA0626.1",10,1306,5,3.265,1.53139356814701,0.121088809919126,"Npas2",0.233416672350563,0.916895989102371
