Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
FMN Binding (GO:0010181)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	MTRR;PPCDC
L-arginine Transmembrane Transporter Activity (GO:0061459)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	SLC47A1;SLC7A1
UDP-glucosyltransferase Activity (GO:0035251)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	UGCG;UGGT2
acyl-CoA Dehydrogenase Activity (GO:0003995)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	ACADL;TECR
Calcium Channel Inhibitor Activity (GO:0019855)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	MCUB;ITPR1
Carbohydrate:Monoatomic Cation Symporter Activity (GO:0005402)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	SLC23A2;SLC5A1
Dipeptidyl-Peptidase Activity (GO:0008239)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	DPP4;DPP8
Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005230)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	GABRA3;GABRG3
Galactosyltransferase Activity (GO:0008378)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	B4GALT1;B4GAT1
Histone H4K12 Acetyltransferase Activity (GO:0043997)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	JADE1;JADE2
Histone H4K5 Acetyltransferase Activity (GO:0043995)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	JADE1;JADE2
Histone H4K8 Acetyltransferase Activity (GO:0043996)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	JADE1;JADE2
Inositol 1,4,5 Trisphosphate Binding (GO:0070679)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	ITPR1;ITPR2
Magnesium Ion Transmembrane Transporter Activity (GO:0015095)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	TUSC3;CNNM2
Protein-Arginine N-methyltransferase Activity (GO:0016274)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	PRMT5;FBXO11
Ribonuclease P Activity (GO:0004526)	2/10	0.777087047294196	0.999995167655789	0	0	0.712723945289925	0.179751049400835	RPP21;RPP14
1-Acylglycerophosphocholine O-acyltransferase Activity (GO:0047184)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	LPCAT2
11-Cis Retinal Binding (GO:0005502)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	OPN5
3'-5' RNA Helicase Activity (GO:0034458)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	YTHDC2
3-hydroxyacyl-CoA Dehydrogenase Activity (GO:0003857)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	HSD17B4
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase Activity (GO:0017083)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	FUT9
BMP Receptor Activity (GO:0098821)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	BMPR2
G Protein-Coupled Opioid Receptor Activity (GO:0004985)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	OPRM1
L-leucine Transmembrane Transporter Activity (GO:0015190)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	SLC43A2
N,N-dimethylaniline Monooxygenase Activity (GO:0004499)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	FMO4
RNA 2'-O-methyltransferase Activity (GO:0062105)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	HENMT1
RNA Endonuclease Activity, Producing 3'-Phosphomonoesters (GO:0016892)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	TSEN2
Acetylcholine Receptor Inhibitor Activity (GO:0030550)	1/5	0.77761228833303	0.999995167655789	0	0	0.712779275808937	0.179283391901333	LYPD6
