"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGD6",3.26106324650529e-42,-0.341435436860894,0.086,0.219,1.1935817588534e-37
"CLEC2L",3.27563575951589e-42,0.277418278624874,0.1,0.019,1.19891544434041e-37
"ERO1B",3.45859790389887e-42,0.495324163769707,0.363,0.218,1.26588141880602e-37
"FBXW8",3.52333465239958e-42,-0.275338303206265,0.143,0.299,1.28957571612477e-37
"FBXO41",3.68505422761013e-42,0.300162606112552,0.115,0.027,1.34876669784758e-37
"UQCRQ",3.95256589032082e-42,0.397574073658164,0.187,0.072,1.44667864151632e-37
"CUL3",4.51562917442807e-42,-0.308129079795269,0.376,0.574,1.65276543413242e-37
"PCDH7",4.68953969706832e-42,-0.493119851341119,0.553,0.714,1.71641842452398e-37
"SLC25A12",5.04498350700917e-42,0.696415285714539,0.542,0.455,1.84651441340043e-37
"TJP2",5.1497896881269e-42,-0.333671817751647,0.07,0.199,1.88487452375133e-37
"RPS10",5.37391049994787e-42,0.516738705751706,0.268,0.135,1.96690498208592e-37
"FAM135A",5.99992103913075e-42,-0.293223982367159,0.482,0.66,2.19603109953225e-37
"CTNND1",6.25249290886049e-42,-0.304081850215227,0.351,0.541,2.28847492957203e-37
"UBE2E3",7.55359355366478e-42,-0.353418997750573,0.411,0.581,2.76469077657685e-37
"KCNQ2",8.86127469425199e-42,0.581845520739795,0.278,0.142,3.24331515084317e-37
"LYN",9.63014957603334e-42,-0.48587530235244,0.086,0.226,3.52473104632396e-37
"TMEM205",1.09200175495075e-41,0.312212984067225,0.161,0.055,3.99683562329526e-37
"MIR9-3HG",1.12782321574774e-41,-0.288607989480271,0.182,0.345,4.12794575195831e-37
"PTPN12",1.27751715714765e-41,-0.341776212160941,0.319,0.494,4.6758405468761e-37
"LAMP2",1.38415463152079e-41,-0.288988845984542,0.117,0.265,5.06614436682924e-37
"SLITRK5",1.63076316778582e-41,0.650170653526297,0.403,0.266,5.96875627041288e-37
"CACNG8",1.6506016248759e-41,0.523545410267192,0.218,0.093,6.04136700720829e-37
"SLC26A4",1.68036067418118e-41,0.256570324564509,0.104,0.022,6.15028810357054e-37
"PRPF4B",1.96859453499836e-41,-0.319147163687491,0.223,0.397,7.20525285754749e-37
"SLC7A14",2.06765709182929e-41,0.375493759119584,0.183,0.07,7.56783172180437e-37
"VWA8",2.07416391377049e-41,-0.328980998250655,0.438,0.605,7.59164734079138e-37
"SDCCAG8",2.13943642433148e-41,-0.30511597032026,0.535,0.707,7.83055125669565e-37
"RUNDC3A",2.89209153765912e-41,0.315318983062211,0.147,0.047,1.05853442369861e-36
"ANKRD28",3.1341652804379e-41,-0.474203841183674,0.456,0.601,1.14713583429308e-36
"TMEM132D",3.7159389141264e-41,0.728550849503876,0.544,0.391,1.3600708019594e-36
"NPC1",3.90330042324713e-41,-0.370190329745456,0.131,0.279,1.42864698791268e-36
"ITGA7",4.33323345352975e-41,-0.286186962903766,0.043,0.155,1.58600677632642e-36
"SH3RF3",4.33899690665283e-41,0.357959817026674,0.523,0.338,1.588116257804e-36
"GALNT2",4.55139395168096e-41,-0.271134995135814,0.31,0.495,1.66585570025475e-36
"PRCP",4.6027778343378e-41,-0.29892434144993,0.087,0.22,1.68466271514598e-36
"MMP24",5.48178535513681e-41,0.341509614312079,0.152,0.05,2.00638825783362e-36
"ARNTL2",5.74501118749809e-41,0.418584575972896,0.16,0.055,2.10273154473618e-36
"CALCRL",6.31818917501821e-41,-0.400356980740484,0.06,0.184,2.31252041994841e-36
"WSCD1",8.20143834787452e-41,-0.271343143684927,0.101,0.243,3.00180844970555e-36
"NCAN",8.38683961606625e-41,-0.365086868869824,0.228,0.381,3.06966716787641e-36
"NGRN",8.59190241279759e-41,0.389625931538716,0.203,0.086,3.14472220210805e-36
"L3MBTL1",9.1786251496151e-41,0.63511126023535,0.352,0.213,3.35946859101062e-36
"ATP1A1",1.06699847643959e-40,0.511622558412624,0.305,0.167,3.90532112361653e-36
"SSBP4",1.09128225466591e-40,0.405584968544119,0.18,0.068,3.99420218030269e-36
"KIAA0825",1.13778009386449e-40,0.670937150356748,0.481,0.323,4.16438892155344e-36
"UBR3",1.27835769005727e-40,-0.303737842258682,0.579,0.745,4.67891698137862e-36
"ELP3",1.28290864192751e-40,-0.370665546524376,0.168,0.321,4.69557392031889e-36
"GPRASP1",1.45237559577776e-40,0.39482592171268,0.179,0.068,5.31583991810619e-36
"SUCLG2-AS1",1.80400418827782e-40,-0.307060388393838,0.065,0.192,6.60283572951567e-36
"AFF2",1.92439546837646e-40,0.441112738204838,0.322,0.173,7.04347985380469e-36
"SATB1-AS1",1.99356682148369e-40,0.986178408678873,0.432,0.325,7.29665392331245e-36
"ATP6V0B",2.00845613765575e-40,0.510852591654081,0.251,0.124,7.35115030943381e-36
"ABCC5",2.09663747209862e-40,0.635441935372199,0.408,0.276,7.67390281162817e-36
"PRR5L",2.31220693475995e-40,-0.299096549327247,0.034,0.14,8.4629086019149e-36
"GNB4",2.60843288661452e-40,-0.495297221633956,0.197,0.355,9.5471252082978e-36
"KIF13B",2.72877470480907e-40,-0.505690175471993,0.125,0.271,9.98758829707168e-36
"AZIN1",2.73903989918211e-40,-0.33867515965803,0.189,0.346,1.00251599349964e-35
"LIMA1",2.77246638181782e-40,-0.277354773214509,0.143,0.302,1.01475042040914e-35
"NDUFS5",3.00883129658623e-40,0.470195581853358,0.222,0.101,1.10126234286353e-35
"C3orf70",3.15056813858933e-40,-0.355139206115984,0.195,0.355,1.15313944440508e-35
"SHC3",3.20276327138516e-40,-0.647305273386667,0.33,0.475,1.17224338495968e-35
"ODF2L",3.42067366301228e-40,0.550523937902859,0.384,0.241,1.25200076739912e-35
"STX8",3.46353771844613e-40,-0.279201150492751,0.252,0.424,1.26768944032847e-35
"BTBD11",3.48456154647579e-40,0.48682549306682,0.153,0.051,1.2753843716256e-35
"ITGB5",3.56890519345438e-40,-0.308341982079983,0.082,0.215,1.30625498985624e-35
"GRIA4",3.78920657557886e-40,0.70407663454275,0.62,0.531,1.38688749872762e-35
"ARHGAP12",3.82575496544818e-40,-0.341651166110139,0.336,0.524,1.40026457490369e-35
"MTHFD1L",3.86395292251214e-40,-0.446255990469898,0.263,0.43,1.41424540916867e-35
"ABTB2",4.22642838065304e-40,-0.313277938885443,0.063,0.186,1.54691505160282e-35
"MRPS24",4.45690398797723e-40,0.308432447471348,0.118,0.031,1.63127142863955e-35
"MYT1",4.63862188413734e-40,-0.349387138292829,0.105,0.245,1.69778199581311e-35
"GLT8D2",5.04369172272329e-40,0.252110949359352,0.123,0.033,1.84604160743395e-35
"CBX6",5.49451818863375e-40,0.344330573079852,0.182,0.071,2.01104860222184e-35
"NUMBL",6.23272994376388e-40,0.395393475756691,0.136,0.042,2.28124148671702e-35
"CTNNA1",6.38582684149918e-40,-0.349433401406189,0.282,0.452,2.33727648225711e-35
"NFKB1",8.31520952950821e-40,-0.520451815735592,0.242,0.395,3.0434498398953e-35
"PCNX2",8.70201243904592e-40,0.589136530842646,0.541,0.404,3.1850235728152e-35
"DUBR",9.61285712666686e-40,0.456288446241524,0.289,0.15,3.51840183693134e-35
"IQSEC2",9.7471724274468e-40,0.511240980596862,0.194,0.08,3.5675625801698e-35
"USP25",1.15387882331366e-39,-0.278351789814513,0.42,0.588,4.22331188121034e-35
"RIN3",1.3319203933116e-39,-0.446750803446524,0.079,0.21,4.87496183155977e-35
"PATJ",1.343927652924e-39,0.581874060481468,0.271,0.139,4.91890960246714e-35
"TUBGCP3",1.42595151108981e-39,-0.300433792913046,0.171,0.324,5.2191251257398e-35
"DDR1",1.46973985388326e-39,-0.252038582413858,0.095,0.232,5.37939483919811e-35
"ASPH",1.5119702959692e-39,-0.403134747690805,0.407,0.572,5.53396248027687e-35
"FHOD3",1.7323094724933e-39,-0.419318938492024,0.392,0.545,6.34042590027274e-35
"TAB2",1.75348710198995e-39,-0.264675535576129,0.437,0.611,6.4179381419934e-35
"PPFIA3",1.80872886165959e-39,0.446389122462292,0.136,0.042,6.62012850656025e-35
"PARN",1.81009881362901e-39,-0.311512020410047,0.151,0.302,6.62514266776354e-35
"UVRAG",1.84930009126391e-39,-0.401843350537703,0.433,0.606,6.76862326403504e-35
