"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0728.1","MA0728.1",24,2848,9.41176470588235,7.12,1.32187706543291,0.0992243726518662,"Nr2f6(var.2)",0.244294990093374,1.0033816382479
"MA0667.1","MA0667.1",24,2850,9.41176470588235,7.125,1.32094943240454,0.0997938863190098,"MYF6",0.244300322219941,1.00089606411591
"MA0808.1","MA0808.1",25,2989,9.80392156862745,7.4725,1.31200020992003,0.0998814990309411,"TEAD3",0.244300322219941,1.00051494833931
"MA0503.1","MA0503.1",28,3413,10.9803921568627,8.5325,1.2868903787709,0.101241872849104,"Nkx2-5(var.2)",0.246818422043894,0.994639829530101
"MA0661.1","MA0661.1",17,1906,6.66666666666667,4.765,1.39909059111577,0.103617142713374,"MEOX1",0.251402388490716,0.984568387738186
"MA0658.1","MA0658.1",14,1508,5.49019607843137,3.77,1.45628543194466,0.10412820653379,"LHX6",0.251402388490716,0.982431611674095
"MA1559.1","MA1559.1",24,2865,9.41176470588235,7.1625,1.31403346678986,0.104133160916396,"SNAI3",0.251402388490716,0.982410948590455
"MA0493.1","MA0493.1",35,4422,13.7254901960784,11.055,1.24156401592749,0.10541620380826,"Klf1",0.253678993680523,0.977092627419201
"MA1655.1","MA1655.1",29,3577,11.3725490196078,8.9425,1.27174157334167,0.107438210406021,"ZNF341",0.257231371124742,0.968841234304932
"MA1532.1","MA1532.1",19,2188,7.45098039215686,5.47,1.36215363659175,0.107582021167452,"NR1D2",0.257231371124742,0.968260300790128
"MA1654.1","MA1654.1",38,4871,14.9019607843137,12.1775,1.22372907282396,0.109751710158781,"ZNF16",0.260225417822711,0.959588703826294
"MA1542.1","MA1542.1",13,1390,5.09803921568627,3.475,1.46706164480181,0.109806741889909,"OSR1",0.260225417822711,0.959370994351337
"MA1600.1","MA1600.1",29,3586,11.3725490196078,8.965,1.26854980698359,0.109880705917097,"ZNF684",0.260225417822711,0.959078559163062
"MA0057.1","MA0057.1",35,4444,13.7254901960784,11.11,1.235417659413,0.110799497432854,"MZF1(var.2)",0.261570965458572,0.955462209486952
"MA0610.1","MA0610.1",16,1796,6.27450980392157,4.49,1.39744093628543,0.11276528539176,"DMRT3",0.265371933445594,0.947824576621991
"MA1519.1","MA1519.1",17,1941,6.66666666666667,4.8525,1.3738622703074,0.116620629040479,"LHX5",0.273176017310085,0.933224620365908
"MA0521.1","MA0521.1",50,6651,19.6078431372549,16.6275,1.17924180648052,0.116813873353776,"Tcf12",0.273176017310085,0.932505575346986
"MA0486.2","MA0486.2",23,2773,9.01960784313725,6.9325,1.30106135494227,0.118725108059655,"HSF1",0.27677790816407,0.925457426465334
