"Feature","Male_all","Female_all","Male_unique","Female_unique","Shared_maleCoords","Shared_femaleCoords"
"Promoter (<=1kb)",22.242631710779,28.3299354400272,17.5196612220206,26.0896560288091,32.7586206896552,33.1809626243614
"Promoter (1-2kb)",2.40460883359773,2.34454638124363,2.41984271022384,2.35936917918788,2.37068965517241,2.3124495832213
"5' UTR",0.384069466477415,0.441726129799524,0.29038112522686,0.397367440705327,0.592672413793103,0.537778972842162
"3' UTR",2.13743007430909,1.97077811756711,2.27465214761041,1.99925493604868,1.83189655172414,1.90911535358967
"1st Exon",1.73666193537614,2.04723071695549,1.60919540229885,2.02409040109276,2.02047413793103,2.09733799408443
"Other Exon",2.55489688569759,2.47196738022426,2.74652147610405,2.63255929467279,2.12823275862069,2.12422694272654
"1st Intron",17.4000166986725,16.7855929323819,17.7011494252874,16.8260275673662,16.729525862069,16.6980371067491
"Other Intron",20.1803456625198,18.5949711179069,22.032667876588,19.8559543027443,16.0560344827586,15.8644796988438
"Downstream (<=300)",0.0918426985054688,0.0424736663268773,0.108892921960073,0.0620886626102074,0.0538793103448276,NA
"Distal Intergenic",30.8674960340653,26.9707781175671,33.29703569268,27.7536321867627,25.457974137931,25.2756117235816
