"set","n","pct_male_hi","pct_sig_male","pct_sig_female","fisher_male_p"
"Male-up ALL",3370,55.3412462908012,32.3442136498516,18.160237388724,2.2852114615893e-66
"Male-up PROMOTER",1070,75.5140186915888,58.1308411214953,9.06542056074766,8.52964226760179e-112
"Female-up ALL",3395,36.4948453608247,17.0544918998527,31.899852724595,1
"Female-up DISTAL",1586,34.5523329129886,17.1500630517024,36.0025220680958,1
