"set","n_genes","hi_c4_mean","lo_big_mean","wilcox_p","DE_overlap","DE_OR","DE_p"
"activated (down-after-KD)",78,0.0143602707946645,-0.0295196041412213,6.82889291561402e-36,27,10.0857569458811,4.53128324391045e-16
"repressed (up-after-KD)",193,-0.0463034078073136,-0.00900740998012883,1.05681524656168e-23,24,15.1477422851817,2.25294831781443e-19
