"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rspry1",6.06630793618975e-09,0.337279472561296,0.45,0.243,0.000195850751719886
"Zmat3",6.07268694626499e-09,0.48634617784779,0.458,0.257,0.000196056698060165
"Ikbip",6.08406174717253e-09,0.391988541301617,0.651,0.398,0.000196423933507465
"Itpkb",6.17465865701555e-09,0.600366337209922,0.157,0.059,0.000199348854741747
"B130024G19Rik",6.25045362352465e-09,1.13367965535995,0.1,0.03,0.000201795895235493
"B930095G15Rik",6.37213829560108e-09,1.17994788842191,0.104,0.032,0.000205724484873481
"Cib2",6.3920666688574e-09,0.893846394866127,0.145,0.052,0.000206367872404061
"Tmem163",6.43871957226068e-09,-2.47731783924062,0.088,0.236,0.000207874061390436
"Dclk1",6.4705498782524e-09,-0.766167587544015,0.699,0.691,0.000208901702819379
"Psmd10",6.50627632756342e-09,0.477908655355894,0.317,0.156,0.000210055131235385
"Pip5k1c",6.71727375990093e-09,0.634365880028213,0.229,0.102,0.000216867183338401
"Elp3",6.7771848615248e-09,0.389808614157157,0.241,0.106,0.000218801413254328
"Asnsd1",7.03897468877785e-09,0.367502188869193,0.349,0.176,0.000227253297827193
"4930402H24Rik",7.1371319584899e-09,0.413548568344185,0.635,0.385,0.000230422305279846
"Ap1ar",7.18330443008206e-09,0.41832796522834,0.454,0.248,0.000231912983525199
"Trabd2b",7.22574749572283e-09,0.915229466461254,0.185,0.076,0.000233283257899411
"Eno3",7.47669659539565e-09,1.61711572159946,0.104,0.032,0.000241385149582348
"Rangrf",7.53769307104684e-09,0.621816342678672,0.253,0.117,0.000243354420798747
"Sfxn2",7.69828370430063e-09,0.634792205504612,0.189,0.077,0.000248539089393346
"Camk1",8.05476699655186e-09,0.481065598792418,0.39,0.204,0.000260048152483677
"Cmtm4",8.23884695636447e-09,0.274101600904413,0.438,0.23,0.000265991173986227
"Abhd6",8.2847410173142e-09,0.359827466487231,0.201,0.083,0.000267472863743989
"Rab2b",8.61239866932039e-09,1.00775234837637,0.12,0.04,0.000278051291039009
"Aars",8.78994968062408e-09,0.443464268751424,0.779,0.526,0.000283783525438948
"Arf1",8.91337420578412e-09,0.351179041657129,0.908,0.679,0.00028776828623374
"Traf4",9.03992421291227e-09,0.458524819162521,0.265,0.123,0.000291853953213873
"Spg21",9.13215442163540e-09,0.55876269576454,0.382,0.204,0.000294831605502499
"Selenon",9.61105659166233e-09,0.351971102210175,0.43,0.229,0.000310292962061818
"Pofut2",9.80252999031871e-09,0.391195295268877,0.51,0.291,0.00031647468073744
"Tdg",9.81773801565895e-09,0.268030396522631,0.518,0.285,0.000316965671835549
"Ipo7",9.99135257819746e-09,0.389342125505876,0.675,0.417,0.000322570817987105
"Mbtd1",1.00172904187222e-08,0.354241064375264,0.486,0.273,0.000323408221168446
"Decr1",1.01797031009018e-08,0.570693541718728,0.201,0.085,0.000328651714612613
"Acbd3",1.01896856065909e-08,0.377663235775283,0.703,0.445,0.000328973999808789
"Mtmr6",1.05905446845392e-08,0.550846717973382,0.197,0.082,0.000341915735140348
"Gnai1",1.0661390920275e-08,0.964048797837165,0.137,0.049,0.000344203005861079
"Dctd",1.08396597931502e-08,0.452657763474512,0.225,0.099,0.000349958416421854
