	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
ENSMUSG00000051951	0.0540371599948098	-0.553018809009551	4.92768185620347	-0.112226971047929	0.910643444449435	NA	Xkr4
ENSMUSG00000102331	0.0540223436348516	0	4.92768185620347	0	1	NA	Gm19938
ENSMUSG00000104238	0.0886922760104149	0.40876684467571	4.60054143553992	0.0888518993694788	0.929199611027246	NA	Gm37587
ENSMUSG00000098104	0.419244861651436	-0.575753287845904	1.55087530079232	-0.371244088774745	0.710455737588173	0.781933318705391	Gm6085
ENSMUSG00000103922	0.425480906516771	1.61253245902589	1.53116330959151	1.05314204495671	0.292275895436981	0.386805541231146	Gm6123
ENSMUSG00000033845	350.392680852995	0.511740339525325	0.0689918056814924	7.41740753804626	1.1943501095008e-13	7.32321050422906e-13	Mrpl15
ENSMUSG00000102275	0.0583629689562907	-0.553018809009551	4.92768185620347	-0.112226971047929	0.910643444449435	NA	Gm37144
ENSMUSG00000025903	247.924862982279	0.105553210234854	0.0749693058806713	1.40795234789639	0.159145180743669	0.23208186502297	Lypla1
ENSMUSG00000033813	110.432748287128	0.402711144433351	0.135767362795519	2.96618521669218	0.00301518844816697	0.0065959317849793	Tcea1
ENSMUSG00000062588	0.113688091128049	0.889664601236897	3.32442907561924	0.267614252252074	0.7889962592881	NA	Gm6104
ENSMUSG00000002459	0.563001140948333	-0.50762986554588	1.34720217034625	-0.376803034258334	0.706319985660246	0.778303418733938	Rgs20
ENSMUSG00000033793	153.331022062969	-0.122116545771024	0.0859191944056721	-1.42129528350143	0.15523093410844	0.227420743053645	Atp6v1h
ENSMUSG00000025905	0.171464865297551	0.408769720530448	2.66354061281929	0.15346855180773	0.878028788516759	NA	Oprk1
ENSMUSG00000025907	122.480951516593	-1.28335515375614	0.100525562756498	-12.7664558005489	2.52387368165513e-37	4.3587642504619e-36	Rb1cc1
ENSMUSG00000090031	2.28369934917127	-1.95368701318477	0.784305239902586	-2.49097789200978	0.0127392046375327	0.02476583833635	4732440D04Rik
ENSMUSG00000087247	132.221827003398	-5.64459274460053	0.2804201837808	-20.1290530107234	4.10769591735508e-90	2.31777157895456e-88	Alkal1
ENSMUSG00000102135	0.294703941942845	0.933016089184371	1.89076896900542	0.493458536965072	0.621688629950719	NA	Gm37108
ENSMUSG00000051285	25.4702013346866	-0.0912274427097408	0.195418959394445	-0.466830050638036	0.640621474104886	0.72107425978031	Pcmtd1
ENSMUSG00000098201	0.0530583498988928	0	4.92768185620347	0	1	NA	Gm26983
ENSMUSG00000103509	0.0609319732725672	0.408766207577674	4.92768185620347	0.0829530435417776	0.933888876691891	NA	Gm38372
ENSMUSG00000097797	0.41023735175776	0.889668447600295	1.55085873910176	0.573661820492809	0.566196669070158	0.654535747912309	Gm26901
ENSMUSG00000025909	0.234291058732968	-1.00891417157915	1.79266895375381	-0.562800047084269	0.573571048254129	NA	Sntg1
ENSMUSG00000086235	0.0830657830482046	0	4.6988660366565	0	1	NA	Gm16284
ENSMUSG00000084353	0.0667904967569578	0	4.40471794250529	0	1	NA	Gm15452
ENSMUSG00000103933	0.0540589191259982	0.408766207577674	4.92768185620347	0.0829530435417776	0.933888876691891	NA	Gm36964
ENSMUSG00000061024	200.241807979847	1.217914206582	0.0912519819958311	13.3467151062827	1.23788337817462e-40	2.38292550298615e-39	Rrs1
ENSMUSG00000025911	0.989926690836362	-2.53842963548943	1.1254781787296	-2.25542323561947	0.0241067756424066	0.0441783211213966	Adhfe1
ENSMUSG00000079671	3.31190525394689	-0.06263930488747	0.545190883650533	-0.114894263212996	0.90852893227551	0.93600983953032	2610203C22Rik
ENSMUSG00000081441	0.0558376582372327	0.408766207577674	4.92768185620347	0.0829530435417776	0.933888876691891	NA	Gm6161
ENSMUSG00000067879	0.110503820183529	-1.00058507191591	3.34893021853316	-0.298777521961676	0.765109802857447	NA	Vxn
ENSMUSG00000025912	8.59402569102433	-0.268837061702774	0.354670494984178	-0.757991052271678	0.448456339334503	0.544959107272209	Mybl1
ENSMUSG00000045210	51.1715416277484	-0.2174107454842	0.14263314698094	-1.52426522225758	0.127442471045005	0.191810552802833	Vcpip1
ENSMUSG00000097893	0.191387629416755	-0.553023948111764	2.38682217203125	-0.231698848197445	0.816771926048681	NA	1700034P13Rik
ENSMUSG00000025915	4.05136877953778	-0.494195662123431	0.527598672002443	-0.936688601295689	0.348918761297312	0.446299630708576	Sgk3
ENSMUSG00000098234	51.2576185021649	0.529146871752952	0.214748279356106	2.4640331151408	0.0137383417865939	0.0264828865117232	Snhg6
ENSMUSG00000099032	0.988934275487241	-3.65394338723968	1.10700680633653	-3.30074157297355	0.000964296587379657	0.00229341323179356	Tcf24
ENSMUSG00000025917	342.644778117697	0.0646406750605298	0.0638070283466712	1.01306512363073	0.311029055616188	0.407038238355784	Cops5
ENSMUSG00000056763	20.3207470989988	-0.34567882197692	0.225259053115297	-1.53458348153487	0.124886172746475	0.188696724801347	Cspp1
ENSMUSG00000067851	102.138440885418	0.450470137667103	0.113543454736674	3.96738093544728	7.26667947184396e-05	0.000204680096602848	Arfgef1
ENSMUSG00000102556	0.0405667519481542	-0.553018809009551	4.92768185620347	-0.112226971047929	0.910643444449435	NA	Gm37569
ENSMUSG00000042501	0.976866895845732	-0.480623577739857	1.03385002607964	-0.464887136060132	0.642012283136712	0.722173138827793	Cpa6
ENSMUSG00000048960	102.679873735443	-0.349665578530016	0.115428862452223	-3.02927336457765	0.00245142755496775	0.00544557632030372	Prex2
ENSMUSG00000097628	0.073129629793524	0	4.28185474233728	0	1	NA	Gm2383
ENSMUSG00000016918	36.2213170042467	-0.893764476023423	0.167734360272129	-5.32845193181287	9.90534040051207e-08	3.81988735921242e-07	Sulf1
ENSMUSG00000025938	13.3352972384259	0.902168902043272	0.316238014508308	2.85281610892346	0.00433336896388784	0.00922611720893748	Slco5a1
ENSMUSG00000005886	41.1051531490947	-0.200516942827096	0.173973546020236	-1.15257145361498	0.249086325757821	0.33802493885947	Ncoa2
ENSMUSG00000103506	0.151288948796233	-0.553023390681237	2.7771995110613	-0.199129874709614	0.842161152527738	NA	Gm38376
ENSMUSG00000102639	0.0398789936356314	-0.553018809009551	4.92768185620347	-0.112226971047929	0.910643444449435	NA	Gm38223
ENSMUSG00000103085	0.453691001401798	-0.0351518928539973	1.31757201470384	-0.0266792952959757	0.978715527214214	0.984863415363502	Gm38120
ENSMUSG00000102664	0.400521907617694	-0.0949780619614762	1.55342475996332	-0.0611410764198961	0.951246856071827	0.967497373942093	Gm38380
ENSMUSG00000101476	0.0518701955116455	0	4.92768185620347	0	1	NA	Gm29570
ENSMUSG00000025935	397.762868076965	-0.0416104442683706	0.067647412264522	-0.615107701469217	0.538483596324667	0.630027256930066	Tram1
ENSMUSG00000025937	49.5090692750236	0.160048176970828	0.153312993573853	1.04393093657604	0.296517343778889	0.391452327389067	Lactb2
ENSMUSG00000097711	0.413443123667152	0.889668313997683	1.64484168739093	0.540883855764191	0.588587639192225	0.673437807029147	Gm5523
ENSMUSG00000025932	27.9176512772517	-6.07283648329108	0.656568006506681	-9.24936400054285	2.25832391934002e-20	2.03980949214788e-19	Eya1
ENSMUSG00000025930	0.123478399194313	-1.00160763052307	2.91112483045559	-0.344062068395164	0.730799608374886	NA	Msc
ENSMUSG00000082193	0.793224569827074	-0.419930344541452	1.26044407413514	-0.333160632160208	0.739013033167138	0.805030683103208	Rpl5-ps1
ENSMUSG00000073737	0.603157097537134	1.25633404687589	1.43180062131965	0.877450413255137	0.380242041033782	0.477082582452991	Gm10566
ENSMUSG00000025925	41.2820624430899	0.0449489489040286	0.159172861414742	0.282390782602753	0.77764388193592	0.834721409622683	Terf1
ENSMUSG00000104379	0.121615997696037	-0.0721266920636354	3.66478530657551	-0.0196810143105035	0.984297836232687	NA	Gm37509
ENSMUSG00000032719	0.0541893519699077	0	4.92768185620347	0	1	NA	Sbspon
ENSMUSG00000043716	8365.02872313154	0.326780185436819	0.0339939548474926	9.61289108321923	7.05399987355833e-22	6.83668958538125e-21	Rpl7
ENSMUSG00000025921	104.379567304778	-2.03335634929442	0.118437372223285	-17.1681987798667	4.59457801027476e-66	1.60086584322998e-64	Rdh10
ENSMUSG00000025920	12.830458164878	-1.5673228787591	0.326078327166907	-4.80658402653314	1.53530971626102e-06	5.3122173573808e-06	Stau2
