"","ensembl_gene_id","external_gene_name"
"1288","ENSMUSG00000010044","Zmynd10"
"1289","ENSMUSG00000010045","Tmem115"
"1290","ENSMUSG00000010047","Hyal2"
"1291","ENSMUSG00000010048","Ifrd2"
"1292","ENSMUSG00000010051","Hyal1"
"1293","ENSMUSG00000010054","Tusc2"
"1294","ENSMUSG00000010057","Nprl2"
"1295","ENSMUSG00000010064","Slc38a3"
"1296","ENSMUSG00000010066","Cacna2d2"
"1297","ENSMUSG00000010067","Rassf1"
"1298","ENSMUSG00000010080","Epn3"
"1299","ENSMUSG00000010086","Rnf112"
"1300","ENSMUSG00000010095","Slc3a2"
"1301","ENSMUSG00000010097","Nxf1"
"1302","ENSMUSG00000010110","Stx5a"
"1303","ENSMUSG00000010122","Slc47a1"
"1304","ENSMUSG00000010136","Cimap3"
"1305","ENSMUSG00000010142","Tnfrsf13b"
"1306","ENSMUSG00000010154","Spire2"
"1307","ENSMUSG00000010175","Prox1"
"1308","ENSMUSG00000010205","Raver1"
"1309","ENSMUSG00000010277","Bltp2"
"1310","ENSMUSG00000010290","AI597479"
"1311","ENSMUSG00000010307","Tmem86a"
"1312","ENSMUSG00000010311","Optc"
"1313","ENSMUSG00000010342","Tex14"
"1314","ENSMUSG00000010358","Ifi35"
"1315","ENSMUSG00000010362","Rdm1"
"1316","ENSMUSG00000010376","Nedd8"
"1317","ENSMUSG00000010392","Gosr1"
"1318","ENSMUSG00000010406","Mrpl52"
"1319","ENSMUSG00000010435","Spaca7"
"1320","ENSMUSG00000010453","Kansl3"
"1321","ENSMUSG00000010461","Eya4"
"1322","ENSMUSG00000010476","Ebf3"
"1323","ENSMUSG00000010492","Uckl1os"
"1324","ENSMUSG00000010505","Myt1"
"1325","ENSMUSG00000010517","Faf1"
"1326","ENSMUSG00000010529","Gm266"
"1327","ENSMUSG00000010538","Tsacc"
"1328","ENSMUSG00000010554","Mettl16"
"1329","ENSMUSG00000010592","Dazl"
"1330","ENSMUSG00000010601","Apol7a"
"1331","ENSMUSG00000010607","Pigyl"
"1332","ENSMUSG00000010608","Rbm25"
"1333","ENSMUSG00000010609","Psen2"
"1334","ENSMUSG00000010651","Acaa1b"
"1335","ENSMUSG00000010660","Plcd1"
"1336","ENSMUSG00000010663","Fads1"
"1337","ENSMUSG00000010721","Lmbr1"
"1338","ENSMUSG00000010751","Tnfrsf22"
"1339","ENSMUSG00000010755","Cars1"
"1340","ENSMUSG00000010760","Phlda2"
"1341","ENSMUSG00000010796","Asz1"
"1342","ENSMUSG00000010797","Wnt2"
"1343","ENSMUSG00000010803","Gabra1"
"1344","ENSMUSG00000010825","Grid2ip"
"1345","ENSMUSG00000010830","Kdelr3"
"1346","ENSMUSG00000010841","Cfap97d1"
"1347","ENSMUSG00000010911","Apip"
"1348","ENSMUSG00000010914","Pdhx"
"1349","ENSMUSG00000010936","Vac14"
"1350","ENSMUSG00000011008","Mcoln2"
"1351","ENSMUSG00000011034","Slc5a1"
"1352","ENSMUSG00000011052",NA
"1353","ENSMUSG00000011096","Akt1s1"
"1354","ENSMUSG00000011114","Tbrg1"
"1355","ENSMUSG00000011118","Panx3"
"1356","ENSMUSG00000011148","Adss1"
"1357","ENSMUSG00000011154","Cfap161"
"1358","ENSMUSG00000011158","Brf1"
"1359","ENSMUSG00000011171","Vipr2"
"1360","ENSMUSG00000011179","Odc1"
"1361","ENSMUSG00000011254","Thg1l"
"1362","ENSMUSG00000011256","Adam19"
"1363","ENSMUSG00000011257","Pabpc4"
"1364","ENSMUSG00000011263","Exoc3l2"
"1365","ENSMUSG00000011267","Zfp296"
"1366","ENSMUSG00000011305","Plin5"
"1367","ENSMUSG00000011306","Sugp1"
"1368","ENSMUSG00000011349","Dmrtc2"
"1369","ENSMUSG00000011350","Gm5893"
"1370","ENSMUSG00000011382","Dhdh"
"1371","ENSMUSG00000011427","Zfp790"
"1372","ENSMUSG00000011463","Cpb1"
"1373","ENSMUSG00000011486","Slc25a41"
"1374","ENSMUSG00000011589","Fsd1"
"1375","ENSMUSG00000011632","Pinlyp"
"1376","ENSMUSG00000011658","Fuz"
"1377","ENSMUSG00000011751","Sptbn4"
"1378","ENSMUSG00000011752","Pgam1"
"1379","ENSMUSG00000011831","Evi5"
"1380","ENSMUSG00000011832","Evi5l"
"1381","ENSMUSG00000011837","Snapc2"
"1382","ENSMUSG00000011877","Git1"
"1383","ENSMUSG00000011884","Gltp"
"1384","ENSMUSG00000011958","Bnip2"
"1385","ENSMUSG00000011960","Ccnt1"
"1386","ENSMUSG00000012017","Scarf2"
"1387","ENSMUSG00000012042","4930579F01Rik"
"1388","ENSMUSG00000012076","Brms1l"
"1389","ENSMUSG00000012114","Med15"
"1390","ENSMUSG00000012117","Dhdds"
"1391","ENSMUSG00000012123","Crybg2"
"1392","ENSMUSG00000012126","Ubxn11"
"1393","ENSMUSG00000012187","Mogat1"
"1394","ENSMUSG00000012211","Tex22"
"1395","ENSMUSG00000012282","Wnt8a"
"1396","ENSMUSG00000012296","Tjap1"
"1397","ENSMUSG00000012350","Ehf"
"1398","ENSMUSG00000012396","Nanog"
"1399","ENSMUSG00000012405","Rpl15"
"1400","ENSMUSG00000012422","Tmem167"
"1401","ENSMUSG00000012428","Steap4"
"1402","ENSMUSG00000012429","Mplkip"
"1403","ENSMUSG00000012443","Kif11"
"1404","ENSMUSG00000012483","Rpa3"
"1405","ENSMUSG00000012519","Mlkl"
"1406","ENSMUSG00000012520","Phox2b"
"1407","ENSMUSG00000012535","Tnpo3"
"1408","ENSMUSG00000012609","Ttll5"
"1409","ENSMUSG00000012640","Zfp715"
"1410","ENSMUSG00000012705","Retn"
"1411","ENSMUSG00000012777","Acp4"
"1412","ENSMUSG00000012819","Cdh23"
"1413","ENSMUSG00000012848","Rps5"
"1414","ENSMUSG00000012889","Podnl1"
"1415","ENSMUSG00000013033","Adgrl1"
"1416","ENSMUSG00000013076","Amotl1"
"1417","ENSMUSG00000013083","2200002J24Rik"
"1418","ENSMUSG00000013089","Etv5"
"1419","ENSMUSG00000013091","Tmem190"
"1420","ENSMUSG00000013150","Gfod2"
"1421","ENSMUSG00000013155","Enkd1"
"1422","ENSMUSG00000013158","4933405L10Rik"
"1423","ENSMUSG00000013160","Atp6v0d1"
"1424","ENSMUSG00000013236","Ptprs"
"1425","ENSMUSG00000013275","Slc41a1"
"1426","ENSMUSG00000013338","Fer1l4"
"1427","ENSMUSG00000013353","Siglecl2"
"1428","ENSMUSG00000013367","Iglon5"
"1429","ENSMUSG00000013415","Igf2bp1"
"1430","ENSMUSG00000013418","B4galnt2"
"1431","ENSMUSG00000013419","Zbtb47"
"1432","ENSMUSG00000013465","Nelfb"
"1433","ENSMUSG00000013483","Card14"
"1434","ENSMUSG00000013495","Tmem175"
"1435","ENSMUSG00000013523","Bcas1"
"1436","ENSMUSG00000013539","Tango2"
"1437","ENSMUSG00000013562","4833413E03Rik"
"1438","ENSMUSG00000013584","Aldh1a2"
"1439","ENSMUSG00000013593","Ndufs2"
"1440","ENSMUSG00000013611","Snx31"
"1441","ENSMUSG00000013622","Atraid"
"1442","ENSMUSG00000013629","Cad"
"1443","ENSMUSG00000013643","Lypd8"
"1444","ENSMUSG00000013646","Sh3bp5l"
"1445","ENSMUSG00000013653","1810065E05Rik"
"1446","ENSMUSG00000013662","Atad1"
"1447","ENSMUSG00000013663","Pten"
"1448","ENSMUSG00000013668","4933402N03Rik"
"1449","ENSMUSG00000013698","Pea15a"
"1450","ENSMUSG00000013701","Timm23"
"1451","ENSMUSG00000013707","Tnfaip8l2"
"1452","ENSMUSG00000013736","Trnt1"
"1453","ENSMUSG00000013766","Ly6g6e"
"1454","ENSMUSG00000013787","Ehmt2"
"1455","ENSMUSG00000013822","Elof1"
"1456","ENSMUSG00000013833","Med16"
"1457","ENSMUSG00000013846","St3gal1"
"1458","ENSMUSG00000013858","Tmem259"
"1459","ENSMUSG00000013878","Rnf170"
"1460","ENSMUSG00000013921","Clip3"
"1461","ENSMUSG00000013928","1700020L13Rik"
"1462","ENSMUSG00000013936","Myl2"
"1463","ENSMUSG00000013973","Dedd"
"1464","ENSMUSG00000013974","Mcemp1"
"1465","ENSMUSG00000013997","Nit1"
"1466","ENSMUSG00000014030","Pax5"
"1467","ENSMUSG00000014039","Prdm15"
"1468","ENSMUSG00000014074","Rnf168"
"1469","ENSMUSG00000014075","Dynlt2b"
"1470","ENSMUSG00000014077","Chp1"
"1471","ENSMUSG00000014104","Sval2"
"1472","ENSMUSG00000014158","Trpv4"
"1473","ENSMUSG00000014164","Klhl3"
"1474","ENSMUSG00000014177","Tvp23b"
"1475","ENSMUSG00000014195","Dnajc7"
"1476","ENSMUSG00000014198","Zfp385c"
"1477","ENSMUSG00000014226","Cacybp"
"1478","ENSMUSG00000014232","Cluap1"
"1479","ENSMUSG00000014243","Zswim7"
"1480","ENSMUSG00000014245","Pigl"
"1481","ENSMUSG00000014294","Ndufa2"
"1482","ENSMUSG00000014301","Pam16"
"1483","ENSMUSG00000014303","Glis2"
"1484","ENSMUSG00000014313","Cox6c"
"1485","ENSMUSG00000014329","Bicc1"
"1486","ENSMUSG00000014349","Ube2z"
"1487","ENSMUSG00000014351","Gip"
"1488","ENSMUSG00000014353","Tmem87b"
"1489","ENSMUSG00000014355","Anapc1"
"1490","ENSMUSG00000014361","Mertk"
"1491","ENSMUSG00000014402","Tsg101"
"1492","ENSMUSG00000014418","Hps5"
"1493","ENSMUSG00000014426","Map3k4"
"1494","ENSMUSG00000014444","Piezo1"
"1495","ENSMUSG00000014453","Blk"
"1496","ENSMUSG00000014470","Rnf166"
"1497","ENSMUSG00000014496","Ankrd28"
"1498","ENSMUSG00000014498","Ankrd52"
"1499","ENSMUSG00000014503","Pkd2l2"
"1500","ENSMUSG00000014504","Srp19"
"1501","ENSMUSG00000014529","Tmbim7"
"1502","ENSMUSG00000014542","Clec4f"
"1503","ENSMUSG00000014543","Klra17"
"1504","ENSMUSG00000014547","Wdfy2"
"1505","ENSMUSG00000014550","Rbsn"
"1506","ENSMUSG00000014551","Mrps25"
"1507","ENSMUSG00000014554","Dguok"
"1508","ENSMUSG00000014592","Camta1"
"1509","ENSMUSG00000014599","Csf1"
"1510","ENSMUSG00000014601","Strip1"
"1511","ENSMUSG00000014602","Kif1a"
"1512","ENSMUSG00000014603","Alx3"
"1513","ENSMUSG00000014606","Slc25a11"
"1514","ENSMUSG00000014609","Chrne"
"1515","ENSMUSG00000014633","Cmc2"
"1516","ENSMUSG00000014668","Chfr"
"1517","ENSMUSG00000014686","Ceacam16"
"1518","ENSMUSG00000014704","Hoxa2"
"1519","ENSMUSG00000014725","Adam28"
"1520","ENSMUSG00000014747","Ankrd53"
"1521","ENSMUSG00000014748","Tex261"
"1522","ENSMUSG00000014763","Fam120b"
"1523","ENSMUSG00000014767","Tbp"
"1524","ENSMUSG00000014769","Psmb1"
"1525","ENSMUSG00000014771","Pdcd2"
"1526","ENSMUSG00000014773","Dll1"
"1527","ENSMUSG00000014776","Nol3"
"1528","ENSMUSG00000014778","Fhod1"
"1529","ENSMUSG00000014782","Plekhg4"
"1530","ENSMUSG00000014786","Slc9a5"
"1531","ENSMUSG00000014791","Elmo3"
"1532","ENSMUSG00000014813","Stc1"
"1533","ENSMUSG00000014837","Matcap1"
"1534","ENSMUSG00000014846","Tppp3"
"1535","ENSMUSG00000014850","Msh3"
"1536","ENSMUSG00000014852","Adamts13"
"1537","ENSMUSG00000014856","Tmem208"
"1538","ENSMUSG00000014859","E2f4"
"1539","ENSMUSG00000014867","Surf4"
"1540","ENSMUSG00000014873","Surf2"
"1541","ENSMUSG00000014905","Dnajb9"
"1542","ENSMUSG00000014907","Naf1"
"1543","ENSMUSG00000014932","Yes1"
"1544","ENSMUSG00000014956","Ppp1cb"
"1545","ENSMUSG00000014959","Gorasp2"
"1546","ENSMUSG00000014980","Tsen15"
"1547","ENSMUSG00000015001","Oc90"
"1548","ENSMUSG00000015002","Efr3a"
"1549","ENSMUSG00000015013","Trappc2l"
"1550","ENSMUSG00000015016","Acsf3"
"1551","ENSMUSG00000015023","Ddx19a"
"1552","ENSMUSG00000015027","Galns"
"1553","ENSMUSG00000015053","Gata2"
"1554","ENSMUSG00000015083","C8g"
"1555","ENSMUSG00000015085","Entpd2"
"1556","ENSMUSG00000015087","Rabl6"
"1557","ENSMUSG00000015090","Ptgds"
"1558","ENSMUSG00000015092","Edf1"
"1559","ENSMUSG00000015093","Clic3"
"1560","ENSMUSG00000015094","Npdc1"
"1561","ENSMUSG00000015095","Fbxw5"
"1562","ENSMUSG00000015112","Slc25a13"
"1563","ENSMUSG00000015120","Ube2i"
"1564","ENSMUSG00000015126","Tsr3"
"1565","ENSMUSG00000015127","Unkl"
"1566","ENSMUSG00000015133","Lrrk1"
"1567","ENSMUSG00000015134","Aldh1a3"
"1568","ENSMUSG00000015143","Actn1"
"1569","ENSMUSG00000015149","Sirt2"
"1570","ENSMUSG00000015165","Hnrnpl"
"1571","ENSMUSG00000015176","Nolc1"
"1572","ENSMUSG00000015189","Casd1"
"1573","ENSMUSG00000015202","Cnksr3"
"1574","ENSMUSG00000015214","Mtmr1"
"1575","ENSMUSG00000015217","Hmgb3"
"1576","ENSMUSG00000015222","Map2"
"1577","ENSMUSG00000015224","Cyp2j9"
"1578","ENSMUSG00000015242","Nipsnap3a"
"1579","ENSMUSG00000015243","Abca1"
"1580","ENSMUSG00000015247","Nipsnap3b"
"1581","ENSMUSG00000015289","Lage3"
"1582","ENSMUSG00000015290","Ubl4a"
"1583","ENSMUSG00000015291","Gdi1"
"1584","ENSMUSG00000015305","Sash1"
"1585","ENSMUSG00000015312","Gadd45b"
"1586","ENSMUSG00000015314","Slamf6"
"1587","ENSMUSG00000015316","Slamf1"
"1588","ENSMUSG00000015335","Zdhhc12"
"1589","ENSMUSG00000015337","Endog"
"1590","ENSMUSG00000015340","Cybb"
"1591","ENSMUSG00000015341","Golga7"
"1592","ENSMUSG00000015342","Xk"
"1593","ENSMUSG00000015354","Pcolce2"
"1594","ENSMUSG00000015355","Cd48"
"1595","ENSMUSG00000015357","Clpx"
"1596","ENSMUSG00000015363","Trabd"
"1597","ENSMUSG00000015365","Mov10l1"
"1598","ENSMUSG00000015377","Dennd6b"
"1599","ENSMUSG00000015396","Cd83"
"1600","ENSMUSG00000015401","Cltrn"
"1601","ENSMUSG00000015405","Ace2"
"1602","ENSMUSG00000015437","Gzmb"
"1603","ENSMUSG00000015441","Gzmf"
"1604","ENSMUSG00000015443","Gzmn"
"1605","ENSMUSG00000015451","C4a"
"1606","ENSMUSG00000015452","Ager"
"1607","ENSMUSG00000015461","Atf6b"
"1608","ENSMUSG00000015467","Egfl8"
"1609","ENSMUSG00000015468","Notch4"
"1610","ENSMUSG00000015474","Ppt2"
"1611","ENSMUSG00000015476","Prrt1"
"1612","ENSMUSG00000015478","Rnf5"
"1613","ENSMUSG00000015484","Fam163a"
"1614","ENSMUSG00000015488","Cacfd1"
"1615","ENSMUSG00000015501","Hivep2"
"1616","ENSMUSG00000015519","2310057J18Rik"
"1617","ENSMUSG00000015522","Arnt"
"1618","ENSMUSG00000015533","Itga2"
"1619","ENSMUSG00000015536","Mocs2"
"1620","ENSMUSG00000015542","Nat9"
"1621","ENSMUSG00000015568","Lpl"
"1622","ENSMUSG00000015575","Atp6v0e"
"1623","ENSMUSG00000015579","Nkx2-5"
"1624","ENSMUSG00000015597","Zfp318"
"1625","ENSMUSG00000015599","Ttbk1"
"1626","ENSMUSG00000015605","Srf"
"1627","ENSMUSG00000015619","Gata3"
"1628","ENSMUSG00000015627","Gata5"
"1629","ENSMUSG00000015647","Lama5"
"1630","ENSMUSG00000015652","Steap1"
"1631","ENSMUSG00000015653","Steap2"
"1632","ENSMUSG00000015656","Hspa8"
"1633","ENSMUSG00000015659","Serac1"
"1634","ENSMUSG00000015665","Awat1"
"1635","ENSMUSG00000015668","Pdzd11"
"1636","ENSMUSG00000015671","Psma2"
"1637","ENSMUSG00000015672","Mrpl32"
"1638","ENSMUSG00000015697","Setdb1"
"1639","ENSMUSG00000015702","Anxa9"
"1640","ENSMUSG00000015709","Arnt2"
"1641","ENSMUSG00000015711","Prune1"
"1642","ENSMUSG00000015714","Cers2"
"1643","ENSMUSG00000015721","Nlrp5"
"1644","ENSMUSG00000015733","Capza2"
"1645","ENSMUSG00000015745","Plekho1"
"1646","ENSMUSG00000015747","Vps45"
"1647","ENSMUSG00000015748","Prpf3"
"1648","ENSMUSG00000015749","Anp32e"
"1649","ENSMUSG00000015750","Aph1a"
"1650","ENSMUSG00000015755","Tab2"
"1651","ENSMUSG00000015757","Ppil4"
"1652","ENSMUSG00000015759","Cnih1"
"1653","ENSMUSG00000015766","Eps8"
"1654","ENSMUSG00000015776","Med22"
"1655","ENSMUSG00000015787","Abo"
"1656","ENSMUSG00000015790","Surf1"
"1657","ENSMUSG00000015804","Med28"
"1658","ENSMUSG00000015806","Qdpr"
"1659","ENSMUSG00000015812","Gnrh1"
"1660","ENSMUSG00000015829","Tnr"
"1661","ENSMUSG00000015837","Sqstm1"
"1662","ENSMUSG00000015839","Nfe2l2"
"1663","ENSMUSG00000015843","Rxrg"
"1664","ENSMUSG00000015846","Rxra"
"1665","ENSMUSG00000015850","Adamtsl4"
"1666","ENSMUSG00000015852","Fcrl2"
"1667","ENSMUSG00000015854","Cd5l"
"1668","ENSMUSG00000015869","Prpsap1"
"1669","ENSMUSG00000015879","Fam184b"
"1670","ENSMUSG00000015880","Ncapg"
"1671","ENSMUSG00000015882","Lcorl"
"1672","ENSMUSG00000015889","Lta4h"
"1673","ENSMUSG00000015890","Amdhd1"
"1674","ENSMUSG00000015932","Dstn"
"1675","ENSMUSG00000015937","Macroh2a1"
"1676","ENSMUSG00000015942","Gtf2ird2"
"1677","ENSMUSG00000015943","Bola1"
"1678","ENSMUSG00000015944","Castor2"
"1679","ENSMUSG00000015947","Fcgr1"
"1680","ENSMUSG00000015950","Ncf1"
"1681","ENSMUSG00000015957","Wnt11"
"1682","ENSMUSG00000015961","Adss2"
"1683","ENSMUSG00000015962","Spmip3"
"1684","ENSMUSG00000015966","Il17rb"
"1685","ENSMUSG00000015968","Cacna1d"
"1686","ENSMUSG00000015970","Chdh"
"1687","ENSMUSG00000015971","Actr8"
"1688","ENSMUSG00000015980","Lrrc27"
"1689","ENSMUSG00000015981","Stk32c"
"1690","ENSMUSG00000015994","Fnta"
"1691","ENSMUSG00000016018","Mtrex"
"1692","ENSMUSG00000016024","Lbp"
"1693","ENSMUSG00000016028","Celsr1"
"1694","ENSMUSG00000016087","Fli1"
"1695","ENSMUSG00000016128","Stard13"
"1696","ENSMUSG00000016150","Tenm1"
"1697","ENSMUSG00000016179","Camk1g"
"1698","ENSMUSG00000016181","Utp25"
"1699","ENSMUSG00000016194","Hsd11b1"
"1700","ENSMUSG00000016200","Syt14"
"1701","ENSMUSG00000016206","H2-M3"
"1702","ENSMUSG00000016239","Lonrf3"
"1703","ENSMUSG00000016252","Atp5f1e"
"1704","ENSMUSG00000016253","Nelfcd"
"1705","ENSMUSG00000016255","Tubb1"
"1706","ENSMUSG00000016256","Ctsz"
"1707","ENSMUSG00000016257","Prelid3b"
"1708","ENSMUSG00000016262","Sertad4"
"1709","ENSMUSG00000016283","H2-M2"
"1710","ENSMUSG00000016308","Ube2a"
"1711","ENSMUSG00000016319","Slc25a5"
"1712","ENSMUSG00000016327","Atp1b4"
"1713","ENSMUSG00000016344","Ppdpf"
"1714","ENSMUSG00000016346","Kcnq2"
"1715","ENSMUSG00000016349","Eef1a2"
"1716","ENSMUSG00000016356","Col20a1"
"1717","ENSMUSG00000016382","Pls3"
"1718","ENSMUSG00000016386","Mpped2"
"1719","ENSMUSG00000016409","Nkap"
"1720","ENSMUSG00000016427","Ndufa1"
"1721","ENSMUSG00000016458","Wt1"
"1722","ENSMUSG00000016477","E2f3"
"1723","ENSMUSG00000016481","Cr1l"
"1724","ENSMUSG00000016487","Ppfibp1"
"1725","ENSMUSG00000016493","Cd46"
"1726","ENSMUSG00000016494","Cd34"
"1727","ENSMUSG00000016495","Plgrkt"
"1728","ENSMUSG00000016496","Cd274"
"1729","ENSMUSG00000016498","Pdcd1lg2"
"1730","ENSMUSG00000016503","Gtf3a"
"1731","ENSMUSG00000016510","Mtif3"
"1732","ENSMUSG00000016520","Lnx2"
"1733","ENSMUSG00000016524","Il19"
"1734","ENSMUSG00000016526","Dyrk3"
"1735","ENSMUSG00000016528","Mapkapk2"
"1736","ENSMUSG00000016529","Il10"
"1737","ENSMUSG00000016534","Lamp2"
"1738","ENSMUSG00000016541","Atxn10"
"1739","ENSMUSG00000016552","Foxred2"
"1740","ENSMUSG00000016554","Eif3d"
"1741","ENSMUSG00000016559","H3f3b"
"1742","ENSMUSG00000016619","Nup50"
"1743","ENSMUSG00000016624","Phf21b"
"1744","ENSMUSG00000016626","Nlrp14"
"1745","ENSMUSG00000016637","Ift27"
"1746","ENSMUSG00000016664","Pacsin2"
"1747","ENSMUSG00000016756","Cmah"
"1748","ENSMUSG00000016757","Ttll12"
"1749","ENSMUSG00000016758","Bik"
"1750","ENSMUSG00000016763","Scube1"
"1751","ENSMUSG00000016831","Tox4"
"1752","ENSMUSG00000016833","Mrps18c"
"1753","ENSMUSG00000016918","Sulf1"
"1754","ENSMUSG00000016921","Srsf6"
"1755","ENSMUSG00000016933","Plcg1"
"1756","ENSMUSG00000016940","Kctd2"
"1757","ENSMUSG00000016942","Tmprss6"
"1758","ENSMUSG00000016946","Kctd5"
"1759","ENSMUSG00000016982","Pom121l2"
"1760","ENSMUSG00000016984","Etaa1"
"1761","ENSMUSG00000016995","Matn4"
"1762","ENSMUSG00000016998","Svs4"
"1763","ENSMUSG00000017000","Svs6"
"1764","ENSMUSG00000017002","Slpi"
"1765","ENSMUSG00000017003","Svs3a"
"1766","ENSMUSG00000017004","Svs5"
"1767","ENSMUSG00000017007","Rbpjl"
"1768","ENSMUSG00000017009","Sdc4"
"1769","ENSMUSG00000017049","Ccdc70"
"1770","ENSMUSG00000017057","Il13ra1"
"1771","ENSMUSG00000017064","Prl5a1"
"1772","ENSMUSG00000017119","Nbr1"
"1773","ENSMUSG00000017132","Cyth1"
"1774","ENSMUSG00000017144","Rnd3"
"1775","ENSMUSG00000017146","Brca1"
"1776","ENSMUSG00000017165","Gast"
"1777","ENSMUSG00000017167","Cntnap1"
"1778","ENSMUSG00000017176","Nt5c3b"
"1779","ENSMUSG00000017188","Coa3"
"1780","ENSMUSG00000017195","Zpbp2"
"1781","ENSMUSG00000017204","Gsdma"
"1782","ENSMUSG00000017210","Med24"
"1783","ENSMUSG00000017211","Gsdma2"
"1784","ENSMUSG00000017221","Psmd3"
"1785","ENSMUSG00000017264","Exosc10"
"1786","ENSMUSG00000017286","Glod4"
"1787","ENSMUSG00000017288","Vps53"
"1788","ENSMUSG00000017291","Taok1"
"1789","ENSMUSG00000017299","Dnttip1"
"1790","ENSMUSG00000017300","Tnnc2"
"1791","ENSMUSG00000017307","Acot8"
"1792","ENSMUSG00000017309","Cd300lg"
"1793","ENSMUSG00000017310","Spint4"
"1794","ENSMUSG00000017311","Pyy"
"1795","ENSMUSG00000017314","Mpp2"
"1796","ENSMUSG00000017316","Ppy"
"1797","ENSMUSG00000017344","Vtn"
"1798","ENSMUSG00000017376","Nlk"
"1799","ENSMUSG00000017386","Traf4"
"1800","ENSMUSG00000017390","Aldoc"
"1801","ENSMUSG00000017400","Stac2"
"1802","ENSMUSG00000017404","Rpl19"
"1803","ENSMUSG00000017405","Nek8"
"1804","ENSMUSG00000017412","Cacnb4"
"1805","ENSMUSG00000017417","Plxdc1"
"1806","ENSMUSG00000017418","Arl5b"
"1807","ENSMUSG00000017421","Zfp207"
"1808","ENSMUSG00000017428","Psmd11"
"1809","ENSMUSG00000017446","C1qtnf1"
"1810","ENSMUSG00000017453","Pipox"
"1811","ENSMUSG00000017466","Timp2"
"1812","ENSMUSG00000017478","Zc3h18"
"1813","ENSMUSG00000017485","Top2b"
"1814","ENSMUSG00000017491","Rarb"
"1815","ENSMUSG00000017493","Igfbp4"
"1816","ENSMUSG00000017499","Cdc6"
"1817","ENSMUSG00000017548","Suz12"
"1818","ENSMUSG00000017550","Atad5"
"1819","ENSMUSG00000017561","Crlf3"
"1820","ENSMUSG00000017588","Krt27"
"1821","ENSMUSG00000017607","Tns4"
"1822","ENSMUSG00000017615","Tnfaip1"
"1823","ENSMUSG00000017631","Abr"
"1824","ENSMUSG00000017639","Rab11fip4"
"1825","ENSMUSG00000017652","Cd40"
"1826","ENSMUSG00000017664","Slc35c2"
"1827","ENSMUSG00000017667","Zfp334"
"1828","ENSMUSG00000017670","Elmo2"
"1829","ENSMUSG00000017677","Wsb1"
"1830","ENSMUSG00000017679","Ttpal"
"1831","ENSMUSG00000017686","Rhot1"
"1832","ENSMUSG00000017688","Hnf4g"
"1833","ENSMUSG00000017692","Rhbdl3"
"1834","ENSMUSG00000017697","Ada"
"1835","ENSMUSG00000017707","Serinc3"
"1836","ENSMUSG00000017713","Tha1"
"1837","ENSMUSG00000017715","Pgs1"
"1838","ENSMUSG00000017716","Birc5"
"1839","ENSMUSG00000017718","Afmid"
"1840","ENSMUSG00000017720","Trp53tg5"
"1841","ENSMUSG00000017721","Pigt"
"1842","ENSMUSG00000017723","Wfdc2"
"1843","ENSMUSG00000017724","Etv4"
"1844","ENSMUSG00000017733","Eppin"
"1845","ENSMUSG00000017734","Dbndd2"
"1846","ENSMUSG00000017737","Mmp9"
"1847","ENSMUSG00000017740","Slc12a5"
"1848","ENSMUSG00000017747","Ghdc"
"1849","ENSMUSG00000017754","Pltp"
"1850","ENSMUSG00000017756","Slc12a7"
"1851","ENSMUSG00000017760","Ctsa"
"1852","ENSMUSG00000017764","Zswim1"
"1853","ENSMUSG00000017765","Slc12a4"
"1854","ENSMUSG00000017767","Spata25"
"1855","ENSMUSG00000017774","Myo1c"
"1856","ENSMUSG00000017776","Crk"
"1857","ENSMUSG00000017778","Cox7c"
"1858","ENSMUSG00000017781","Pitpna"
"1859","ENSMUSG00000017801","Mlx"
"1860","ENSMUSG00000017802","Retreg3"
"1861","ENSMUSG00000017817","Jph2"
"1862","ENSMUSG00000017830","Dhx58"
"1863","ENSMUSG00000017831","Rab5a"
"1864","ENSMUSG00000017832","Hspb9"
"1865","ENSMUSG00000017837","Nkiras2"
"1866","ENSMUSG00000017843","Ppp2r5c"
"1867","ENSMUSG00000017858","Ift52"
"1868","ENSMUSG00000017861","Mybl2"
"1869","ENSMUSG00000017868","Sgk2"
"1870","ENSMUSG00000017897","Eya2"
"1871","ENSMUSG00000017922","Prl3c1"
"1872","ENSMUSG00000017929","B4galt5"
"1873","ENSMUSG00000017943","Gdap1l1"
"1874","ENSMUSG00000017950","Hnf4a"
"1875","ENSMUSG00000017969","Ptgis"
"1876","ENSMUSG00000017978","Cadps2"
"1877","ENSMUSG00000017999","Ddx27"
"1878","ENSMUSG00000018001","Cyth3"
"1879","ENSMUSG00000018008","Cyth4"
"1880","ENSMUSG00000018012","Rac3"
"1881","ENSMUSG00000018040","Rrp7a"
"1882","ENSMUSG00000018042","Cyb5r3"
"1883","ENSMUSG00000018068","Ints2"
"1884","ENSMUSG00000018076","Med13l"
"1885","ENSMUSG00000018102","H2bc4"
"1886","ENSMUSG00000018126","Baiap2l2"
"1887","ENSMUSG00000018143","Mafk"
"1888","ENSMUSG00000018160","Med1"
"1889","ENSMUSG00000018166","Erbb3"
"1890","ENSMUSG00000018167","Stard3"
"1891","ENSMUSG00000018168","Ikzf3"
"1892","ENSMUSG00000018169","Mfng"
"1893","ENSMUSG00000018171","Vmp1"
"1894","ENSMUSG00000018189","Uchl5"
"1895","ENSMUSG00000018196","Glrx2"
