"","ensembl_gene_id","external_gene_name"
"146","ENSMUSG00000000827","Tpd52l2"
"147","ENSMUSG00000000838","Fmr1"
"148","ENSMUSG00000000861","Bcl11a"
"149","ENSMUSG00000000869","Il4"
"150","ENSMUSG00000000876","Pxmp4"
"151","ENSMUSG00000000881","Dlg3"
"152","ENSMUSG00000000884","Gnb1l"
"153","ENSMUSG00000000889","Dbh"
"154","ENSMUSG00000000901","Mmp11"
"155","ENSMUSG00000000902","Smarcb1"
"156","ENSMUSG00000000903","Vpreb3"
"157","ENSMUSG00000000915","Hip1r"
"158","ENSMUSG00000000916","Nsun5"
"159","ENSMUSG00000000934","Top1mt"
"160","ENSMUSG00000000938","Hoxa10"
"161","ENSMUSG00000000942","Hoxa4"
"162","ENSMUSG00000000948","Gm38393"
"163","ENSMUSG00000000957","Mmp14"
"164","ENSMUSG00000000958","Slc7a7"
"165","ENSMUSG00000000959","Oxa1l"
"166","ENSMUSG00000000976","Heatr6"
"167","ENSMUSG00000000982","Ccl3"
"168","ENSMUSG00000000983","Wfdc18"
"169","ENSMUSG00000001014","Icam4"
"170","ENSMUSG00000001016","Ilf2"
"171","ENSMUSG00000001017","Chtop"
"172","ENSMUSG00000001018","Snapin"
"173","ENSMUSG00000001020","S100a4"
"174","ENSMUSG00000001021","S100a3"
"175","ENSMUSG00000001023","S100a5"
"176","ENSMUSG00000001025","S100a6"
"177","ENSMUSG00000001027","Scn4a"
"178","ENSMUSG00000001029","Icam2"
"179","ENSMUSG00000001034","Mapk7"
"180","ENSMUSG00000001036","Epn2"
"181","ENSMUSG00000001039","B9d1"
"182","ENSMUSG00000001052","Sec24b"
"183","ENSMUSG00000001053","N4bp3"
"184","ENSMUSG00000001054","Rmnd5b"
"185","ENSMUSG00000001056","Nhp2"
"186","ENSMUSG00000001062","Vps9d1"
"187","ENSMUSG00000001065","Zfp276"
"188","ENSMUSG00000001076","C1ql4"
"189","ENSMUSG00000001082","Mfsd10"
"190","ENSMUSG00000001089","Luzp1"
"191","ENSMUSG00000001095","Slc13a2"
"192","ENSMUSG00000001098","Kctd10"
"193","ENSMUSG00000001100","Poldip2"
"194","ENSMUSG00000001103","Sebox"
"195","ENSMUSG00000001105","Ift20"
"196","ENSMUSG00000001119","Col6a1"
"197","ENSMUSG00000001120","Pcbp3"
"198","ENSMUSG00000001123","Lgals9"
"199","ENSMUSG00000001127","Araf"
"200","ENSMUSG00000001128","Cfp"
"201","ENSMUSG00000001131","Timp1"
"202","ENSMUSG00000001134","Uxt"
"203","ENSMUSG00000001138","Cnnm3"
"204","ENSMUSG00000001143","Lman2l"
"205","ENSMUSG00000001150","Mcm3ap"
"206","ENSMUSG00000001151","Pcnt"
"207","ENSMUSG00000001155","Ftcd"
"208","ENSMUSG00000001156","Mxd1"
"209","ENSMUSG00000001157","Gmcl1"
"210","ENSMUSG00000001158","Snrnp27"
"211","ENSMUSG00000001166","Oas1c"
"212","ENSMUSG00000001168","Oas1h"
"213","ENSMUSG00000001173","Ocrl"
"214","ENSMUSG00000001175","Calm1"
"215","ENSMUSG00000001211","Agpat3"
"216","ENSMUSG00000001225","Slc26a3"
"217","ENSMUSG00000001227","Sema6b"
"218","ENSMUSG00000001228","Uhrf1"
"219","ENSMUSG00000001229","Dpp9"
"220","ENSMUSG00000001240","Ramp2"
"221","ENSMUSG00000001247","Lsr"
"222","ENSMUSG00000001248","Gramd1a"
"223","ENSMUSG00000001249","Hpn"
"224","ENSMUSG00000001260","Gabrg1"
"225","ENSMUSG00000001270","Ckb"
"226","ENSMUSG00000001280","Sp1"
"227","ENSMUSG00000001281","Itgb7"
"228","ENSMUSG00000001285","Myg1"
"229","ENSMUSG00000001288","Rarg"
"230","ENSMUSG00000001289","Pfdn5"
"231","ENSMUSG00000001300","Efnb2"
"232","ENSMUSG00000001305","Rrp15"
"233","ENSMUSG00000001313","Rnd2"
"234","ENSMUSG00000001323","Srr"
"235","ENSMUSG00000001333","Sync"
"236","ENSMUSG00000001334","Fndc5"
"237","ENSMUSG00000001348","Acp5"
"238","ENSMUSG00000001349","Cnn1"
"239","ENSMUSG00000001366","Fbxo9"
"240","ENSMUSG00000001376","Vps50"
"241","ENSMUSG00000001380","Hars1"
"242","ENSMUSG00000001383","Zmat2"
"243","ENSMUSG00000001403","Ube2c"
"244","ENSMUSG00000001415","Smg5"
"245","ENSMUSG00000001416","Cct3"
"246","ENSMUSG00000001418","Glmp"
"247","ENSMUSG00000001419","Mef2d"
"248","ENSMUSG00000001420","Tmem79"
"249","ENSMUSG00000001424","Snd1"
"250","ENSMUSG00000001435","Col18a1"
"251","ENSMUSG00000001436","Slc19a1"
"252","ENSMUSG00000001440","Kpnb1"
"253","ENSMUSG00000001441","Npepps"
"254","ENSMUSG00000001444","Tbx21"
"255","ENSMUSG00000001445","Mrpl10"
"256","ENSMUSG00000001467","Cyp51"
"257","ENSMUSG00000001472","Tcf25"
"258","ENSMUSG00000001473","Tubb6"
"259","ENSMUSG00000001482","Def8"
"260","ENSMUSG00000001493","Meox1"
"261","ENSMUSG00000001494","Sost"
"262","ENSMUSG00000001496","Nkx2-1"
"263","ENSMUSG00000001497","Pax9"
"264","ENSMUSG00000001504","Irx2"
"265","ENSMUSG00000001506","Col1a1"
"266","ENSMUSG00000001507","Itga3"
"267","ENSMUSG00000001508","Sgca"
"268","ENSMUSG00000001510","Dlx3"
"269","ENSMUSG00000001517","Foxm1"
"270","ENSMUSG00000001518","Itfg2"
"271","ENSMUSG00000001520","Nrip2"
"272","ENSMUSG00000001521","Tulp3"
"273","ENSMUSG00000001524","Gtf2h4"
"274","ENSMUSG00000001525","Tubb5"
"275","ENSMUSG00000001542","Ell2"
"276","ENSMUSG00000001552","Jup"
"277","ENSMUSG00000001555","Fkbp10"
"278","ENSMUSG00000001558","Klhl10"
"279","ENSMUSG00000001566","Mnx1"
"280","ENSMUSG00000001569","Nom1"
"281","ENSMUSG00000001576","Ergic1"
"282","ENSMUSG00000001583","Tnk1"
"283","ENSMUSG00000001588","Acap1"
"284","ENSMUSG00000001604","Tcea3"
"285","ENSMUSG00000001622","Csn3"
"286","ENSMUSG00000001627","Ifrd1"
"287","ENSMUSG00000001630","Stk38l"
"288","ENSMUSG00000001632","Brpf1"
"289","ENSMUSG00000001642","Akr1b1"
"290","ENSMUSG00000001655","Hoxc13"
"291","ENSMUSG00000001656","Hoxc11"
"292","ENSMUSG00000001657","Hoxc8"
"293","ENSMUSG00000001661","Hoxc6"
"294","ENSMUSG00000001663","Gstt1"
"295","ENSMUSG00000001665","Gstt3"
"296","ENSMUSG00000001666","Ddt"
"297","ENSMUSG00000001670","Tat"
"298","ENSMUSG00000001672","Marveld3"
"299","ENSMUSG00000001674","Ddx18"
"300","ENSMUSG00000001687","Ubl3"
"301","ENSMUSG00000001700","Gramd2b"
"302","ENSMUSG00000001707","Eef1e1"
"303","ENSMUSG00000001729","Akt1"
"304","ENSMUSG00000001739","Cldn15"
"305","ENSMUSG00000001741","Il16"
"306","ENSMUSG00000001750","Tcirg1"
"307","ENSMUSG00000001751","Naglu"
"308","ENSMUSG00000001755","Coasy"
"309","ENSMUSG00000001761","Smo"
"310","ENSMUSG00000001763","Tspan33"
"311","ENSMUSG00000001767","Crnkl1"
"312","ENSMUSG00000001768","Rin2"
"313","ENSMUSG00000001773","Folh1"
"314","ENSMUSG00000001774","Chordc1"
"315","ENSMUSG00000001783","Rtcb"
"316","ENSMUSG00000001785","Pwp1"
"317","ENSMUSG00000001786","Fbxo7"
"318","ENSMUSG00000001794","Capns1"
"319","ENSMUSG00000001802","Lrp3"
"320","ENSMUSG00000001804","Dsg4"
"321","ENSMUSG00000001815","Evx2"
"322","ENSMUSG00000001819","Hoxd13"
"323","ENSMUSG00000001823","Hoxd12"
"324","ENSMUSG00000001827","Folr1"
"325","ENSMUSG00000001829","Clpb"
"326","ENSMUSG00000001833","Septin7"
"327","ENSMUSG00000001844","Zdhhc4"
