"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1518.1","MA1518.1",7,1415,4.51612903225806,3.5375,1.27664424940157,0.30965186904545,"LHX1",0.790685673123867,0.509126294263563
"MA0009.2","MA0009.2",5,953,3.2258064516129,2.3825,1.35395863656365,0.310550807272511,"TBXT",0.790685673123867,0.507867337474489
"MA0019.1","MA0019.1",8,1663,5.16129032258065,4.1575,1.24144084728338,0.317157478887058,"Ddit3::Cebpa",0.802203183570809,0.498725043052316
"MA0485.2","MA0485.2",5,964,3.2258064516129,2.41,1.33850890108419,0.318895220540774,"HOXC9",0.802203183570809,0.496351989720111
"MA1123.2","MA1123.2",18,4087,11.6129032258065,10.2175,1.13656992667545,0.319258822626333,"TWIST1",0.802203183570809,0.495857092294809
"MA0595.1","MA0595.1",12,2625,7.74193548387097,6.5625,1.17972350230415,0.319375798284893,"SREBF1",0.802203183570809,0.495697996993883
"MA0839.1","MA0839.1",6,1200,3.87096774193548,3,1.29032258064516,0.321809987831892,"CREB3L1",0.803226946082161,0.492400481079241
"MA1506.1","MA1506.1",5,968,3.2258064516129,2.42,1.33297787256732,0.321936805467247,"HOXD10",0.803226946082161,0.492229369702754
"MA0880.1","MA0880.1",7,1447,4.51612903225806,3.6175,1.24841161914528,0.329559716417648,"Dlx3",0.819233174133026,0.4820658795196
"MA1111.1","MA1111.1",12,2651,7.74193548387097,6.6275,1.16815322276439,0.331429156879266,"NR2F2",0.819233174133026,0.479609287966258
"MA0145.3","MA0145.3",4,751,2.58064516129032,1.8775,1.37451140414931,0.332395194385454,"TFCP2",0.819233174133026,0.478345263669413
"MA0106.3","MA0106.3",6,1216,3.87096774193548,3.04,1.27334465195246,0.332744841504433,"TP53",0.819233174133026,0.47788866860618
"MA1558.1","MA1558.1",17,3892,10.9677419354839,9.73,1.12720883201273,0.338783408108434,"SNAI1",0.825784913819904,0.470077867359629
"MA1503.1","MA1503.1",5,991,3.2258064516129,2.4775,1.30204094918785,0.339488132445331,"HOXB9",0.825784913819904,0.469175402837354
"MA1493.1","MA1493.1",6,1229,3.87096774193548,3.0725,1.25987558728576,0.34166486794351,"HES6",0.825784913819904,0.466399675701346
"MA0043.3","MA0043.3",11,2430,7.09677419354839,6.075,1.16819328288862,0.341867673159544,"HLF",0.825784913819904,0.466141963936323
"MA1573.1","MA1573.1",17,3901,10.9677419354839,9.7525,1.12460824767843,0.342315144709542,"THAP11",0.825784913819904,0.465573886376916
"MA0115.1","MA0115.1",10,2189,6.45161290322581,5.4725,1.17891510337612,0.342637909585198,"NR1H2::RXRA",0.825784913819904,0.465164588209849
"MA0063.2","MA0063.2",10,2190,6.45161290322581,5.475,1.17837678597732,0.343154588852775,"NKX2-5",0.825784913819904,0.464510189108693
"MA1114.1","MA1114.1",20,4653,12.9032258064516,11.6325,1.10923926984325,0.345974941369955,"PBX3",0.827434354329657,0.46095535559699
"MA0723.1","MA0723.1",6,1237,3.87096774193548,3.0925,1.25172764492659,0.347167497191934,"VAX2",0.827434354329657,0.45946094147639
"MA0912.2","MA0912.2",6,1237,3.87096774193548,3.0925,1.25172764492659,0.347167497191934,"HOXD3",0.827434354329657,0.45946094147639
"MA0597.1","MA0597.1",12,2690,7.74193548387097,6.725,1.15121717232282,0.349695139841279,"THAP1",0.829922907663714,0.456310403592333
"MA0893.2","MA0893.2",7,1481,4.51612903225806,3.7025,1.21975125786848,0.350927313222792,"GSX2",0.829922907663714,0.45478282864891
"MA1508.1","MA1508.1",34,8174,21.9354838709677,20.435,1.07342715297126,0.351549113702056,"IKZF1",0.829922907663714,0.454013992636298
"MA1553.1","MA1553.1",5,1012,3.2258064516129,2.53,1.27502231289048,0.355582118779193,"RARG(var.3)",0.835708744694609,0.449060086596034
"MA0502.2","MA0502.2",12,2708,7.74193548387097,6.77,1.14356506408729,0.358190436019159,"NFYB",0.835708744694609,0.445886014353977
"MA0037.3","MA0037.3",10,2219,6.45161290322581,5.5475,1.16297663870677,0.358196260797723,"GATA3",0.835708744694609,0.445878952053128
"MA0748.2","MA0748.2",8,1734,5.16129032258065,4.335,1.19060907095286,0.358480962871682,"YY2",0.835708744694609,0.445533902588383
"MA1616.1","MA1616.1",19,4442,12.258064516129,11.105,1.10383291455462,0.359834234089593,"Prdm15",0.836250276108525,0.443897520898926
"MA0147.3","MA0147.3",8,1744,5.16129032258065,4.36,1.18378218407813,0.364359527217975,"MYC",0.842763625793381,0.438469870124096
"MA1512.1","MA1512.1",23,5457,14.8387096774194,13.6425,1.08768258584712,0.365920946886248,"KLF11",0.842763625793381,0.436612728920809
"MA0518.1","MA0518.1",23,5458,14.8387096774194,13.645,1.08748330358515,0.366266891145274,"Stat4",0.842763625793381,0.436202337799522
"MA1559.1","MA1559.1",14,3224,9.03225806451613,8.06,1.1206275514288,0.368839269494079,"SNAI3",0.842763625793381,0.433162846792283
"MA0463.2","MA0463.2",11,2485,7.09677419354839,6.2125,1.14233789835789,0.369046708297259,"BCL6",0.842763625793381,0.432918663998089
"MA0141.3","MA0141.3",10,2241,6.45161290322581,5.6025,1.15155964359229,0.369672374085883,"ESRRB",0.842763625793381,0.432183003390511
"MA0708.1","MA0708.1",7,1512,4.51612903225806,3.78,1.194743130227,0.370544864960092,"MSX2",0.842763625793381,0.43115920084263
