"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DPP6",3.56991163346669e-65,-0.63969100153465,0.3,0.572,1.30662335696514e-60
"STX1B",4.38978252266223e-65,-0.343670571544189,0.039,0.238,1.6067043011196e-60
"GDAP1",4.39204968691582e-65,-0.59031305421736,0.191,0.448,1.60753410590806e-60
"NOS1AP",5.19972496386493e-65,-0.518945719910879,0.091,0.319,1.9031513340242e-60
"UBE2QL1",5.55356008406297e-65,-0.279276083466984,0.008,0.18,2.03265852636789e-60
"CPLX1",7.06566130254799e-65,-0.435405362122117,0.014,0.191,2.58610269334559e-60
"PRR16",7.91538518981249e-65,-0.675049159166771,0.03,0.22,2.89711013332327e-60
"PREX1",9.17807355116226e-65,0.477974290012612,0.452,0.228,3.3592667004609e-60
"KIAA1211L",1.16240569087296e-64,-0.615351641203519,0.054,0.258,4.25452106916411e-60
"WWTR1",1.17259909436239e-64,1.31503920367134,0.256,0.104,4.29182994527578e-60
"ATP8B4",1.27728991222916e-64,-1.24654092451198,0.01,0.184,4.67500880774993e-60
"PRKAR2B",1.79418315126509e-64,-0.48248330218371,0.067,0.279,6.56688975194537e-60
"SYBU",1.84110794857113e-64,-0.602938386636691,0.114,0.337,6.73863920256519e-60
"UNC79",1.9370311905802e-64,-0.638231925518744,0.304,0.535,7.08972786064259e-60
"FAM49A",2.09304622753807e-64,-0.606193862816693,0.132,0.363,7.66075849741207e-60
"NDRG1",2.36981220903723e-64,0.832517898059128,0.243,0.091,8.67374966629716e-60
"TMEM151B",2.44883169042947e-64,-0.310063598645302,0.008,0.18,8.96296887014092e-60
"ZFHX4",2.51542316758727e-64,0.456842698340354,0.357,0.154,9.20670033568617e-60
"SLC6A7",3.34263524194338e-64,-0.379765298324587,0.005,0.174,1.2234379249037e-59
"ANO5",3.49283793606347e-64,-0.548227317671301,0.119,0.347,1.27841361297859e-59
"MCF2L",4.21483306342888e-64,-0.626007072206068,0.085,0.311,1.5426710495456e-59
"PI4KA",4.62431369343814e-64,-0.697280738678395,0.301,0.529,1.69254505493529e-59
"RGS20",5.05421070872732e-64,0.656046330672764,0.215,0.072,1.84989166150129e-59
"KIAA0825",5.6958930430474e-64,-0.586881825017677,0.134,0.367,2.08475381268578e-59
"NCEH1",5.79703094572826e-64,-0.467246237860597,0.056,0.26,2.121771296446e-59
"FAM153B",6.0918775496057e-64,-0.39924056141341,0.041,0.235,2.22968810193118e-59
"FLRT2",6.53056576501255e-64,-0.945616820360132,0.2,0.416,2.39025237565224e-59
"NIN",1.01273630865904e-63,-0.605359126164387,0.186,0.427,3.70671616332297e-59
"EPHB6",1.02226761449444e-63,-0.370996867610706,0.016,0.194,3.7416016958111e-59
"CORO6",1.06127789796057e-63,-0.32861392012809,0.02,0.201,3.88438323432548e-59
"CDK19",1.09491338531125e-63,1.07039006626666,0.608,0.473,4.00749248157772e-59
"SSX2IP",1.11219171560154e-63,-0.471597728278369,0.064,0.271,4.07073289827321e-59
"GPLD1",1.3660527971219e-63,-0.396883362182817,0.029,0.215,4.99988984274587e-59
"SLC24A2",1.38853378806796e-63,1.09329281842388,0.659,0.619,5.08217251770754e-59
"KCNH5",1.73914095644148e-63,-0.686371435361119,0.03,0.214,6.36542981467145e-59
"KNDC1",2.02589184015056e-63,-0.558508537457893,0.055,0.257,7.41496672413506e-59
"RPL34",2.17962759924177e-63,-0.446380232596821,0.075,0.289,7.97765497598479e-59
"NRXN1",2.24111386347336e-63,-0.86131107796609,0.488,0.663,8.20270085169883e-59
"SPTAN1",2.38441217706703e-63,-0.619299280241022,0.208,0.436,8.72718700928305e-59
"MBP",2.65737705145081e-63,0.953398184542518,0.605,0.435,9.72626574601513e-59
"GHR",4.19340264075458e-63,-0.674211990319079,0.049,0.245,1.53482730054259e-58
"SAMD5",5.08824787212664e-63,-0.592354336952556,0.016,0.189,1.86234960367707e-58
"NPY1R",5.39535882711897e-63,-0.388959693112394,0.008,0.175,1.97475528431381e-58
"SYT12",8.91916343776262e-63,-0.393328746842471,0.016,0.191,3.2645030098555e-58
"SLC22A15",9.42855822823754e-63,0.980748429185543,0.472,0.303,3.45094659711722e-58
"ARNTL2",9.77828961596285e-63,-0.390340822507451,0.018,0.194,3.57895178233856e-58
"AGBL4",1.35150819477779e-62,-1.00860108848237,0.297,0.505,4.94665514370619e-58
"GLIS1",1.41220724546566e-62,-0.348410575501397,0.01,0.179,5.16881973912885e-58
"RPL6",1.51108173528602e-62,-0.457049516494862,0.055,0.256,5.53071025932035e-58
"TMEM120B",1.54934359369686e-62,-0.410833191434196,0.06,0.266,5.67075248728988e-58
"PGM2L1",1.62043412099702e-62,-0.419988001858127,0.051,0.252,5.93095092626121e-58
"PODXL2",1.93719902563603e-62,-0.434824775587408,0.04,0.232,7.09034215373044e-58
"EEF1A2",2.08562577967775e-62,-0.41526651713152,0.036,0.225,7.63359891619852e-58
"KCNN2",2.19159468776026e-62,-0.47677865843242,0.046,0.243,8.02145571667134e-58
"GGT7",2.24148055777928e-62,-0.487698506678414,0.09,0.312,8.20404298952795e-58
"SLC22A23",2.49794712742633e-62,1.03410478579001,0.495,0.34,9.14273628109312e-58
"VWC2L",3.64526168102226e-62,-0.642776133227321,0.01,0.177,1.33420222787096e-57
"RPS21",3.72278235070477e-62,-0.435802397809101,0.038,0.226,1.36257556818145e-57
"KLHL32",4.87365847516064e-62,1.50243404743724,0.595,0.488,1.78380773849355e-57
"KCNK1",4.87916657539853e-62,-0.475919292376097,0.051,0.249,1.78582375826162e-57
"MAP3K9",5.0190368349121e-62,-0.349011155881337,0.027,0.209,1.83701767194618e-57
"UNC5A",5.80073387424867e-62,-0.367950229612563,0.029,0.213,2.12312660531376e-57
"SNRNP70",7.48106122847608e-62,-0.566450333809693,0.189,0.439,2.73814322023453e-57
"UTP23",8.0028874763753e-62,-0.320940633555944,0.069,0.279,2.92913684522812e-57
"TMSB4X",8.50949691981266e-62,-0.850129278158656,0.11,0.33,3.11456096762063e-57
"HIPK2",9.42551220207831e-62,0.675457266198541,0.56,0.354,3.44983172108268e-57
"SYNPO2",1.02537993504744e-61,-0.431458978858204,0.021,0.199,3.75299310026714e-57
"FAM78B",1.043516185879e-61,-0.408017476929151,0.029,0.212,3.81937359193573e-57
"RPL9",1.17529904556797e-61,-0.410910574748299,0.062,0.265,4.30171203668332e-57
"ZBTB8OS",1.18810248956513e-61,-0.58900368978433,0.185,0.431,4.34857392205732e-57
"CPLX2",1.20011230959139e-61,-0.335578898883673,0.021,0.198,4.39253106433545e-57
"RPS25",1.23625030132709e-61,-0.681767277866324,0.093,0.309,4.52479972788729e-57
"RAB15",1.26711072884135e-61,-0.331778250169066,0.016,0.189,4.63775197863221e-57
"KIFC2",1.37731111653707e-61,-0.447367045425354,0.041,0.232,5.04109641763732e-57
"ARRB1",1.66531377227585e-61,-0.520587905791379,0.095,0.321,6.09521493790682e-57
"ZFYVE9",1.6710172753651e-61,-0.663797401396745,0.202,0.432,6.1160903295638e-57
"RSPO2",2.11140156965086e-61,-0.441731300304115,0.014,0.184,7.72794088507912e-57
"TMEM38A",2.43531727559323e-61,-0.307924113669929,0.034,0.222,8.91350476039878e-57
"ARRDC3",2.46373860829483e-61,0.681752293997363,0.219,0.081,9.01752968021992e-57
"MICU1",2.70968750741835e-61,-0.598965533565342,0.221,0.463,9.91772724590191e-57
"POU2F2",2.77820755066104e-61,-0.596410926114799,0.026,0.205,1.01685174561745e-56
"C4orf19",3.84579909927546e-61,0.316250190703709,0.181,0.052,1.40760092832581e-56
"LINC01608",5.31852335069743e-61,0.810150164531311,0.324,0.141,1.94663273158877e-56
"FAM135B",5.75481930739393e-61,-0.530121254841044,0.088,0.297,2.10632141469925e-56
"ELMOD1",6.99650298655295e-61,-0.523049082501925,0.107,0.323,2.56079005810825e-56
"ADARB1",7.13889471050131e-61,-0.355609651280228,0.034,0.22,2.61290685299058e-56
"TRANK1",7.48422248431729e-61,-0.612779819884668,0.071,0.273,2.73930027148497e-56
"NME5",9.36406699614787e-61,-0.475505381646042,0.079,0.286,3.42734216126008e-56
"ZNF804A",9.74204312966715e-61,-1.04482403957459,0.062,0.258,3.56568520588947e-56
"PRMT8",1.09640857955582e-60,-0.335397613540747,0.011,0.176,4.01296504203224e-56
"PRKCG",1.13361402154481e-60,-0.38717129128425,0.01,0.175,4.14914068025614e-56
"SORCS1",1.27051046061634e-60,-0.771472970196595,0.117,0.337,4.65019533690188e-56
"CRYBG3",1.27380777195639e-60,0.515038218477642,0.234,0.084,4.66226382613757e-56
"NIPAL2",1.45643551073844e-60,-0.425541517078807,0.023,0.199,5.33069961285375e-56
"TRHDE",1.6082802961789e-60,-0.884283438671305,0.058,0.253,5.88646671204438e-56
"LMTK2",1.80576145209315e-60,-0.483882924463969,0.127,0.352,6.60926749080614e-56
"MEGF10",1.85763567770842e-60,0.602930236818676,0.347,0.159,6.79913234398058e-56
"KIF26B",1.89485800874081e-60,-1.06948854661246,0.101,0.307,6.93536979779223e-56
"CST3",2.10842595646066e-60,0.383230914606633,0.259,0.098,7.71704984324166e-56
"SH3RF3",2.11330323114062e-60,-0.750934920034272,0.153,0.386,7.73490115629778e-56
"RPS12",2.36999191681809e-60,-0.503619946437618,0.055,0.249,8.67440741474588e-56
"CREG2",2.72525332526041e-60,-0.367605017488962,0.038,0.228,9.97469969578563e-56
"DENND1B",3.73390692164174e-60,-0.49862274445726,0.079,0.284,1.36664727239009e-55
"CD22",3.77651954233773e-60,0.877004816013971,0.259,0.101,1.38224391769103e-55
"NCAN",3.86685306864764e-60,-0.667763432565753,0.032,0.213,1.41530689165572e-55
"MAP6",4.02876034614982e-60,-0.337297935219776,0.04,0.227,1.4745665742943e-55
"FBXO34",4.10778857225046e-60,-0.558458170572775,0.127,0.348,1.50349169532939e-55
"PISD",4.48502962147865e-60,-0.563482029083518,0.071,0.275,1.6415656917574e-55
"SESN3",4.61951767713746e-60,-0.698576019879521,0.127,0.343,1.69078966500908e-55
"MLXIPL",4.99021458897448e-60,-0.4547176590464,0.018,0.189,1.82646844171055e-55
"PPP6R2",5.22384291931499e-60,-0.770856320046719,0.322,0.559,1.91197874689848e-55
"RAPGEFL1",5.77557737226241e-60,-0.304928138439919,0.05,0.245,2.11391907402177e-55
"UBE2O",6.16902845252296e-60,-0.450704471846401,0.098,0.318,2.25792610390793e-55
"ANKRD30B",7.12333736726751e-60,-0.411466265993494,0.006,0.164,2.60721270979358e-55
