"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1136.1","MA1136.1",35,1686,6.21669626998224,4.215,1.47489828469329,0.015117566471906,"FOSB::JUNB(var.2)",0.0220698719922541,1.82051811312596
"MA0786.1","MA0786.1",62,3334,11.01243339254,8.335,1.32122776155249,0.0151716603709849,"POU3F1",0.0221055832749115,1.81896688786867
"MA1421.1","MA1421.1",77,4286,13.6767317939609,10.715,1.27640987344479,0.0154294381399389,"TCF7L1",0.0224373505894628,1.81164988840003
"MA0605.2","MA0605.2",40,1987,7.10479573712256,4.9675,1.43025581019075,0.0155541843805163,"ATF3",0.0225747500931228,1.80815275718968
"MA0072.1","MA0072.1",45,2291,7.99289520426288,5.7275,1.39552949878007,0.015805271872176,"RORA(var.2)",0.0228797187373299,1.80119802930429
"MA0122.3","MA0122.3",46,2352,8.17051509769094,5.88,1.38954338396104,0.0158256499577242,"Nkx3-2",0.0228797187373299,1.80063844451714
"MA0712.2","MA0712.2",62,3345,11.01243339254,8.3625,1.31688291689566,0.016147750371634,"OTX2",0.0233002355459167,1.79188797297611
"MA0145.3","MA0145.3",21,892,3.73001776198934,2.23,1.67265370492796,0.0162312226056021,"TFCP2",0.023375467304593,1.78964876601058
"MA0105.4","MA0105.4",32,1522,5.68383658969805,3.805,1.49378096969725,0.016707760635763,"NFKB1",0.0240153939003453,1.77708175529535
"MA1127.1","MA1127.1",40,1998,7.10479573712256,4.995,1.42238152895346,0.0168522212201682,"FOSB::JUN",0.0241764558273952,1.77334284849678
"MA0030.1","MA0030.1",53,2802,9.41385435168739,7.005,1.34387642422375,0.0179585844664965,"FOXF2",0.0257142111554826,1.74572789832668
"MA0711.1","MA0711.1",8,233,1.42095914742451,0.5825,2.43941484536397,0.0180267841066344,"OTX1",0.0257624156006691,1.74408174245747
"MA0851.1","MA0851.1",88,5035,15.6305506216696,12.5875,1.24175178722301,0.0187983642310063,"Foxj3",0.0267667439720975,1.72587993990415
"MA1655.1","MA1655.1",76,4262,13.4991119005329,10.655,1.26692744256526,0.0188232378432676,"ZNF341",0.0267667439720975,1.72530567014803
"MA0158.2","MA0158.2",26,1188,4.61811722912966,2.97,1.55492162596958,0.0188371857712482,"HOXA5",0.0267667439720975,1.72498397921354
"MA0043.3","MA0043.3",37,1834,6.57193605683837,4.585,1.43335573758743,0.0189350506398721,"HLF",0.0268546535690962,1.72273352906507
"MA0046.2","MA0046.2",44,2262,7.81527531083481,5.655,1.38201154921924,0.0195842575978144,"HNF1A",0.0277226872257486,1.70809288708694
"MA0861.1","MA0861.1",34,1660,6.03907637655417,4.15,1.45519912688052,0.0196363037138792,"TP73",0.0277437169896854,1.70694025930583
"MA0820.1","MA0820.1",50,2632,8.8809946714032,6.58,1.34969523881508,0.019761389396176,"FIGLA",0.0278676682222067,1.70418252402574
"MA1553.1","MA1553.1",30,1426,5.32859680284192,3.565,1.49469756040447,0.019916610210239,"RARG(var.3)",0.0280335683336572,1.70078457616642
"MA0038.2","MA0038.2",54,2884,9.59147424511545,7.21,1.3303015596554,0.0202098036924718,"GFI1",0.0283585801971905,1.69443790497506
"MA0896.1","MA0896.1",37,1843,6.57193605683837,4.6075,1.42635617077338,0.0202330895667281,"Hmx1",0.0283585801971905,1.69393779595722
"MA0805.1","MA0805.1",51,2698,9.05861456483126,6.745,1.34301179612028,0.020261559309789,"TBX1",0.0283585801971905,1.69332713481098
"MA1568.1","MA1568.1",36,1786,6.3943161634103,4.465,1.43209768497431,0.0206731737546762,"TCF21(var.2)",0.0288805011628998,1.68459284517555
"MA0479.1","MA0479.1",53,2834,9.41385435168739,7.085,1.32870209621558,0.0217174823056667,"FOXH1",0.0302826949533222,1.66319052365655
"MA0525.2","MA0525.2",27,1266,4.79573712255773,3.165,1.51524079701666,0.0226166766579603,"TP63",0.0314681940303863,1.64557121086704
"MA0600.2","MA0600.2",43,2223,7.63765541740675,5.5575,1.3742969711933,0.0226520377939912,"RFX2",0.0314681940303863,1.64489272244247
"MA1119.1","MA1119.1",71,3998,12.6110124333925,9.995,1.26173210939395,0.024778389697043,"SIX2",0.034358138873595,1.60592692105973
"MA1113.2","MA1113.2",52,2798,9.23623445825933,6.995,1.32040521204565,0.0252982252409206,"PBX2",0.0350138701850218,1.59690994503408
"MA0681.2","MA0681.2",61,3371,10.8348134991119,8.4275,1.28564977740871,0.0261577455599741,"PHOX2B",0.0361364410884087,1.58239968898133
"MA0900.2","MA0900.2",22,997,3.90763765541741,2.4925,1.5677583371785,0.0268765613158392,"HOXA2",0.036936069713123,1.57062629726582
"MA0902.2","MA0902.2",22,997,3.90763765541741,2.4925,1.5677583371785,0.0268765613158392,"HOXB2",0.036936069713123,1.57062629726582
"MA1484.1","MA1484.1",37,1883,6.57193605683837,4.7075,1.39605651765021,0.0268851016812678,"ETS2",0.036936069713123,1.57048831665274
"MA0014.3","MA0014.3",24,1112,4.26287744227353,2.78,1.53340915189696,0.0269366959538345,"PAX5",0.036938924966104,1.56965567576292
"MA0648.1","MA0648.1",35,1764,6.21669626998224,4.41,1.40968169387352,0.0272606269655781,"GSC",0.037246204608647,1.56446416007289
"MA0699.1","MA0699.1",35,1764,6.21669626998224,4.41,1.40968169387352,0.0272606269655781,"LBX2",0.037246204608647,1.56446416007289
"MA0868.2","MA0868.2",59,3255,10.4795737122558,8.1375,1.28781243775801,0.0276703785254214,"SOX8",0.0377369330529512,1.55798489975398
"MA0704.1","MA0704.1",27,1292,4.79573712255773,3.23,1.48474833515719,0.0282154966835977,"Lhx4",0.0383401831074023,1.54951230034531
"MA0721.1","MA0721.1",27,1292,4.79573712255773,3.23,1.48474833515719,0.0282154966835977,"UNCX",0.0383401831074023,1.54951230034531
"MA0688.1","MA0688.1",49,2630,8.70337477797513,6.575,1.32370719056656,0.0282790994649242,"TBX2",0.0383567421833335,1.54853442456542
