"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1143.1","MA1143.1",15,1394,4.82315112540193,3.485,1.38397449796325,0.129680027605015,"FOSL1::JUND(var.2)",0.184973806105815,0.887126905711173
"MA0653.1","MA0653.1",32,3350,10.2893890675241,8.375,1.22858376925661,0.132336728930629,"IRF9",0.188403053019559,0.878319604352654
"MA0727.1","MA0727.1",17,1623,5.46623794212219,4.0575,1.34719357784897,0.132868263693843,"NR3C2",0.188799475648775,0.876578740265465
"MA1525.1","MA1525.1",34,3594,10.9324758842444,8.985,1.21674745511902,0.135282144927303,"NFATC4",0.191864030638342,0.868759519523953
"MA0093.3","MA0093.3",35,3722,11.2540192926045,9.305,1.2094593543906,0.138661320249229,"USF1",0.196283386918263,0.858044669028167
"MA0611.1","MA0611.1",19,1873,6.10932475884244,4.6825,1.30471431048424,0.144833331499539,"Dux",0.204631941853515,0.839131479433758
"MA0624.1","MA0624.1",32,3387,10.2893890675241,8.4675,1.21516257071439,0.1458122896834,"NFATC1",0.205625648589445,0.836205870279007
"MA0071.1","MA0071.1",30,3162,9.64630225080386,7.905,1.22027858960201,0.150025544347035,"RORA",0.211168030345071,0.823834788781266
"MA0621.1","MA0621.1",21,2121,6.7524115755627,5.3025,1.27343924103021,0.154033973606349,"mix-a",0.216401778362216,0.812383480965339
"MA0631.1","MA0631.1",14,1326,4.5016077170418,3.315,1.3579510458648,0.154670506212545,"Six3",0.216887589538644,0.810592493090057
"MA0511.2","MA0511.2",30,3176,9.64630225080386,7.94,1.21489952780905,0.155611095760499,"RUNX2",0.217592503281394,0.807959439121708
"MA0625.1","MA0625.1",32,3413,10.2893890675241,8.5325,1.20590554556392,0.155756564011078,"NFATC3",0.217592503281394,0.807553641916169
"MA0479.1","MA0479.1",28,2944,9.0032154340836,7.36,1.22326296658745,0.157161343428367,"FOXH1",0.219144602238433,0.803654267458648
"MA0140.2","MA0140.2",23,2391,7.39549839228296,5.9775,1.23722265031919,0.172499013111748,"GATA1::TAL1",0.239323823015836,0.763213385236204
"MA0765.2","MA0765.2",23,2391,7.39549839228296,5.9775,1.23722265031919,0.172499013111748,"ETV5",0.239323823015836,0.763213385236204
"MA0844.1","MA0844.1",8,691,2.57234726688103,1.7275,1.48905775217426,0.172595464855924,"XBP1",0.239323823015836,0.762970620057211
"MA1132.1","MA1132.1",68,7841,21.8649517684887,19.6025,1.11541649118677,0.173809523693003,"JUN::JUNB",0.240560119990687,0.759926430568593
"MA0796.1","MA0796.1",26,2747,8.36012861736334,6.8675,1.21734672258658,0.174220813088471,"TGIF1",0.24068282697037,0.758899963739747
"MA0875.1","MA0875.1",16,1587,5.14469453376206,3.9675,1.29670939729352,0.176054389188702,"BARX1",0.242766311154845,0.754353143120515
"MA0885.1","MA0885.1",11,1027,3.53697749196141,2.5675,1.3775959072878,0.179221256799714,"Dlx2",0.246677227993702,0.746610481485686
"MA0482.2","MA0482.2",25,2643,8.03858520900322,6.6075,1.21658497298573,0.180824222427131,"GATA4",0.248311804168387,0.742743393762064
"MA1580.1","MA1580.1",21,2174,6.7524115755627,5.435,1.24239403414217,0.181074559608046,"ZBTB32",0.248311804168387,0.742142562374812
"MA1593.1","MA1593.1",48,5410,15.4340836012862,13.525,1.14115220711913,0.181669294583768,"ZNF317",0.248383844977031,0.740718470158756
"MA1104.2","MA1104.2",25,2645,8.03858520900322,6.6125,1.21566505996268,0.18179300181965,"GATA6",0.248383844977031,0.740422839098692
"MA0911.1","MA0911.1",10,923,3.21543408360129,2.3075,1.3934708921349,0.184776396408994,"Hoxa11",0.251698405593127,0.733353506947253
"MA0638.1","MA0638.1",9,813,2.89389067524116,2.0325,1.42380845030315,0.184893734939723,"CREB3",0.251698405593127,0.733077804509861
"MA0779.1","MA0779.1",12,1148,3.85852090032154,2.87,1.34443236945002,0.186153800614131,"PAX1",0.252952158940149,0.730128092569976
"MA0027.2","MA0027.2",14,1381,4.5016077170418,3.4525,1.30386899841906,0.190664356134937,"EN1",0.258610199412114,0.719730488814369
"MA0667.1","MA0667.1",25,2664,8.03858520900322,6.66,1.20699477612661,0.191133818053443,"MYF6",0.258776457836422,0.718662464726207
"MA0818.1","MA0818.1",10,938,3.21543408360129,2.345,1.3711872424739,0.19743301493082,"BHLHE22",0.266820704960854,0.704580222469903
"MA0622.1","MA0622.1",13,1277,4.18006430868167,3.1925,1.30933885941478,0.19779461645051,"Mlxip",0.266826010618591,0.703785533151652
"MA1657.1","MA1657.1",26,2798,8.36012861736334,6.995,1.19515777231785,0.198757338263891,"ZNF652",0.267210544432497,0.701676827910832
"MA0108.2","MA0108.2",19,1972,6.10932475884244,4.93,1.23921394702687,0.198826133688537,"TBP",0.267210544432497,0.701526532560498
"MA0509.2","MA0509.2",35,3878,11.2540192926045,9.695,1.16080652837592,0.199154239550225,"RFX1",0.267210544432497,0.700810443993941
"MA0607.1","MA0607.1",18,1867,5.78778135048232,4.6675,1.24001742913386,0.206023093004301,"Bhlha15",0.275925082183153,0.686084097095721
"MA0630.1","MA0630.1",15,1521,4.82315112540193,3.8025,1.26841581207151,0.207943725905572,"SHOX",0.275925082183153,0.682054178668585
"MA0654.1","MA0654.1",15,1521,4.82315112540193,3.8025,1.26841581207151,0.207943725905572,"ISX",0.275925082183153,0.682054178668585
"MA0716.1","MA0716.1",15,1521,4.82315112540193,3.8025,1.26841581207151,0.207943725905572,"PRRX1",0.275925082183153,0.682054178668585
"MA0717.1","MA0717.1",15,1521,4.82315112540193,3.8025,1.26841581207151,0.207943725905572,"RAX2",0.275925082183153,0.682054178668585
"MA0720.1","MA0720.1",15,1521,4.82315112540193,3.8025,1.26841581207151,0.207943725905572,"Shox2",0.275925082183153,0.682054178668585
"MA1594.1","MA1594.1",27,2937,8.68167202572347,7.3425,1.18238638416391,0.208594858739393,"ZNF382",0.275925082183153,0.680696399881816
"MA0485.2","MA0485.2",9,839,2.89389067524116,2.0975,1.37968566161676,0.208608239076808,"HOXC9",0.275925082183153,0.680668542913651
"MA0112.3","MA0112.3",20,2108,6.43086816720257,5.27,1.22027858960201,0.209820183408476,"ESR1",0.277036914730483,0.678152737680507
"MA0843.1","MA0843.1",9,841,2.89389067524116,2.1025,1.37640460177939,0.210482292466925,"TEF",0.277420123993509,0.676784434780232
"MA0652.1","MA0652.1",22,2354,7.07395498392283,5.885,1.20203143312198,0.215333069106515,"IRF8",0.283312997448783,0.666889269630088
"MA0608.1","MA0608.1",13,1304,4.18006430868167,3.26,1.28222831554653,0.218001397734806,"Creb3l2",0.286318737165784,0.661540721869856
"MA0113.3","MA0113.3",16,1655,5.14469453376206,4.1375,1.24343070302406,0.22011254601775,"NR3C1",0.288583408311497,0.657355202739729
"MA0702.2","MA0702.2",12,1194,3.85852090032154,2.985,1.29263681752816,0.221909738244313,"LMX1A",0.290429236368873,0.653823638854206
"MA0259.1","MA0259.1",6,522,1.92926045016077,1.305,1.47836049820749,0.222505976268687,"ARNT::HIF1A",0.290699576701297,0.652658319848636
"MA0842.2","MA0842.2",24,2607,7.71704180064309,6.5175,1.18404937485893,0.223614103561193,"NRL",0.291571942467483,0.650500808542148
"MA0841.1","MA0841.1",61,7131,19.6141479099678,17.8275,1.10021864591041,0.223955392806793,"NFE2",0.291571942467483,0.649838475358013
"MA0699.1","MA0699.1",18,1897,5.78778135048232,4.7425,1.22040724311699,0.224985020949499,"LBX2",0.292402135240987,0.647846395379871
"MA1563.1","MA1563.1",22,2376,7.07395498392283,5.94,1.19090151244492,0.227961638153052,"SOX18",0.295457188759721,0.642138230807372
"MA0903.1","MA0903.1",19,2020,6.10932475884244,5.05,1.2097672789787,0.228127802581233,"HOXB3",0.295457188759721,0.641821782799612
"MA0661.1","MA0661.1",15,1553,4.82315112540193,3.8825,1.24227974897667,0.230522729052088,"MEOX1",0.298041517977223,0.637286247648519
"MA0069.1","MA0069.1",15,1560,4.82315112540193,3.9,1.23670541676973,0.235595985917526,"PAX6",0.303855993648638,0.627832113327718
"MA0795.1","MA0795.1",12,1212,3.85852090032154,3.03,1.27343924103021,0.23663139986263,"SMAD3",0.303855993648638,0.625927627069608
"MA0132.2","MA0132.2",14,1445,4.5016077170418,3.6125,1.24611978326417,0.237056552685666,"PDX1",0.303855993648638,0.625148035468861
"MA1481.1","MA1481.1",14,1445,4.5016077170418,3.6125,1.24611978326417,0.237056552685666,"DRGX",0.303855993648638,0.625148035468861
"MA0893.2","MA0893.2",14,1445,4.5016077170418,3.6125,1.24611978326417,0.237056552685666,"GSX2",0.303855993648638,0.625148035468861
"MA0623.2","MA0623.2",11,1100,3.53697749196141,2.75,1.28617363344051,0.239542577620801,"NEUROG1",0.306016996489927,0.620617281488238
"MA1577.1","MA1577.1",16,1683,5.14469453376206,4.2075,1.22274379887393,0.239562903418388,"TLX2",0.306016996489927,0.620580432059096
"MA1497.1","MA1497.1",14,1457,4.5016077170418,3.6425,1.23585661415012,0.246233534309613,"HOXA6",0.314000370247814,0.608652801226549
"MA1570.1","MA1570.1",19,2050,6.10932475884244,5.125,1.19206336757901,0.247362470808473,"TFAP4(var.2)",0.314901711984848,0.60666618973975
"MA0600.2","MA0600.2",20,2179,6.43086816720257,5.4475,1.18051733220791,0.253540888423078,"RFX2",0.322217210840913,0.595951992210101
"MA0883.1","MA0883.1",15,1586,4.82315112540193,3.965,1.21643155747842,0.254831981506353,"Dmbx1",0.323307241843093,0.593746068800841
"MA0797.1","MA0797.1",25,2786,8.03858520900322,6.965,1.15414001565014,0.256635861976432,"TGIF2",0.32504304420105,0.590682655949273
"MA1523.1","MA1523.1",28,3154,9.0032154340836,7.885,1.1418155274678,0.258940577766775,"MSANTD3",0.327097416876023,0.586799887304304
"MA0743.2","MA0743.2",23,2549,7.39549839228296,6.3725,1.16053329027587,0.259359151991988,"SCRT1",0.327097416876023,0.586098422474748
"MA0615.1","MA0615.1",3,227,0.964630225080386,0.5675,1.69978894287293,0.259573285242099,"Gmeb1",0.327097416876023,0.585740006282116
"MA1505.1","MA1505.1",9,894,2.89389067524116,2.235,1.29480567124884,0.26242749147739,"HOXC8",0.329632045952943,0.580990670929258
"MA0666.1","MA0666.1",16,1716,5.14469453376206,4.29,1.19922949504943,0.263352143951681,"MSX1",0.329632045952943,0.579463141697636
"MA0708.1","MA0708.1",16,1716,5.14469453376206,4.29,1.19922949504943,0.263352143951681,"MSX2",0.329632045952943,0.579463141697636
"MA0876.1","MA0876.1",16,1716,5.14469453376206,4.29,1.19922949504943,0.263352143951681,"BSX",0.329632045952943,0.579463141697636
"MA0877.2","MA0877.2",4,337,1.28617363344051,0.8425,1.52661558865343,0.26770800823086,"BARHL1",0.334041299668905,0.572338637111714
"MA1483.1","MA1483.1",16,1722,5.14469453376206,4.305,1.19505099506668,0.267770371584457,"ELF2",0.334041299668905,0.572237478740121
"MA0117.2","MA0117.2",29,3297,9.32475884244373,8.2425,1.13130225568016,0.270415386988558,"Mafb",0.336456721556203,0.567968600104295
"MA1506.1","MA1506.1",10,1018,3.21543408360129,2.545,1.26343185996121,0.270608623235552,"HOXD10",0.336456721556203,0.567658368255963
"MA0651.1","MA0651.1",8,789,2.57234726688103,1.9725,1.30410507826668,0.273018969742452,"HOXC11",0.33853401556371,0.563807176518754
"MA0722.1","MA0722.1",11,1138,3.53697749196141,2.845,1.24322583197238,0.273640765931525,"VAX1",0.33853401556371,0.562819202638041
"MA0723.1","MA0723.1",11,1138,3.53697749196141,2.845,1.24322583197238,0.273640765931525,"VAX2",0.33853401556371,0.562819202638041
"MA0668.1","MA0668.1",9,907,2.89389067524116,2.2675,1.27624726581749,0.275758085988786,"NEUROD2",0.340588629383501,0.559471743987232
"MA0158.2","MA0158.2",12,1259,3.85852090032154,3.1475,1.22590020661526,0.276741724178859,"HOXA5",0.341238555764346,0.557925357611641
"MA0700.2","MA0700.2",18,1976,5.78778135048232,4.94,1.17161565799237,0.278315263813503,"LHX2",0.342612519479988,0.555462974736044
"MA0799.1","MA0799.1",22,2460,7.07395498392283,6.15,1.15023658275168,0.279051318316939,"RFX4",0.3429526910452,0.554315921413153
"MA0705.1","MA0705.1",15,1620,4.82315112540193,4.05,1.19090151244492,0.280843538332525,"Lhx8",0.344137098788677,0.551535563950244
"MA1557.1","MA1557.1",9,912,2.89389067524116,2.28,1.2692502961584,0.28093765839451,"SMAD5",0.344137098788677,0.551390041728507
"MA0470.2","MA0470.2",4,345,1.28617363344051,0.8625,1.49121580688755,0.281438137804376,"E2F4",0.34418500131486,0.55061705147942
"MA1138.1","MA1138.1",71,8558,22.8295819935691,21.395,1.06705220815934,0.28811136287211,"FOSL2::JUNB",0.351769356305391,0.540439613169286
"MA0526.3","MA0526.3",31,3580,9.96784565916399,8.95,1.11372577197363,0.290914797727852,"USF2",0.354611828602904,0.536234187284737
"MA1476.1","MA1476.1",12,1277,3.85852090032154,3.1925,1.20862048561364,0.292659717044058,"DLX5",0.356156849779555,0.533637051633328
"MA0899.1","MA0899.1",27,3093,8.68167202572347,7.7325,1.12275098942431,0.293241534751684,"HOXA10",0.356283688802535,0.532774516173033
"MA0792.1","MA0792.1",25,2850,8.03858520900322,7.125,1.12822248547414,0.294331936050614,"POU5F1B",0.357027031371964,0.531162612864456
"MA0914.1","MA0914.1",17,1879,5.46623794212219,4.6975,1.16364831125539,0.295201310172511,"ISL2",0.357500287968658,0.529881719344155
"MA0070.1","MA0070.1",18,2002,5.78778135048232,5.005,1.15639987022624,0.296796070715006,"PBX1",0.358849057947154,0.527541852982252
"MA0910.2","MA0910.2",15,1643,4.82315112540193,4.1075,1.17423034093778,0.298926146933279,"HOXD8",0.360839653094217,0.524436095759654
"MA1144.1","MA1144.1",75,9114,24.1157556270096,22.785,1.0584048991446,0.307519392669502,"FOSL2::JUND",0.370613032199432,0.512127491713632
"MA0900.2","MA0900.2",10,1060,3.21543408360129,2.65,1.21337135230237,0.312045859157302,"HOXA2",0.374857022433731,0.50578157612449
"MA0902.2","MA0902.2",10,1060,3.21543408360129,2.65,1.21337135230237,0.312045859157302,"HOXB2",0.374857022433731,0.50578157612449
"MA1106.1","MA1106.1",6,592,1.92926045016077,1.48,1.30355435821674,0.313926477721702,"HIF1A",0.376509891286801,0.503172052750179
"MA0461.2","MA0461.2",11,1183,3.53697749196141,2.9575,1.19593490852457,0.315835120292102,"Atoh1",0.378191010815261,0.500539578884396
"MA1585.1","MA1585.1",17,1908,5.46623794212219,4.77,1.14596183273002,0.316881487289493,"ZKSCAN1",0.378315585519958,0.499103132229288
"MA0612.2","MA0612.2",8,828,2.57234726688103,2.07,1.24267983907296,0.316953406099161,"EMX1",0.378315585519958,0.499004576776934
"MA0131.2","MA0131.2",5,481,1.60771704180064,1.2025,1.33697882894024,0.319955053262826,"HINFP",0.381288290310013,0.494911026339302
"MA0679.2","MA0679.2",27,3155,8.68167202572347,7.8875,1.10068742006003,0.329965239064763,"ONECUT1",0.392590220641648,0.481531809447924
"MA0592.3","MA0592.3",34,4025,10.9324758842444,10.0625,1.08645723073236,0.330798434888104,"ESRRA",0.392954828704659,0.480436553899019
"MA1480.1","MA1480.1",12,1325,3.85852090032154,3.3125,1.16483649821028,0.336289966090499,"DPRX",0.398843107636745,0.473286090569805
