"SYMBOL_UPPER","Overall_pvalue","Expression_coef_MA","Expression_Lower95_MA","Expression_Upper95_MA","Expression_SE_MA","Expression_pvalue_MA","Recurrence_Recurrent_coef_MA","Recurrence_Recurrent_Lower95_MA","Recurrence_Recurrent_Upper95_MA","Recurrence_Recurrent_SE_MA","Recurrence_Recurrent_pvalue_MA","Recurrence_Secondary_coef_MA","Recurrence_Secondary_Lower95_MA","Recurrence_Secondary_Upper95_MA","Recurrence_Secondary_SE_MA","Recurrence_Secondary_pvalue_MA","Age_coef_MA","Age_Lower95_MA","Age_Upper95_MA","Age_SE_MA","Age_pvalue_MA","Subtype_Mesenchymal_coef_MA","Subtype_Mesenchymal_Lower95_MA","Subtype_Mesenchymal_Upper95_MA","Subtype_Mesenchymal_SE_MA","Subtype_Mesenchymal_pvalue_MA","Subtype_Proneural_coef_MA","Subtype_Proneural_Lower95_MA","Subtype_Proneural_Upper95_MA","Subtype_Proneural_SE_MA","Subtype_Proneural_pvalue_MA","MGMT_Unmethylated_coef_MA","MGMT_Unmethylated_Lower95_MA","MGMT_Unmethylated_Upper95_MA","MGMT_Unmethylated_SE_MA","MGMT_Unmethylated_pvalue_MA"
"KLF15",2.00852024660034e-06,1.07325025892092,0.616051656815498,1.86975573481623,0.283227719615469,0.802902076577163,0.511677155712908,0.26076554108498,1.00401882315091,0.343920695810479,0.0513788280544611,0.507482607785159,0.155233307188974,1.65904213385669,0.604364802821696,0.261724905020209,1.02773953823194,1.01535107343531,1.04027915671722,0.00618752676059769,9.77531165261961e-06,0.943285723372935,0.679085138312998,1.31027452335305,0.167667735668301,0.727671433706861,0.910076518267693,0.645328869775064,1.28343749659137,0.175395375742769,0.591112927976206,1.29513857139923,0.985970735822341,1.70125122195135,0.13915883201583,0.0631072144962602
"ZNF148",9.3558379439605e-07,1.24187763060185,0.902010594251788,1.70980258903561,0.163142521389289,0.184236464539433,0.532302620233437,0.271083750632265,1.04523446664183,0.344284054148412,0.0670316344972888,0.524877329164218,0.161092961033512,1.71016914024724,0.602655451729294,0.284806545148646,1.02917308118975,1.01661870704002,1.04188249115496,0.00626211433633272,4.39012666943905e-06,0.993066864885008,0.714725839711802,1.37980431563828,0.167808680369625,0.966929498719705,0.940715195870838,0.666715954513645,1.3273194885337,0.175654417857697,0.727895299547515,1.3087098688311,0.995932670782799,1.71971617261008,0.139348194377844,0.0535181560438005
"KLF5",1.44363683112124e-06,1.05275726032167,0.943846198583466,1.17423564434897,0.0557177258189481,0.356145426031586,0.451424606172503,0.217545010493306,0.936744881419702,0.37245714999598,0.0327279327839679,0.514816070208519,0.157861903000224,1.67890783721622,0.603117752048372,0.270959485183455,1.0275744325773,1.01522510449483,1.04007397946682,0.00616885799553461,1.03646332187442e-05,0.898438727848684,0.647830009365149,1.24599375766705,0.166855198331491,0.520967624272468,0.881392377094307,0.624917329705895,1.24312846751356,0.175454007283957,0.471786505728224,1.27108250892342,0.965064664603823,1.67413729229669,0.140527621298043,0.0878375852392054
"KLF4",6.69601144692182e-07,1.15762289667086,0.973178411323624,1.37702476267838,0.0885508756515024,0.0983444747471577,0.454011069071427,0.226940272642779,0.908283260784824,0.353799721667986,0.0256237962515706,0.46988343112614,0.142645937440539,1.54782142981752,0.608235180045237,0.21433209302871,1.02844157802089,1.01596380733225,1.041072597044,0.0062281244377335,6.70322332594443e-06,0.893082214365632,0.648500762621957,1.22990733024192,0.163276195270874,0.48859312043587,0.932171165897739,0.662195267306801,1.3122157850285,0.174470539639397,0.687255213921949,1.29173313420109,0.983112934859099,1.69723582187647,0.139296492783977,0.0661069765912723
"E2F6",4.13312208410569e-08,0.617732516672734,0.449761873586342,0.848434437343596,0.161909745511861,0.00292880949047647,0.510407878022881,0.260886322605564,0.998581295278162,0.342417210382642,0.0495173215530381,0.592913514251679,0.18120497626035,1.94004846134681,0.604817076865872,0.387456403785271,1.02966561161499,1.01728192867703,1.04220004489932,0.00617348382700712,2.18591126769541e-06,0.885754312761625,0.644441624576709,1.21742710690226,0.162276129439767,0.454708782616278,0.960715181169605,0.683190356434161,1.35097583072909,0.173934043222525,0.817768060394421,1.40929157373761,1.06583708111635,1.86342056867416,0.142516223904909,0.0160685404772155
"ZNF460",1.99104545918357e-06,0.859684346418417,0.304807616138111,2.42466768002932,0.529032410887456,0.775042118993298,0.512971752481287,0.261354015035892,1.00683365743429,0.344059848989908,0.0523590679104935,0.515576198819324,0.157928036931726,1.68316419271329,0.603656827581174,0.272454146381518,1.02771056219731,1.01533013920035,1.04024194582044,0.0061836611784445,9.85687219777878e-06,0.937667794089194,0.682230298533423,1.28874500877803,0.162262389882567,0.691633849093004,0.9069094020563,0.645431611962561,1.27431729139698,0.173535484066061,0.573386840882119,1.29580508904506,0.986686434784912,1.7017674203265,0.139051115118423,0.0623814005168998
"SP2",2.02347837315852e-06,1.07221416543965,0.563397865755937,2.04055302024781,0.328319826620378,0.831817099963958,0.518441330528535,0.26232309383508,1.02461971331116,0.347582888124881,0.0587592100555359,0.507742630115611,0.155299152363236,1.66003854183139,0.604409786521745,0.262120832907146,1.02772275863223,1.01533884966933,1.04025771194968,0.00618533906213657,9.82410114154861e-06,0.949603034190243,0.664545176042059,1.35693697742867,0.182116192174386,0.776451443251114,0.911196339687276,0.643756996887946,1.28973941017065,0.177267070706358,0.599851172519176,1.29909467246947,0.988325232547496,1.70758259777351,0.139498006540372,0.0606854507090298
"ZFX",2.04729915175256e-06,1.02784378266722,0.692583211890993,1.52539481672268,0.201427211304714,0.891550121062784,0.506173215431776,0.251436133778004,1.01899166269696,0.356991211657136,0.0564864606433256,0.511311972531046,0.156722776905759,1.6681680762382,0.60332814001945,0.26622761952658,1.02775136814982,1.0153720719615,1.04028159125286,0.0061828479584789,9.54231794228717e-06,0.928355479708469,0.672226323988775,1.28207400684763,0.164706926526681,0.651736927688367,0.903448181811012,0.643426764797218,1.2685493701445,0.173171826317702,0.557651111513206,1.29500032569933,0.985800983541061,1.70118093972415,0.139192217720062,0.0632794764511886
"WT1",1.46852070104989e-06,1.10089571813316,0.895773101750217,1.35298925568976,0.105202071068349,0.360869481335969,0.454544150843895,0.218359356436701,0.946194330474184,0.374064486185624,0.0350466493476577,0.505147900424309,0.154737346857013,1.64908088762104,0.603644824442836,0.257928404832421,1.02666421817524,1.01415033034718,1.03933251840537,0.00625714276202048,2.60411800856409e-05,0.935845680074707,0.68201472263327,1.28414696611385,0.161431204152805,0.681270302396914,0.914612851576906,0.650370260200446,1.28621605177922,0.173961885834427,0.607903194223927,1.29978836694211,0.989473733019932,1.70742258481359,0.139177820974596,0.059574265515764
"EGR1",6.46821935135469e-07,1.11487620909362,0.976327782620735,1.27308572359433,0.0677054694185041,0.108246680101193,0.606057940230788,0.303125167237076,1.21173121408792,0.353491076623952,0.156579859855813,0.591036454940392,0.179573390960924,1.94529985316433,0.607814082671026,0.386931882351035,1.02821229993412,1.01571584309506,1.0408625019713,0.00623890806583104,8.21969975437177e-06,0.930023485078897,0.67790054861979,1.27591530138061,0.161334211937563,0.652956070736897,0.966603729412078,0.682122148412296,1.36972941266907,0.177850141829875,0.848537556728122,1.30909369073223,0.995840840408133,1.72088372115025,0.139544855802108,0.0535948635224703
"KLF2",4.52039778532985e-07,1.22938944353444,0.994100805289272,1.52036734688502,0.108386850036172,0.056731265396832,0.606881815912654,0.304347478303763,1.21014815216521,0.352130960670199,0.156108279278355,0.534974717466038,0.164104398006507,1.74399925781709,0.602927757611843,0.299504254078789,1.03028868169744,1.01758847360183,1.0431473971758,0.006328407085752,2.41598775950005e-06,0.920821740249672,0.670981772912842,1.26368958375055,0.161495056675952,0.609503525352911,0.985275231543431,0.693923558756732,1.39895420704874,0.178860029692409,0.933901012697731,1.3555459402884,1.02756824562781,1.78820706464095,0.141333819931327,0.0313673296873439
