"SYMBOL_UPPER","Overall_pvalue","Expression_coef_MM","Expression_Lower95_MM","Expression_Upper95_MM","Expression_SE_MM","Expression_pvalue_MM","Recurrence_Recurrent_coef_MM","Recurrence_Recurrent_Lower95_MM","Recurrence_Recurrent_Upper95_MM","Recurrence_Recurrent_SE_MM","Recurrence_Recurrent_pvalue_MM","Recurrence_Secondary_coef_MM","Recurrence_Secondary_Lower95_MM","Recurrence_Secondary_Upper95_MM","Recurrence_Secondary_SE_MM","Recurrence_Secondary_pvalue_MM","Age_coef_MM","Age_Lower95_MM","Age_Upper95_MM","Age_SE_MM","Age_pvalue_MM","Subtype_Mesenchymal_coef_MM","Subtype_Mesenchymal_Lower95_MM","Subtype_Mesenchymal_Upper95_MM","Subtype_Mesenchymal_SE_MM","Subtype_Mesenchymal_pvalue_MM","Subtype_Proneural_coef_MM","Subtype_Proneural_Lower95_MM","Subtype_Proneural_Upper95_MM","Subtype_Proneural_SE_MM","Subtype_Proneural_pvalue_MM","MGMT_Unmethylated_coef_MM","MGMT_Unmethylated_Lower95_MM","MGMT_Unmethylated_Upper95_MM","MGMT_Unmethylated_SE_MM","MGMT_Unmethylated_pvalue_MM"
"KLF15",0.000300325128635559,0.400670102387067,0.1877420824936,0.855090818289688,0.386777149017842,0.0180440574175071,0.326119961845062,0.0958762239115299,1.109286798904,0.624607022959651,0.0728272284715728,0.388268632382651,0.0512706529658542,2.94032789074667,1.03296741470163,0.359738149865177,1.03071586103035,1.0133073253832,1.04842347387332,0.00869098156726644,0.000499488689494741,0.840014956735688,0.548960649067521,1.28538380435511,0.217041200350656,0.42183760643593,1.0882501476698,0.683465877337542,1.73276885236284,0.237325577564455,0.721578255789717,1.31985588071765,0.902758547356647,1.92966275530235,0.193790652836437,0.152122653334196
"ZNF148",0.00325174852505454,0.981745888781724,0.653299358340771,1.47531905218415,0.207808433907288,0.929357945698254,0.312113747809386,0.091554271723275,1.06401361441725,0.625744032706116,0.062771728978589,0.456664310949609,0.0605971938651656,3.44145132131212,1.03047811154675,0.446881492582366,1.02623105344344,1.0091859100911,1.04356408915437,0.00854553634222595,0.00244558991291115,0.987584162530699,0.651866502121125,1.49619972020013,0.211953859706252,0.952996149642732,1.20944732873685,0.765108537894241,1.91183703819929,0.233627291820792,0.415667298122876,1.22145057890688,0.841655907068143,1.77262644292373,0.190015308541928,0.29245429430158
"KLF5",0.00305183311993069,0.965523484250272,0.814759900472397,1.14418443776906,0.0866224875199642,0.68545420442191,0.328143233873168,0.0951411604257369,1.13177074417533,0.631689420573066,0.0777306627246525,0.452117486579894,0.0599720090604628,3.40842711247572,1.03066390522589,0.441183642234276,1.02608297213277,1.00902651607871,1.04342774835333,0.00855250022313201,0.00260686320289438,1.02796126585697,0.660547159882296,1.59974098486861,0.225649169054534,0.902729540406011,1.23587257600236,0.776397187376142,1.96726759054413,0.237182067568762,0.371916616726817,1.24367656520115,0.848401528399347,1.82311246155897,0.195142983491219,0.263781298928246
"KLF4",0.00283235584900987,0.926035785984069,0.717948412367327,1.19443439410294,0.12985706078366,0.554020672743202,0.328986218433568,0.0959879699859905,1.12755725467489,0.628477359469321,0.0769037079266306,0.4327106177463,0.0570477167667844,3.28213799468664,1.03378487940414,0.417762102727416,1.02639331728992,1.00937676860164,1.04369673896584,0.00852971993531546,0.00225701023548195,1.01453746702474,0.670306239345068,1.53554630940426,0.211459706281736,0.945584042450943,1.19558644462593,0.756381396367667,1.8898229827409,0.233599369541727,0.444441599094541,1.23176212072761,0.84851766965072,1.78810409768359,0.190161725181792,0.273013165109185
"E2F6",0.001788820748299,0.766772279493913,0.501960449059511,1.17128696036087,0.216161385163852,0.219239965123605,0.302116872911269,0.0887642120795371,1.02828158735749,0.624924946032043,0.0554496482253201,0.477034197627544,0.0631408993668387,3.60402889391957,1.03176357849934,0.473139332990781,1.02717568954383,1.00985124812198,1.0447973393626,0.00867870336747851,0.00200483371269757,0.978522892140753,0.64997827510042,1.47313700645698,0.208730999914757,0.917157664129049,1.19827023546557,0.758271096557786,1.89358603238451,0.233470288304511,0.43849261294088,1.28682744968323,0.875895755796155,1.89055018739426,0.196273016386667,0.198847443513673
"ZNF460",0.00162218727083524,2.51296989804609,0.656626293626192,9.61736952934268,0.684760291606627,0.178407128687059,0.301377619563661,0.0875262736879163,1.03772805292405,0.630840678321792,0.0572681518665234,0.445092195412519,0.0589343309440567,3.36148827421472,1.03157898215569,0.432633001641359,1.02583323936867,1.00863388671854,1.04332587755628,0.00862687838634386,0.00311171780183648,0.983986338599972,0.654869474451427,1.4785070190704,0.207746711929643,0.93806153998563,1.20476703567392,0.762949849343016,1.90243645961317,0.233090607059688,0.424173945306829,1.2594433762315,0.865740326644055,1.83218636017813,0.191248477299666,0.227768714575397
"SP2",0.00273219554485269,1.32417855304848,0.580981621452996,3.01807970442906,0.420328367745509,0.504113914805546,0.313109576126382,0.0923214157293411,1.06191619666513,0.623111998339755,0.0623845409345654,0.45519100673573,0.0604072109892787,3.43003507726688,1.03043150627322,0.444989578440855,1.02574127604369,1.00864555076265,1.04312676002407,0.00857523682874443,0.00303835722125758,1.06038073619993,0.674566021141932,1.66686027825782,0.230776564679193,0.799459466397063,1.24050910565744,0.782951626767338,1.96546349558363,0.234803410836611,0.358680556818342,1.21362750377105,0.83582660586327,1.76219769456645,0.190283041608737,0.308913590978337
"ZFX",0.0012603330704088,0.644984488269093,0.36613953266551,1.13619249765031,0.288888864406434,0.129018137501824,0.348297347912502,0.102423099231901,1.18441097245277,0.624472851040817,0.0912304564365825,0.419223665629119,0.0554554963929535,3.16918057279976,1.03207189996625,0.399600243212043,1.02615455736552,1.00910756517175,1.04348952673129,0.00854711353521215,0.0025218035054044,1.12144419391993,0.726314541751971,1.73153228770984,0.221631326817671,0.605049333238248,1.2648711195632,0.800118118324561,1.9995784528105,0.233660492305334,0.314605461531996,1.2432817688048,0.855540144461196,1.80675280599004,0.190705919022488,0.253523094404369
"WT1",0.00113890171170999,0.709589451520445,0.455695254738782,1.10494279778647,0.225954295027622,0.128936214612321,0.355187805301634,0.104559747071937,1.20656735089646,0.623933928335359,0.0971150775040764,0.423682035551029,0.0560946662677867,3.20006302188748,1.03162228547647,0.405156056240185,1.03048595755152,1.01246187519086,1.04883090882874,0.00900303750855831,0.000851168101439388,0.975720717175859,0.648700171181545,1.467597759674,0.208272077521109,0.906057086223501,1.17179802946174,0.742039903249413,1.85045388507751,0.233112245630024,0.496441936909875,1.19742423693316,0.824631960319034,1.73874512775402,0.190304967047644,0.343762026053854
"EGR1",6.82183633584648e-05,1.3070949044896,1.09989237808277,1.55333114710801,0.0880601423900572,0.00235650234586643,0.392967620652726,0.117672584388797,1.31231545294561,0.615226181977373,0.12896739930611,0.479921164568695,0.0634077754296425,3.63243029171621,1.03269007549472,0.477149774032616,1.02732785835455,1.01005841073622,1.04489256990799,0.00864962695506017,0.00182684972893109,0.993240614578139,0.660568779180281,1.49345071935093,0.208101627443644,0.974000389078383,1.50587530755781,0.938664991003098,2.41583574933269,0.241163086719292,0.0896021796095813,1.28113823111218,0.878608806104903,1.86808413006194,0.192434378094887,0.197938779327178
