"set","n_DE","n_near_anyDAR","n_near_concordant","n_near_discordant","pct_near_anyDAR","pct_near_concordant"
"male-higher DE",1839,1458,1312,670,79.3,71.3
"female-higher DE",1852,1401,1219,711,75.6,65.8
