Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
38	G1 to S cell cycle control WP413	2/61	0.138712687959874	0.308401433176814	0	0	3.15430124720179	6.23085047680841	CDKN2B;CCNG2
39	Estrogen metabolism WP1264	1/14	0.139856463882509	0.308401433176814	0	0	7.14084507042254	14.0470322623625	GSTM1
40	Mitochondrial LC-Fatty Acid Beta-Oxidation WP401	1/16	0.158178242732584	0.337680126072642	0	0	6.18810641627543	11.4110709740405	ACSL3
41	p53 signaling WP2902	2/67	0.160987036848585	0.337680126072642	0	0	2.8622641509434	5.22772921685774	CCNG2;SESN2
42	Serotonin and anxiety WP2141	1/18	0.176111537825667	0.351832321766429	0	0	5.45954156310412	9.48124595993874	FOS
43	EDA Signalling in Hair Follicle Development WP3652	1/18	0.176111537825667	0.351832321766429	0	0	5.45954156310412	9.48124595993874	SHH
44	Primary Focal Segmental Glomerulosclerosis FSGS WP2573	2/72	0.180007234392126	0.351832321766429	0	0	2.65714285714286	4.5563576033827	ITGB4;SYNPO
45	Alzheimers Disease WP2075	2/75	0.191576883316914	0.366124710338991	0	0	2.5475575084001	4.20975234775252	CASP12;APBB1
46	Calcium Regulation in the Cardiac Cell WP553	3/147	0.208649638989699	0.390084107676393	0	0	1.93937598736177	3.03919378674333	RGS17;GNG2;ADRB2
47	MicroRNAs in Cardiomyocyte Hypertrophy WP1560	2/82	0.218912324729432	0.392909888277588	0	0	2.32382075471698	3.53007886467527	MYLK;MAP2K6
48	Folic Acid Network WP1273	1/23	0.219298542294468	0.392909888277588	0	0	4.21766965428937	6.39955987908919	FADS2
49	EPO Receptor Signaling WP1249	1/26	0.244121299880433	0.411914601373157	0	0	3.71098591549296	5.23282430236071	PDK1
50	Novel Jun-Dmp1 Pathway WP3654	1/26	0.244121299880433	0.411914601373157	0	0	3.71098591549296	5.23282430236071	FOS
51	MAPK Cascade WP251	1/28	0.260231771495004	0.411914601373157	0	0	3.43575030429491	4.6251473333363	MAP2K6
52	Oxidative Stress WP412	1/28	0.260231771495004	0.411914601373157	0	0	3.43575030429491	4.6251473333363	FOS
53	Matrix Metalloproteinases WP441	1/29	0.26815837699407	0.411914601373157	0	0	3.31287726358149	4.36033456125156	TIMP3
54	Dopaminergic Neurogenesis WP1498	1/30	0.276000441586212	0.411914601373157	0	0	3.19847822567589	4.11756994215455	SHH
55	Nuclear receptors in lipid metabolism and toxicity WP431	1/30	0.276000441586212	0.411914601373157	0	0	3.19847822567589	4.11756994215455	ABCA1
56	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3675	1/31	0.28375886275273	0.411914601373157	0	0	3.09170579029734	3.89440683722238	PDK1
57	Spinal Cord Injury WP2432	2/99	0.28620126023953	0.411914601373157	0	0	1.91489982493678	2.39565459129428	COL2A1;FOS
58	IL-6 signaling Pathway WP387	2/99	0.28620126023953	0.411914601373157	0	0	1.91489982493678	2.39565459129428	FOS;MAP2K6
59	White fat cell differentiation WP2872	1/32	0.291434528436749	0.411914601373157	0	0	2.99182189913676	3.6887365952151	SREBF1
60	EGFR1 Signaling Pathway WP572	3/178	0.297248284013438	0.411914601373157	0	0	1.59331076506432	1.93298472976422	GRB10;FOS;RALGDS
61	Toll Like Receptor signaling WP88	1/33	0.299028317335487	0.411914601373157	0	0	2.89818075117371	3.49873308136153	MAP2K6
62	Monoamine GPCRs WP570	1/33	0.299028317335487	0.411914601373157	0	0	2.89818075117371	3.49873308136153	ADRB2
63	Signaling of Hepatocyte Growth Factor Receptor WP193	1/34	0.306541098696303	0.411914601373157	0	0	2.81021482429933	3.32280768166303	FOS
64	Type II interferon signaling (IFNG) WP1253	1/34	0.306541098696303	0.411914601373157	0	0	2.81021482429933	3.32280768166303	ISG15
65	p38 MAPK Signaling Pathway WP350	1/36	0.321327070323048	0.42514043150434	0	0	2.64936284372904	3.00781041358735	MAP2K6
66	Nuclear Receptors WP509	1/38	0.335799216000264	0.437556554182162	0	0	2.50590026646365	2.73454329046298	THRA
67	Splicing factor NOVA regulated synaptic proteins WP1983	1/42	0.363828410742048	0.467003631698748	0	0	2.26096415893736	2.28599963769476	RAP1GAP
68	Tryptophan metabolism WP79	1/44	0.377398304801397	0.477297856072354	0	0	2.15558467081559	2.10051840194068	DHCR24
69	Notch Signaling Pathway WP29	1/46	0.39068006869646	0.486934578375298	0	0	2.05957224830464	1.93572253328322	APH1B
70	Id Signaling Pathway WP512	1/51	0.422663558266324	0.519272371584341	0	0	1.8531455399061	1.59588962807888	SREBF1
71	Wnt Signaling Pathway WP403	1/60	0.476080501341282	0.576660888948596	0	0	1.5697461605793	1.16501586860254	LDLR
72	MAPK signaling pathway WP493	2/159	0.509188749228743	0.597584708535118	0	0	1.17948563874534	0.796077917705533	FOS;MAP2K6
73	Alpha6-Beta4 Integrin Signaling Pathway WP488	1/67	0.514200795716264	0.597584708535118	0	0	1.40275999430929	0.933033797914663	ITGB4
74	Kit Receptor Signaling Pathway WP407	1/67	0.514200795716264	0.597584708535118	0	0	1.40275999430929	0.933033797914663	GRB10
75	IL-5 Signaling Pathway WP151	1/69	0.524576082341612	0.601513907751716	0	0	1.36136426401547	0.87830430961462	RAP1GAP
76	Estrogen signaling WP1244	1/77	0.563917677959328	0.638117372427661	0	0	1.2175685693106	0.6974805012528	FOS
77	Delta-Notch Signaling Pathway WP265	1/83	0.591281645584149	0.660392487275803	0	0	1.12813466162831	0.592792817730159	APH1B
78	Chemokine signaling pathway WP2292	2/190	0.605636273890623	0.660958475278818	0	0	0.983440385387395	0.493171437192645	GNG2;CXCL14
79	PluriNetWork WP1763	3/292	0.607159529616589	0.660958475278818	0	0	0.95919906853179	0.478605521979419	BMP4;SHH;FOS
80	G Protein Signaling Pathways WP232	1/92	0.629155657514857	0.676342331828472	0	0	1.01609657947686	0.470835362692643	AKAP7
81	Wnt Signaling Pathway and Pluripotency WP723	1/97	0.648665433665727	0.688706509817933	0	0	0.962930359937402	0.416793049238008	LDLR
82	Non-odorant GPCRs WP1396	2/267	0.782106842893036	0.820258396204891	0	0	0.694944820220719	0.170792363221355	ADRB2;QRFPR
83	Regulation of Actin Cytoskeleton WP523	1/152	0.806290506203064	0.831834123641119	0	0	0.610484096632777	0.131444046261505	MYLK
84	GPCRs, Other WP41	1/155	0.812489144021558	0.831834123641119	0	0	0.598500091457838	0.124280175545407	ADRB2
85	GPCRs, Class A Rhodopsin-like WP189	1/228	0.915146577001333	0.925913007318995	0	0	0.404521106078468	0.0358693043835513	ADRB2
86	mRNA processing WP310	1/457	0.993078526919562	0.993078526919562	0	0	0.199015731817807	0.00138227124449483	CSAD
