Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
39	Heart Development WP2067	2/44	0.171764184585742	0.402562488354038	0	0	2.76387714849253	4.86893653693596	HEY1;NFATC1
40	Ptf1a related regulatory pathway WP201	1/11	0.171927729401204	0.402562488354038	0	0	5.79646017699115	10.2057176971781	HES1
41	Gene regulatory network modelling somitogenesis  WP2852	1/11	0.171927729401204	0.402562488354038	0	0	5.79646017699115	10.2057176971781	HES1
42	Adipogenesis genes WP447	4/134	0.194428297968242	0.444407538213125	0	0	1.78846153846154	2.92894885315068	EGR2;CYP26B1;EPAS1;ID3
43	Serotonin and anxiety-related events WP2140	1/13	0.199858757082209	0.44619629488121	0	0	4.8298918387414	7.77682318330123	FOS
44	G Protein Signaling Pathways WP232	3/92	0.206142362444142	0.449765154423583	0	0	1.95755676324476	3.09135067652016	GNAO1;PDE1B;ADCY5
45	Estrogen metabolism WP1264	1/14	0.213469986166112	0.455402637154372	0	0	4.45813478556841	6.88451492727384	GSTM1
46	Amino Acid metabolism WP662	3/95	0.219406235383031	0.456687803822106	0	0	1.89343310540575	2.87201672685963	ALDH1A1;PYCR1;ACSS1
47	Alanine and aspartate metabolism WP240	1/15	0.226850343571626	0.456687803822106	0	0	4.13948588284871	6.14078142485667	ABAT
48	Wnt Signaling Pathway and Pluripotency WP723	3/97	0.228343901911053	0.456687803822106	0	0	1.8529578887556	2.73663803586142	TCF7L1;LRP5;FZD8
49	Calcium Regulation in the Cardiac Cell WP553	4/147	0.240868599819174	0.471905828217158	0	0	1.62479187479187	2.31289728310836	GNAO1;RGS17;ADRB2;ADCY5
50	Neural Crest Differentiation WP2074	3/101	0.246414280112454	0.473115417815911	0	0	1.77696360443287	2.48906594327194	TCF7L1;HES1;FGFR2
51	Complement Activation, Classical Pathway WP200	1/17	0.252933995820087	0.476111050955457	0	0	3.6216814159292	4.97846001081563	C1RA
52	Serotonin and anxiety WP2141	1/18	0.265644903464359	0.481168127029783	0	0	3.40846781190352	4.51824724635571	FOS
53	EDA Signalling in Hair Follicle Development WP3652	1/18	0.265644903464359	0.481168127029783	0	0	3.40846781190352	4.51824724635571	PTCH1
54	Wnt Signaling Pathway NetPath WP539	3/108	0.278516101031072	0.49513973516635	0	0	1.65790589232726	2.11926696237961	SFRP1;LRP5;FZD8
55	Hypertrophy Model WP202	1/20	0.290423434923283	0.506920904593367	0	0	3.04937121564974	3.7702892279819	ATF3
56	GPCRs, Class B Secretin-like WP456	1/22	0.314368266747205	0.525157786074525	0	0	2.75867397106335	3.19231036364253	PTH1R
57	Selenium Micronutrient Network WP1272	1/23	0.32603682306811	0.525157786074525	0	0	2.6331456154465	2.9510846505934	SELENOP
58	Triacylglyceride Synthesis WP386	1/23	0.32603682306811	0.525157786074525	0	0	2.6331456154465	2.9510846505934	DGAT2
59	Folic Acid Network WP1273	1/23	0.32603682306811	0.525157786074525	0	0	2.6331456154465	2.9510846505934	MSRB1
60	IL-5 Signaling Pathway WP151	2/69	0.328223616296578	0.525157786074525	0	0	1.7303718095911	1.92773827063175	RPS6KA1;RAP1GAP
61	Primary Focal Segmental Glomerulosclerosis FSGS WP2573	2/72	0.346850584022032	0.545863214198608	0	0	1.65595942519019	1.7534311598712	LRP5;SYNPO
62	Novel Jun-Dmp1 Pathway WP3654	1/26	0.359867778344839	0.557214624533944	0	0	2.31681415929204	2.36782715745152	FOS
63	Oxidative Stress WP412	1/28	0.381475623412608	0.581296188057307	0	0	2.14497978804763	2.06713488296572	FOS
64	One Carbon Metabolism WP435	1/29	0.392005260461101	0.585245324915633	0	0	2.06826801517067	1.93689167167069	TCN2
65	Dopaminergic Neurogenesis WP1498	1/30	0.402356160879498	0.585245324915633	0	0	1.99684670938867	1.81796440923293	ALDH1A1
66	Nuclear receptors in lipid metabolism and toxicity WP431	1/30	0.402356160879498	0.585245324915633	0	0	1.99684670938867	1.81796440923293	ABCA1
67	TCA Cycle WP434	1/31	0.412531349909823	0.591089695393179	0	0	1.93018682399213	1.70907055929605	PDK2
68	Monoamine GPCRs WP570	1/33	0.432366440072002	0.606215505842802	0	0	1.80936578171091	1.51712029448578	ADRB2
69	Signaling of Hepatocyte Growth Factor Receptor WP193	1/34	0.442032139677043	0.606215505842802	0	0	1.75444712612854	1.43228271165607	FOS
70	Glycogen Metabolism WP317	1/34	0.442032139677043	0.606215505842802	0	0	1.75444712612854	1.43228271165607	PYGB
71	Oxidation by Cytochrome P450 WP1274	1/40	0.496675588560728	0.666392109708518	0	0	1.48407836018455	1.03858505458898	CYP26B1
72	Microglia Pathogen Phagocytosis Pathway WP3626	1/41	0.505249230850823	0.666392109708518	0	0	1.44690265486726	0.987805427077231	RAC3
73	Insulin Signaling WP65	3/159	0.509260774180972	0.666392109708518	0	0	1.11298790230541	0.751038746263088	CAP1;RPS6KA1;FOS
74	Oxidative Damage WP1496	1/42	0.513677251233649	0.666392109708518	0	0	1.41154039858983	0.940311930677217	C1RA
75	Mecp2 and Associated Rett Syndrome WP2910	1/47	0.553717898694303	0.708758910328708	0	0	1.25779145825317	0.743480443001466	TAP1
76	Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	1/49	0.568797981345709	0.718481660647212	0	0	1.20526057030482	0.68004411068088	ABCA1
77	TGF Beta Signaling Pathway WP113	1/52	0.590470743713782	0.736171316837962	0	0	1.13418936896292	0.597530871138567	FOS
78	Chemokine signaling pathway WP2292	3/190	0.629701496807402	0.760022539878692	0	0	0.927006141005094	0.428749041533513	PREX1;PLCB4;ADCY5
79	TYROBP Causal Network WP3625	1/58	0.6306117737148	0.760022539878692	0	0	1.014490503545	0.467745923399315	RPS6KA1
80	Wnt Signaling Pathway WP403	1/60	0.643100392071944	0.760022539878692	0	0	0.980000999950002	0.432625788890853	FZD8
81	SIDS Susceptibility Pathways WP1266	1/61	0.649185919479716	0.760022539878692	0	0	0.96361848574238	0.416318003891646	HES1
82	G1 to S cell cycle control WP413	1/61	0.649185919479716	0.760022539878692	0	0	0.96361848574238	0.416318003891646	CCNG2
83	Kit Receptor Signaling Pathway WP407	1/67	0.683586673631037	0.7906544658865	0	0	0.875748636810584	0.333136377342704	RPS6KA1
84	Estrogen signaling WP1244	1/77	0.733608214187706	0.838409387643093	0	0	0.760130414531905	0.235473322201672	FOS
85	PPAR signaling pathway WP2316	1/81	0.751333841774521	0.843622122478479	0	0	0.721976401179941	0.206416804726585	PLTP
86	MAPK signaling pathway WP493	2/159	0.755744818053637	0.843622122478479	0	0	0.735046922700034	0.205850994771957	TGFB3;FOS
87	Purine metabolism WP2185	2/171	0.790404265427818	0.866449744078435	0	0	0.682434088442281	0.160515824227475	PDE1B;ADCY5
88	Cytoplasmic Ribosomal Proteins WP163	1/92	0.794245598738566	0.866449744078435	0	0	0.634347952932024	0.146130010282471	RPS6KA1
89	EGFR1 Signaling Pathway WP572	2/178	0.808561753750974	0.871315305231024	0	0	0.655056481979559	0.139198337885779	RPS6KA1;FOS
90	IL-6 signaling Pathway WP387	1/99	0.817621659643048	0.871315305231024	0	0	0.588826681114924	0.118563530916579	FOS
91	Odorant GPCRs WP1397	2/189	0.834275925909111	0.871315305231024	0	0	0.616175679524096	0.111645539878722	MRGPRF;CMKLR1
92	Non-odorant GPCRs WP1396	3/267	0.835010500846398	0.871315305231024	0	0	0.654032910709469	0.117929314000773	FZD8;PTH1R;ADRB2
93	GPCRs, Class A Rhodopsin-like WP189	2/228	0.902177530139764	0.931280031112015	0	0	0.508823375399277	0.0523802931781845	ADRB2;CMKLR1
94	GPCRs, Other WP41	1/155	0.930609524312547	0.950409726957494	0	0	0.373635214343179	0.0268701651367207	ADRB2
95	TNF-alpha NF-kB Signaling Pathway WP246	1/187	0.960101588572811	0.970207921084104	0	0	0.308846385637707	0.0125750446250569	USP2
96	mRNA processing WP310	1/457	0.999636241875399	0.999636241875399	0	0	0.124230191999172	4.51979627219493e-05	TMEM163
