SYMBOL,in_male_CC,in_female_CC,kd3_male_log2FoldChange,kd3_male_pvalue,kd3_male_padj,kd3_male_sig,kd3_female_log2FoldChange,kd3_female_pvalue,kd3_female_padj,kd3_female_sig,description,gene_biotype,GO_Term_Description,Overall_pvalue_M,Expression_HR_M,Expression_pvalue_M,Recurrence_Recurrent_HR_M,Recurrence_Recurrent_pvalue_M,Recurrence_Secondary_HR_M,Recurrence_Secondary_pvalue_M,Age_HR_M,Age_pvalue_M,Subtype_Mesenchymal_HR_M,Subtype_Mesenchymal_pvalue_M,Subtype_Proneural_HR_M,Subtype_Proneural_pvalue_M,MGMT_Unmethylated_HR_M,MGMT_Unmethylated_pvalue_M,Overall_pvalue_F,Expression_HR_F,Expression_pvalue_F,Recurrence_Recurrent_HR_F,Recurrence_Recurrent_pvalue_F,Recurrence_Secondary_HR_F,Recurrence_Secondary_pvalue_F,Age_HR_F,Age_pvalue_F,Subtype_Mesenchymal_HR_F,Subtype_Mesenchymal_pvalue_F,Subtype_Proneural_HR_F,Subtype_Proneural_pvalue_F,MGMT_Unmethylated_HR_F,MGMT_Unmethylated_pvalue_F
Rab7b,FALSE,TRUE,0.848330349822301,0.0570634494793367,0.261451432651697,Not DE,-1.60657580713388,5.24028605642854e-4,0.00646101588438071,Down after KD,"RAB7B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2442295]",protein_coding,cellular response to type II interferon; protein transport; positive regulation of interleukin-6 production; regulation of immune system process; positive regulation of megakaryocyte differentiation; endosome to lysosome transport; negative regulation of toll-like receptor 9 signaling pathway; negative regulation of toll-like receptor 4 signaling pathway; phagosome-lysosome fusion; late endosome to Golgi transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Optc,FALSE,TRUE,0.0593731678265859,0.918180314562591,0.972510048312547,Not DE,0.836596829835354,0.00117730752991263,0.0122431699504723,Up after KD,opticin [Source:MGI Symbol;Acc:MGI:2151113],protein_coding,negative regulation of angiogenesis; collagen fibril organization; bone development; articular cartilage development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prelp,TRUE,TRUE,0.941383685032617,1.96379990215739e-9,2.04106716933573e-7,Up after KD,0.949974698144177,5.38435873359848e-53,9.09495109515263e-50,Up after KD,proline arginine-rich end leucine-rich repeat [Source:MGI Symbol;Acc:MGI:2151110],protein_coding,cellular senescence,0.0031603025736255527,0.9610705686722419,0.7780798690787183,0.30188330540831126,0.060871253337064286,0.443847619342979,0.43249918686808764,1.0260115185109875,0.0027498115382901295,0.9849839749717514,0.942353626881562,1.2121949149334614,0.407940262970006,1.2141299323782933,0.30964003501189047,0.004501636977652962,1.3126292332807679,0.1833812048373543,0.5657595353579614,0.2717490683073383,0.6999511917406419,0.6357108808582412,1.0311611803022678,0.0021574590933923997,0.7901471152050378,0.39799380944321533,0.6924325809878897,0.19458876494605126,1.2869417684130071,0.2696293434491791
Fmod,FALSE,TRUE,0.373715942887935,0.0168276830303178,0.12065806768547,Not DE,1.02028581106842,2.1861419933251e-43,2.87210476989733e-40,Up after KD,fibromodulin [Source:MGI Symbol;Acc:MGI:1328364],protein_coding,collagen fibril organization,0.00201277423273909,1.083759031103967,0.26518720947760827,0.3594758935831805,0.10430980911764375,0.403334491459314,0.38077554764880184,1.0265875708213432,0.0022952636249983704,0.9682525615972658,0.8772698038386978,1.2450374243100024,0.3499062241939177,1.236918193218874,0.2654353745695501,0.008759253177219982,1.0063203530558236,0.9380091630073321,0.4695030315050546,0.1345242651543164,0.6422966498370225,0.559334846109997,1.0265274008010419,0.006174074373643974,0.800384258233171,0.4234200845673592,0.6376795961312106,0.10763843673832627,1.2391720725008668,0.34554119474145756
Btg2,FALSE,TRUE,0.288559368935294,0.0872530693039908,0.333336098842213,Not DE,0.665167362459238,2.40231939382804e-7,9.50000819820159e-6,Up after KD,BTG anti-proliferation factor 2 [Source:MGI Symbol;Acc:MGI:108384],protein_coding,negative regulation of apoptotic process; negative regulation of transcription by RNA polymerase II; negative regulation of cell population proliferation; negative regulation of DNA-templated transcription; negative regulation of translation; DNA damage response; neuron projection development; negative regulation of neural precursor cell proliferation; anterior/posterior pattern specification; skeletal muscle cell differentiation; protein methylation; dentate gyrus development; neuron differentiation; negative regulation of neuron apoptotic process; central nervous system neuron development; associative learning; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; response to mechanical stimulus; response to peptide hormone; response to electrical stimulus; cellular response to phorbol 13-acetate 12-myristate,0.0015745109317772202,1.1883314588645157,0.16325777409785544,0.3065545922599277,0.056397904196729506,0.43733239554517683,0.42262701762547517,1.0276911837899447,0.001587501691909162,1.020665574847708,0.9223639949882881,1.26204967349159,0.3214668322389499,1.2300187321564593,0.2782274301629078,0.002744901240992572,1.39254956113943,0.09157365316831549,0.6283893342739534,0.37246678986801274,0.639658239396747,0.5584432977591526,1.030699359169199,0.001914495654992622,0.7448272443058382,0.2937991855038284,0.6602494481588085,0.135137755291375,1.2969717797164255,0.2551158405555317
Lmod1,FALSE,TRUE,0.790363012128984,1.38742263713824e-6,6.53793523203999e-5,Up after KD,0.609668620019484,2.3258277673994e-12,2.72283044769609e-10,Up after KD,leiomodin 1 (smooth muscle) [Source:MGI Symbol;Acc:MGI:2135671],protein_coding,pointed-end actin filament capping; positive regulation of actin filament polymerization; actin nucleation,0.0024262988285349988,1.195771909641057,0.3816439570670642,0.3242597281780591,0.06978822889420638,0.5012632886314901,0.5050184036274789,1.0271316053687443,0.0019944125583173655,0.9888563108913794,0.9570772021944483,1.234223683086278,0.36678394212746707,1.2459469645732169,0.2507162021689324,0.008384979340332976,0.8904907761876668,0.7299013053350059,0.4586559965101003,0.12360621677818391,0.6309938218719017,0.5450737469108868,1.0262677722090978,0.006517404654556473,0.8317012532106666,0.5328647859645377,0.6320187824597938,0.09720594580044106,1.2462407069416,0.33059574379413326
Nav1,FALSE,TRUE,-0.0187445241003291,0.869267730822326,0.955983300158071,Not DE,0.556122274330717,0.00799678174795978,0.0528825209104455,Up after KD,neuron navigator 1 [Source:MGI Symbol;Acc:MGI:2183683],protein_coding,neurogenesis; nervous system development; cell differentiation; neuron migration; microtubule bundle formation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptgs2os,FALSE,TRUE,-0.656890952634647,0.0410880851993789,0.21790059016377,Down after KD,-0.992178393860722,0.0229816831337495,0.114414914262507,Down after KD,"prostaglandin-endoperoxide synthase 2, opposite strand [Source:MGI Symbol;Acc:MGI:2443180]",lncRNA,negative regulation of transcription by RNA polymerase II; negative regulation of toll-like receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mr1,FALSE,TRUE,0.127601935752584,0.648524608822475,0.869420692648793,Not DE,0.51913924817827,0.0175372608777496,0.0946851929764889,Up after KD,"major histocompatibility complex, class I-related [Source:MGI Symbol;Acc:MGI:1195463]",protein_coding,immune system process; innate immune response; immune response; antigen processing and presentation of peptide antigen via MHC class I; T cell differentiation in thymus; positive regulation of T cell mediated cytotoxicity directed against tumor cell target; antigen processing and presentation of exogenous antigen,0.0032573866763246206,0.9916634793431859,0.9531917307899093,0.3126684022868954,0.06315713779025758,0.45368171180529354,0.4449063242870111,1.026292407174633,0.0025975784937024575,0.9959350324043259,0.9854641509579211,1.2087496035192737,0.4228732656656172,1.223479787045759,0.2930158877431924,0.004620695833062495,1.2502548116877295,0.18808999293930362,0.40716154413612393,0.08227747673327555,0.7076900239930831,0.6488013147953073,1.0269384808072382,0.003996871931478216,0.6727745057350341,0.2068754201254575,0.6573654713202808,0.1312194836728146,1.2494230676288625,0.3292177385518408
Olfml2b,FALSE,TRUE,0.166031626482175,0.23841684652835,0.569692122717251,Not DE,-0.522013471942196,6.87141200675481e-5,0.00125901915953354,Down after KD,olfactomedin-like 2B [Source:MGI Symbol;Acc:MGI:2443310],protein_coding,signal transduction; extracellular matrix organization,6.315910478363446e-4,1.204873609997347,0.04260753976808491,0.36416926656112153,0.10455531878791789,0.39991033709056795,0.3751638274747096,1.031100498547646,6.408482893457201e-4,0.793295146519593,0.3294845357488719,1.2325493140616055,0.36768862834527044,1.3171128987973288,0.15829486748963537,0.00864687288772055,0.975583151848369,0.8421134859010698,0.47452021878218614,0.14213001314701076,0.6367637059158984,0.5515142573423787,1.027202330473712,0.006394014591947137,0.8350428852830285,0.5996217545333092,0.6468225411081434,0.1328652611758167,1.2435631861077225,0.33621259285365923
Pcp4l1,FALSE,TRUE,0.764878850586437,0.457501052855522,NA,Not DE,1.31670660382033,0.0275144301883697,0.12920199465738,Up after KD,Purkinje cell protein 4-like 1 [Source:MGI Symbol;Acc:MGI:1913675],protein_coding,biological_process,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ifi204,TRUE,TRUE,0.796326647741116,0.00532979916953741,0.055137392152954,Up after KD,0.501618811815878,0.00442348201213114,0.033941110520077,Up after KD,interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429],protein_coding,activation of innate immune response; cellular response to interferon-beta; response to bacterium; positive regulation of osteoblast differentiation; regulation of transcription by RNA polymerase II; immune system process; innate immune response; inner ear development; cellular response to interferon-alpha; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,0.0016281630888132597,1.1454922454811813,0.19397654808344633,0.37467925371164396,0.11671092167037109,0.5363002951836794,0.5487351482185816,1.026528210052191,0.0023272163856589445,0.8909767966679392,0.6044681667325883,1.1949704446203968,0.4435977163962654,1.2517269643128153,0.2401454492847085,0.0022964237215125907,1.2344604481945796,0.07306177221474405,0.4426674871342298,0.1048823294097868,0.6531565584311392,0.5785231450756484,1.0304103895587513,0.002126387625321439,0.6257790149735656,0.12484817301413259,0.6127179075569249,0.08040283383081269,1.3123413632190202,0.23548607264640367
Ust,FALSE,TRUE,-0.488250934717995,0.0111171662956271,0.0919211943298656,Not DE,-0.553399545498318,0.00440991024408499,0.0338875417489691,Down after KD,uronyl-2-sulfotransferase [Source:MGI Symbol;Acc:MGI:2442406],protein_coding,establishment of cell polarity; regulation of axonogenesis,0.0030425482899188293,0.9566266303926528,0.6745780841841406,0.2986024221938901,0.058021994485958885,0.43147323219916567,0.41838700869135786,1.0258711707226986,0.002855754617181887,0.9730257582213712,0.8976890245021995,1.2223198506968396,0.38939827579009245,1.1991901305937778,0.35100239219402535,0.006281992293560107,0.8562489961307331,0.3529958479570397,0.39252023912561906,0.0810749278082469,0.6710637657434672,0.5987709574333613,1.0282176614038563,0.0035717518255258917,0.8305211520271572,0.5060521715858488,0.7047284355195325,0.23997825972726522,1.2483189864977475,0.3274816945686943
Lama4,FALSE,TRUE,0.536733799187936,0.203225657546761,0.524744030085332,Not DE,0.990001716297129,1.00481153425145e-8,5.8816294955392e-7,Up after KD,"laminin, alpha 4 [Source:MGI Symbol;Acc:MGI:109321]",protein_coding,cell adhesion; regulation of cell adhesion; regulation of cell migration; regulation of embryonic development; signal transduction; blood vessel development; nervous system development,0.0022043179894453433,0.8454523725194631,0.32004876524791737,0.3050975980179015,0.05646778025959058,0.41186932145916627,0.39145973922987093,1.025241710732161,0.0038676798158011126,0.9912254640851708,0.9662278278681479,1.202933067902613,0.42794061955254387,1.1593320851101783,0.45290192313842514,0.0022199997341073707,0.6758409625794097,0.0611634934393026,0.38145664697367043,0.060719142819408455,0.5233569496956327,0.396895373821468,1.025777753290124,0.006680540709549228,0.7670569570647173,0.34170364298294287,0.63932601758384,0.10802094191407044,1.0979074996274767,0.6899648856319097
Sesn1,FALSE,TRUE,0.480304960262698,9.88611140685877e-5,0.00248179333985726,Not DE,0.720625831834785,2.48021308146789e-10,2.05077199127807e-8,Up after KD,sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278],protein_coding,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; cellular response to amino acid stimulus; negative regulation of cell growth; reactive oxygen species metabolic process; cellular response to amino acid starvation; cellular response to glucose starvation; cellular response to L-leucine; positive regulation of macroautophagy; cellular oxidant detoxification; cellular response to leucine starvation,0.0026690698194946636,1.0959621838199651,0.47751503911648857,0.3146860414285113,0.06287548901597464,0.4946585044658653,0.49719079120831056,1.0262420814696434,0.002418145333731157,1.0245686112889738,0.9093616885284831,1.2939914388831,0.30205072420983176,1.239578021875354,0.2616105785185655,0.008668148833252473,0.9736250864548452,0.854938462697887,0.4549478603217546,0.1329060837845997,0.6462707247450232,0.565070424364474,1.026667999439805,0.005381957936857892,0.8064794910080544,0.44007690243374453,0.6279190555602212,0.10119566011512161,1.2427359639565936,0.337264686670269
Man1a,FALSE,TRUE,-0.337022426028251,0.00665992662649998,0.0642368118068571,Not DE,0.52634036198785,1.78114579636985e-4,0.00271745392210028,Up after KD,"mannosidase 1, alpha [Source:MGI Symbol;Acc:MGI:104677]",protein_coding,carbohydrate metabolic process; ERAD pathway; protein targeting to ER,0.001984299526468529,1.1392736844515101,0.25619182687893594,0.29820988266719634,0.05265398281774079,0.42030646635867747,0.40147554887974674,1.0264710959671783,0.0022068061112451693,0.8426905765028266,0.5030655525049084,1.2374735918186726,0.3597247793214459,1.1727255401247367,0.41131396932428665,0.001792813450433178,1.3836970306127985,0.037830384349524654,0.39060678240902513,0.06506778683670941,0.8359391665151028,0.8143275185002761,1.0290058497366241,0.0019774398664187147,0.5519958531531526,0.07565780977608964,0.6459122935529654,0.11427089948314625,1.3274338956216067,0.21797808194530804
Oit3,FALSE,TRUE,0.638632234967086,0.222849604021094,0.548662928120121,Not DE,1.02121846810156,0.0347118718644019,0.152237823785122,Up after KD,oncoprotein induced transcript 3 [Source:MGI Symbol;Acc:MGI:1201782],protein_coding,renal system process,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ddit4,TRUE,TRUE,1.04341730143075,6.3215293888162e-18,1.80260841879551e-15,Up after KD,0.839450174277414,5.59392890598552e-8,2.67783867952926e-6,Up after KD,DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997],protein_coding,negative regulation of signal transduction; reactive oxygen species metabolic process; cellular response to dexamethasone stimulus; apoptotic process; defense response to virus; neuron migration; intracellular signal transduction; neuron differentiation; negative regulation of TOR signaling; brain development; response to hypoxia; neurotrophin TRK receptor signaling pathway; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; negative regulation of glycolytic process; protein-containing complex disassembly,0.0030365557511546144,0.9608201436918012,0.6694454047021071,0.33618623783327084,0.08962711241210887,0.4407494039411191,0.42801835710436503,1.0268491827706963,0.0022114859636395796,0.9931223858451017,0.9735189138125092,1.1950782214952005,0.4475139847397482,1.2392537087697901,0.26685811878165516,0.006908597726953522,1.0894278473525032,0.4313820086517556,0.4631953108762359,0.12547045813379118,0.6199061978724555,0.5279345784458558,1.0282017408241495,0.004001634319129365,0.7524443508251102,0.3233145726895642,0.6431349184330727,0.11069387116363076,1.2389320173919378,0.34421314058736513
