SYMBOL,in_male_CC,in_female_CC,kd3_male_log2FoldChange,kd3_male_pvalue,kd3_male_padj,kd3_male_sig,kd3_female_log2FoldChange,kd3_female_pvalue,kd3_female_padj,kd3_female_sig,description,gene_biotype,GO_Term_Description,Overall_pvalue_M,Expression_HR_M,Expression_pvalue_M,Recurrence_Recurrent_HR_M,Recurrence_Recurrent_pvalue_M,Recurrence_Secondary_HR_M,Recurrence_Secondary_pvalue_M,Age_HR_M,Age_pvalue_M,Subtype_Mesenchymal_HR_M,Subtype_Mesenchymal_pvalue_M,Subtype_Proneural_HR_M,Subtype_Proneural_pvalue_M,MGMT_Unmethylated_HR_M,MGMT_Unmethylated_pvalue_M,Overall_pvalue_F,Expression_HR_F,Expression_pvalue_F,Recurrence_Recurrent_HR_F,Recurrence_Recurrent_pvalue_F,Recurrence_Secondary_HR_F,Recurrence_Secondary_pvalue_F,Age_HR_F,Age_pvalue_F,Subtype_Mesenchymal_HR_F,Subtype_Mesenchymal_pvalue_F,Subtype_Proneural_HR_F,Subtype_Proneural_pvalue_F,MGMT_Unmethylated_HR_F,MGMT_Unmethylated_pvalue_F
Me3,TRUE,TRUE,1.05146480211858,0.0331004796464454,0.1894546753207,Up after KD,0.775871379730758,0.0403758027416329,0.167863393676887,Up after KD,"malic enzyme 3, NADP(+)-dependent, mitochondrial [Source:MGI Symbol;Acc:MGI:1916679]",protein_coding,malate metabolic process; pyruvate biosynthetic process,0.0028254340684107917,0.9011546437685094,0.5434406285456728,0.29480456386319925,0.05410899453010736,0.45916555622937955,0.4501513751832364,1.0265903910488148,0.002192121730940326,0.9801823765798613,0.9237153447737034,1.2224366509872506,0.3878680366473265,1.2128382857687243,0.3117041727901521,0.00848681023246825,1.0596720219384392,0.7669709759369863,0.45362651131752685,0.12270861988693924,0.63774044244848,0.5528409058927745,1.0269077928589923,0.005300208898185194,0.7907663085422482,0.4041840526244589,0.6462345189540407,0.12113300221808336,1.235501891557856,0.35226885068914165
Capn5,TRUE,FALSE,1.74996412045307,2.23662449707952e-5,7.35902397397082e-4,Up after KD,0.725154816150115,0.00782319250210093,0.051967094463394,Up after KD,calpain 5 [Source:MGI Symbol;Acc:MGI:1100859],protein_coding,proteolysis,0.0030720162919505778,1.0522393090715325,0.6949476393338262,0.3208995979009228,0.06922734101020647,0.4660149779164368,0.45934169345334097,1.0264739506771376,0.0023538919712927805,1.0069614446156618,0.9738846056319261,1.1991740632992884,0.4382412972563754,1.2295993320639838,0.27861561100938176,0.0065977908597709385,1.1640450949294125,0.38729557564596523,0.5086663397140321,0.18532872795487948,0.6023882963780858,0.5067442652663622,1.028006454588912,0.004569383242146938,0.8010329604384652,0.4242713861925567,0.6024927368004185,0.07422656872052504,1.2423076790433414,0.3377420414225765
Ppfibp2,TRUE,FALSE,-1.20454223915185,5.42215314993125e-4,0.00966342390711304,Down after KD,0.644202503560244,0.405335774992414,0.667093028129494,Not DE,"PTPRF interacting protein, binding protein 2 (liprin beta 2) [Source:MGI Symbol;Acc:MGI:894649]",protein_coding,neuromuscular junction development,7.825162862021639e-4,1.7365561773573692,0.05718207990231214,0.34926143751369515,0.0868394139168354,0.655637976800117,0.6873156719281689,1.0271690596028225,0.0018133218284423606,0.9641499881981244,0.8610769897377812,1.2891820938867795,0.27779845892178734,1.2120768251866803,0.31068363066036303,0.008158883215945182,1.1608575562776435,0.6607128037536351,0.48266078918939687,0.1492576606209153,0.6675306408609598,0.5958386455947453,1.027464586302917,0.004830177044189943,0.7907352466775126,0.4001126695326032,0.6329084679067821,0.09733358459362666,1.2326264190673002,0.3563650218265194
Bnip3,TRUE,FALSE,0.535928003200058,3.26863988633638e-8,2.57805277843595e-6,Up after KD,0.453298209777119,7.32683062514773e-7,2.54801309740432e-5,Not DE,BCL2/adenovirus E1B interacting protein 3 [Source:MGI Symbol;Acc:MGI:109326],protein_coding,positive regulation of apoptotic process; cellular response to hypoxia; response to bacterium; apoptotic process; response to hypoxia; defense response to virus; mitophagy; negative regulation of programmed cell death; positive regulation of mitochondrial fission; reactive oxygen species metabolic process; neuron apoptotic process; cellular response to hydrogen peroxide; mitochondrial protein catabolic process; regulation of mitochondrial membrane permeability; reticulophagy; positive regulation of cardiac muscle cell apoptotic process; positive regulation of release of cytochrome c from mitochondria; positive regulation of macroautophagy; intrinsic apoptotic signaling pathway; negative regulation of mitochondrial fusion; cardiac muscle cell apoptotic process; negative regulation of mitochondrial membrane potential; cerebral cortex development; positive regulation of programmed cell death; positive regulation of protein-containing complex disassembly; mitochondrial fragmentation involved in apoptotic process; negative regulation of membrane potential; autophagic cell death; response to axon injury; oligodendrocyte differentiation; response to hyperoxia; substrate localization to autophagosome; cellular response to mechanical stimulus; cellular response to cobalt ion; response to oxygen-glucose deprivation; mitochondrial outer membrane permeabilization; granzyme-mediated programmed cell death signaling pathway; intrinsic apoptotic signaling pathway in response to hypoxia,0.0024586886650712976,0.8986959422939178,0.3947205655729948,0.34375510729573716,0.08961562678056781,0.49329267735574917,0.49483469703521965,1.0272337507033318,0.0018442391646819425,1.006056080091802,0.9769004242130337,1.2353495305564686,0.36553193807596973,1.2172779715599928,0.30323320608124243,0.006570278063869043,0.8762223893760543,0.38831501463321216,0.5079973255511705,0.18590012063592193,0.6997648869433296,0.6405329619720146,1.027946226759813,0.004013252974665931,0.8409648779529726,0.5391287284079739,0.6938688531406044,0.2132344793083594,1.2658154307993892,0.30030712008134053
Ifitm1,TRUE,TRUE,3.29455224150297,3.42762481267201e-4,0.00675861977690168,Up after KD,1.39650771213571,1.25347928201078e-8,7.19472768470652e-7,Up after KD,interferon induced transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1915963],protein_coding,immune system process; negative regulation of cell population proliferation; innate immune response; defense response to virus; type I interferon-mediated signaling pathway; host-mediated suppression of symbiont invasion; ossification; negative regulation of viral genome replication; response to type II interferon; response to interferon-alpha; response to interferon-beta; response to virus; positive regulation of osteoblast differentiation; negative regulation of cell migration; anterior/posterior pattern specification; somitogenesis,0.0031626667799177447,0.9768691470237756,0.7798093089395496,0.3126944933882437,0.06230009149220701,0.44090344250858454,0.42986496626187826,1.0257898892849597,0.003329121611827602,0.9964227544307722,0.986318944376886,1.184227193421027,0.49356264000205713,1.224267678034943,0.28728787359271,0.004947286321521731,1.111885461518533,0.22440178842359207,0.49568145330216384,0.15731833485753172,0.7404666081369501,0.6938561312587936,1.026805916439225,0.004130094637909811,0.7690124286129781,0.3491419961986375,0.6573992429975158,0.13158026854246088,1.27644181745248,0.28530639508695255
Ifitm10,TRUE,FALSE,-0.525869891817953,0.00738528192669993,0.0689024499218372,Down after KD,0.209590814159642,0.189283996737375,0.439482500317708,Not DE,interferon induced transmembrane protein 10 [Source:MGI Symbol;Acc:MGI:2444776],protein_coding,biological_process,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tnfrsf23,TRUE,FALSE,-0.522479899028874,0.0243158027509978,0.154186250899993,Down after KD,-0.12280264588602,0.56691995975601694,0.787113484433201,Not DE,"tumor necrosis factor receptor superfamily, member 23 [Source:MGI Symbol;Acc:MGI:1930269]",protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhcr7,TRUE,FALSE,0.673479324059317,2.3199070459528e-6,1.01573567945044e-4,Up after KD,0.235636932410545,0.0417623109297742,0.171576638093693,Not DE,7-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1298378],protein_coding,sterol biosynthetic process; lung development; post-embryonic development; multicellular organism growth; regulation of cell population proliferation; lipid metabolic process; steroid metabolic process; cholesterol metabolic process; steroid biosynthetic process; cholesterol biosynthetic process; cholesterol biosynthetic process via lathosterol; blood vessel development; cell differentiation; cholesterol biosynthetic process via desmosterol; regulation of cholesterol biosynthetic process,0.001567104821440092,0.8551325915282286,0.18607986150816494,0.33468421512437435,0.07926782201985565,0.44494825471032307,0.4324467509786304,1.0259672611260076,0.0029168246939783636,0.9203589757330296,0.6996887285117752,1.1924292001661805,0.45135522229987113,1.2279884002725483,0.280269496716138,0.008754942486359506,0.9858751360220053,0.9318043032757276,0.4676524757238239,0.13000669671210716,0.6319722793867151,0.5536641968223075,1.0265486084498372,0.005864470031361435,0.7948248211852971,0.43819911834458836,0.6309850683320741,0.11057777498266028,1.241181757777557,0.3400708512035249
Ap3m2,TRUE,FALSE,0.875032365377215,0.00779446902524132,0.0717845382154161,Up after KD,0.431824267658884,0.102031011148981,0.303553405847183,Not DE,"adaptor-related protein complex 3, mu 2 subunit [Source:MGI Symbol;Acc:MGI:1929214]",protein_coding,"intracellular protein transport; vesicle-mediated transport; protein transport; anterograde synaptic vesicle transport; vesicle transport along microtubule; endocytosis; synaptic vesicle endocytosis; anterograde axonal transport; Golgi to vacuole transport; synaptic vesicle coating; clathrin-coated vesicle cargo loading, AP-3-mediated",0.0027669228709208413,0.8735885577676615,0.5198384755913771,0.29103267235064,0.052549488674803115,0.4516701643562164,0.4405946162401503,1.0257006988220274,0.0030865021942232925,0.9671178498951845,0.8744023541045487,1.2333718315050122,0.36901187397845053,1.2013971047573642,0.3377124587466501,0.008372205444740589,0.9007492365407652,0.7241839950358793,0.4730947735173448,0.13781836975527545,0.6515154374913493,0.5733133113215029,1.0264588678267395,0.005761173129269674,0.8052066063764203,0.4339439643826739,0.6470681534716998,0.1219452808011942,1.2560574461321499,0.31923810450357737
Rnf122,TRUE,FALSE,0.821718758434627,0.00290464968995569,0.0356934908309361,Up after KD,0.0960766139562664,0.734745117114007,0.88433902217169,Not DE,ring finger protein 122 [Source:MGI Symbol;Acc:MGI:1916117],protein_coding,proteasome-mediated ubiquitin-dependent protein catabolic process; positive regulation of apoptotic process; protein autoubiquitination; negative regulation of mitochondrial membrane potential,0.0017064296426122923,1.3562252993416832,0.19010018710606663,0.3178712743545786,0.06636035652789714,0.37309099513549465,0.34324920759873967,1.0280639048248807,0.0012535578040046107,0.9742311654244008,0.9004281522418744,1.1834250548994445,0.47041770134142374,1.2312294892156483,0.2731770091378269,0.0013758749898085492,0.463635070543524,0.032303756819464784,0.63023031986936,0.38093515224291363,0.7906051461769082,0.7605756461211465,1.024774590417616,0.01054814895331229,0.869542958244522,0.6143420708983433,0.869948380325997,0.6548135218005958,1.3253326717851146,0.21753310305499604
