"Gene","Variable","HR","Lower95","Upper95","SE","Pvalue"
"ZFX","ZFX",0.644984488269093,0.36613953266551,1.13619249765031,0.288888864406434,0.129018137501824
"ZFX","Recurrence (recurrent)",0.348297347912502,0.102423099231901,1.18441097245277,0.624472851040817,0.0912304564365825
"ZFX","Recurrence (secondary)",0.419223665629119,0.0554554963929535,3.16918057279976,1.03207189996625,0.399600243212043
"ZFX","Age",1.02615455736552,1.00910756517175,1.04348952673129,0.00854711353521215,0.0025218035054044
"ZFX","Mesenchymal Subtype",1.12144419391993,0.726314541751971,1.73153228770984,0.221631326817671,0.605049333238248
"ZFX","Proneural Subtype",1.2648711195632,0.800118118324561,1.9995784528105,0.233660492305334,0.314605461531996
"ZFX","MGMT (unmethylated)",1.2432817688048,0.855540144461196,1.80675280599004,0.190705919022488,0.253523094404369
"KLF4","KLF4",0.926035785984069,0.717948412367327,1.19443439410294,0.12985706078366,0.554020672743202
"KLF4","Recurrence (recurrent)",0.328986218433568,0.0959879699859905,1.12755725467489,0.628477359469321,0.0769037079266306
"KLF4","Recurrence (secondary)",0.4327106177463,0.0570477167667844,3.28213799468664,1.03378487940414,0.417762102727416
"KLF4","Age",1.02639331728992,1.00937676860164,1.04369673896584,0.00852971993531546,0.00225701023548195
"KLF4","Mesenchymal Subtype",1.01453746702474,0.670306239345068,1.53554630940426,0.211459706281736,0.945584042450943
"KLF4","Proneural Subtype",1.19558644462593,0.756381396367667,1.8898229827409,0.233599369541727,0.444441599094541
"KLF4","MGMT (unmethylated)",1.23176212072761,0.84851766965072,1.78810409768359,0.190161725181792,0.273013165109185
"KLF9","KLF9",1.29426311768595,1.07147543283616,1.56337417216201,0.096381824233219,0.00744518820928132
"KLF9","Recurrence (recurrent)",0.366642140211416,0.107133295949213,1.25475892240385,0.627721974264514,0.109947537082085
"KLF9","Recurrence (secondary)",0.536646038042763,0.0707692620134894,4.06940756414982,1.03364857316039,0.54707103604446
"KLF9","Age",1.02406053903464,1.00682800458409,1.04158801983376,0.00865875384618447,0.00603542288834887
"KLF9","Mesenchymal Subtype",1.19749456673191,0.777351201437878,1.84471733587078,0.220460452618909,0.413629552546676
"KLF9","Proneural Subtype",1.66962213429632,1.00286806582966,2.77966580681379,0.260072826430842,0.0487266057462498
"KLF9","MGMT (unmethylated)",1.19646783152146,0.81947808994546,1.74688657260004,0.193096078573596,0.352922674414419
"ZIC1","ZIC1",1.05014249777914,0.931778028419228,1.18354289541762,0.06101465520296,0.422627729381464
"ZIC1","Recurrence (recurrent)",0.347630099987248,0.100663769196067,1.2004983260836,0.632334597826977,0.0947263063673356
"ZIC1","Recurrence (secondary)",0.417763559501878,0.0548376290615724,3.18260279728212,1.03600832533699,0.399506714192158
"ZIC1","Age",1.0267386304934,1.00966820215069,1.04409766802792,0.00855405327372658,0.00203700524235819
"ZIC1","Mesenchymal Subtype",1.02949565097772,0.677839343065994,1.56358775309218,0.21322534629266,0.891560365651064
"ZIC1","Proneural Subtype",1.29008534355384,0.800446275742548,2.07924034890223,0.243521942197554,0.295590567027705
"ZIC1","MGMT (unmethylated)",1.25030205562675,0.857252458320086,1.82356459305805,0.192558633506945,0.246012542587727
"KLF5","KLF5",0.965523484250272,0.814759900472397,1.14418443776906,0.0866224875199642,0.68545420442191
"KLF5","Recurrence (recurrent)",0.328143233873168,0.0951411604257369,1.13177074417533,0.631689420573066,0.0777306627246525
"KLF5","Recurrence (secondary)",0.452117486579894,0.0599720090604628,3.40842711247572,1.03066390522589,0.441183642234276
