"SYMBOL_UPPER","Overall_pvalue_Males","Expression_coef_FM","Expression_Lower95_FM","Expression_Upper95_FM","Expression_SE_FM","Expression_pvalue_FM","Recurrence_Recurrent_coef_FM","Recurrence_Recurrent_Lower95_FM","Recurrence_Recurrent_Upper95_FM","Recurrence_Recurrent_SE_FM","Recurrence_Recurrent_pvalue_FM","Recurrence_Secondary_coef_FM","Recurrence_Secondary_Lower95_FM","Recurrence_Secondary_Upper95_FM","Recurrence_Secondary_SE_FM","Recurrence_Secondary_pvalue_FM","Age_coef_FM","Age_Lower95_FM","Age_Upper95_FM","Age_SE_FM","Age_pvalue_FM","Subtype_Mesenchymal_coef_FM","Subtype_Mesenchymal_Lower95_FM","Subtype_Mesenchymal_Upper95_FM","Subtype_Mesenchymal_SE_FM","Subtype_Mesenchymal_pvalue_FM","Subtype_Proneural_coef_FM","Subtype_Proneural_Lower95_FM","Subtype_Proneural_Upper95_FM","Subtype_Proneural_SE_FM","Subtype_Proneural_pvalue_FM","MGMT_Unmethylated_coef_FM","MGMT_Unmethylated_Lower95_FM","MGMT_Unmethylated_Upper95_FM","MGMT_Unmethylated_SE_FM","MGMT_Unmethylated_pvalue_FM","Overall_pvalue_Females","Expression_coef_FF","Expression_Lower95_FF","Expression_Upper95_FF","Expression_SE_FF","Expression_pvalue_FF","Recurrence_Recurrent_coef_FF","Recurrence_Recurrent_Lower95_FF","Recurrence_Recurrent_Upper95_FF","Recurrence_Recurrent_SE_FF","Recurrence_Recurrent_pvalue_FF","Recurrence_Secondary_coef_FF","Recurrence_Secondary_Lower95_FF","Recurrence_Secondary_Upper95_FF","Recurrence_Secondary_SE_FF","Recurrence_Secondary_pvalue_FF","Age_coef_FF","Age_Lower95_FF","Age_Upper95_FF","Age_SE_FF","Age_pvalue_FF","Subtype_Mesenchymal_coef_FF","Subtype_Mesenchymal_Lower95_FF","Subtype_Mesenchymal_Upper95_FF","Subtype_Mesenchymal_SE_FF","Subtype_Mesenchymal_pvalue_FF","Subtype_Proneural_coef_FF","Subtype_Proneural_Lower95_FF","Subtype_Proneural_Upper95_FF","Subtype_Proneural_SE_FF","Subtype_Proneural_pvalue_FF","MGMT_Unmethylated_coef_FF","MGMT_Unmethylated_Lower95_FF","MGMT_Unmethylated_Upper95_FF","MGMT_Unmethylated_SE_FF","MGMT_Unmethylated_pvalue_FF","Overall_pvalue_All","Expression_coef_FA","Expression_Lower95_FA","Expression_Upper95_FA","Expression_SE_FA","Expression_pvalue_FA","Recurrence_Recurrent_coef_FA","Recurrence_Recurrent_Lower95_FA","Recurrence_Recurrent_Upper95_FA","Recurrence_Recurrent_SE_FA","Recurrence_Recurrent_pvalue_FA","Recurrence_Secondary_coef_FA","Recurrence_Secondary_Lower95_FA","Recurrence_Secondary_Upper95_FA","Recurrence_Secondary_SE_FA","Recurrence_Secondary_pvalue_FA","Age_coef_FA","Age_Lower95_FA","Age_Upper95_FA","Age_SE_FA","Age_pvalue_FA","Subtype_Mesenchymal_coef_FA","Subtype_Mesenchymal_Lower95_FA","Subtype_Mesenchymal_Upper95_FA","Subtype_Mesenchymal_SE_FA","Subtype_Mesenchymal_pvalue_FA","Subtype_Proneural_coef_FA","Subtype_Proneural_Lower95_FA","Subtype_Proneural_Upper95_FA","Subtype_Proneural_SE_FA","Subtype_Proneural_pvalue_FA","MGMT_Unmethylated_coef_FA","MGMT_Unmethylated_Lower95_FA","MGMT_Unmethylated_Upper95_FA","MGMT_Unmethylated_SE_FA","MGMT_Unmethylated_pvalue_FA"
"ZFX",0.0012603330704088,0.644984488269093,0.36613953266551,1.13619249765031,0.288888864406434,0.129018137501824,0.348297347912502,0.102423099231901,1.18441097245277,0.624472851040817,0.0912304564365825,0.419223665629119,0.0554554963929535,3.16918057279976,1.03207189996625,0.399600243212043,1.02615455736552,1.00910756517175,1.04348952673129,0.00854711353521215,0.0025218035054044,1.12144419391993,0.726314541751971,1.73153228770984,0.221631326817671,0.605049333238248,1.2648711195632,0.800118118324561,1.9995784528105,0.233660492305334,0.314605461531996,1.2432817688048,0.855540144461196,1.80675280599004,0.190705919022488,0.253523094404369,0.00123545081676062,1.8666769736382,1.12754170807994,3.09033617021998,0.257208832034861,0.0152382931648628,0.342182150564717,0.124113967373883,0.943396030620587,0.517429387501787,0.0382116936073855,0.610440946292177,0.135922416266911,2.74155035750937,0.766390258351198,0.519559870773288,1.02936392227097,1.01068109782552,1.04839210583119,0.00934537704178724,0.00195600861630935,0.780311930994724,0.453551306037862,1.34248695031183,0.27683434946023,0.370218132870466,0.655757675561834,0.379702807633617,1.13251237655633,0.278781889077137,0.130127605173873,1.13608767176786,0.721560892787221,1.78875436687992,0.231600684296025,0.581697265879605,2.04729915175256e-06,1.02784378266722,0.692583211890993,1.52539481672268,0.201427211304714,0.891550121062784,0.506173215431776,0.251436133778004,1.01899166269696,0.356991211657136,0.0564864606433256,0.511311972531046,0.156722776905759,1.6681680762382,0.60332814001945,0.26622761952658,1.02775136814982,1.0153720719615,1.04028159125286,0.0061828479584789,9.54231794228717e-06,0.928355479708469,0.672226323988775,1.28207400684763,0.164706926526681,0.651736927688367,0.903448181811012,0.643426764797218,1.2685493701445,0.173171826317702,0.557651111513206,1.29500032569933,0.985800983541061,1.70118093972415,0.139192217720062,0.0632794764511886
"KLF4",0.00283235584900987,0.926035785984069,0.717948412367327,1.19443439410294,0.12985706078366,0.554020672743202,0.328986218433568,0.0959879699859905,1.12755725467489,0.628477359469321,0.0769037079266306,0.4327106177463,0.0570477167667844,3.28213799468664,1.03378487940414,0.417762102727416,1.02639331728992,1.00937676860164,1.04369673896584,0.00852971993531546,0.00225701023548195,1.01453746702474,0.670306239345068,1.53554630940426,0.211459706281736,0.945584042450943,1.19558644462593,0.756381396367667,1.8898229827409,0.233599369541727,0.444441599094541,1.23176212072761,0.84851766965072,1.78810409768359,0.190161725181792,0.273013165109185,0.00148514356904684,1.33815015696294,1.04964935119485,1.70594669595289,0.123896166004761,0.0187196656450357,0.356581916806149,0.127510516952609,0.997177851928914,0.524685736642777,0.0493737042723314,0.497654574658391,0.110316941579348,2.24498678201923,0.768661420887851,0.363943868441802,1.03007053966026,1.01079197716055,1.04971679697794,0.00963952693559004,0.00211549052772889,0.743684016649764,0.429677969763028,1.28716377273275,0.279893008011055,0.290035504608458,0.680813269556711,0.394448635646735,1.17507494288714,0.278474064746903,0.167395446701338,1.31598103358667,0.839065098482721,2.06397106004227,0.229621263014274,0.231772381746231,6.69601144692182e-07,1.15762289667086,0.973178411323624,1.37702476267838,0.0885508756515024,0.0983444747471577,0.454011069071427,0.226940272642779,0.908283260784824,0.353799721667986,0.0256237962515706,0.46988343112614,0.142645937440539,1.54782142981752,0.608235180045237,0.21433209302871,1.02844157802089,1.01596380733225,1.041072597044,0.0062281244377335,6.70322332594443e-06,0.893082214365632,0.648500762621957,1.22990733024192,0.163276195270874,0.48859312043587,0.932171165897739,0.662195267306801,1.3122157850285,0.174470539639397,0.687255213921949,1.29173313420109,0.983112934859099,1.69723582187647,0.139296492783977,0.0661069765912723
"KLF9",0.000144250857119519,1.29426311768595,1.07147543283616,1.56337417216201,0.096381824233219,0.00744518820928132,0.366642140211416,0.107133295949213,1.25475892240385,0.627721974264514,0.109947537082085,0.536646038042763,0.0707692620134894,4.06940756414982,1.03364857316039,0.54707103604446,1.02406053903464,1.00682800458409,1.04158801983376,0.00865875384618447,0.00603542288834887,1.19749456673191,0.777351201437878,1.84471733587078,0.220460452618909,0.413629552546676,1.66962213429632,1.00286806582966,2.77966580681379,0.260072826430842,0.0487266057462498,1.19646783152146,0.81947808994546,1.74688657260004,0.193096078573596,0.352922674414419,0.00160642851875251,1.26307325954151,1.01064319991128,1.57855320167282,0.113757644566494,0.0400696773732459,0.70040532447245,0.24291002510977,2.01954455493417,0.540299772365306,0.509849980578563,0.566706571347432,0.127217703610654,2.52446262503881,0.762229229799734,0.456229810080001,1.03120281972249,1.0113030926533,1.05149411994151,0.00994213015321758,0.00199836466954835,0.972420439651536,0.547855865976885,1.72600417404672,0.292748250724301,0.923891755756393,0.889598372874921,0.480255845965945,1.64784098240383,0.314521657017344,0.709932789286332,1.29911310439293,0.826672083569368,2.04155298279625,0.23063126854768,0.256529200142454,2.00940134780273e-08,1.2465181101458,1.08698486453465,1.42946553316238,0.0698719312101925,0.0016122228317707,0.683607314725283,0.341065750226921,1.37017264394033,0.354755690592964,0.283626949599094,0.478073342935691,0.145499524306757,1.57082383818552,0.606945510209195,0.224019204617287,1.02937235875804,1.01677415380904,1.04212666009023,0.00628288823329505,4.07274666282542e-06,1.11013488628868,0.79622821870175,1.54779677083613,0.169569929376506,0.537791574035221,1.20216407523136,0.823303104343678,1.75536622679075,0.193143438203021,0.340438907073001,1.33842530878285,1.01581222863726,1.76349748180691,0.14071955641775,0.0383165931833125
"ZIC1",0.00251283617896004,1.05014249777914,0.931778028419228,1.18354289541762,0.06101465520296,0.422627729381464,0.347630099987248,0.100663769196067,1.2004983260836,0.632334597826977,0.0947263063673356,0.417763559501878,0.0548376290615724,3.18260279728212,1.03600832533699,0.399506714192158,1.0267386304934,1.00966820215069,1.04409766802792,0.00855405327372658,0.00203700524235819,1.02949565097772,0.677839343065994,1.56358775309218,0.21322534629266,0.891560365651064,1.29008534355384,0.800446275742548,2.07924034890223,0.243521942197554,0.295590567027705,1.25030205562675,0.857252458320086,1.82356459305805,0.192558633506945,0.246012542587727,0.000150636108298617,0.812248214346972,0.720207601638941,0.916051372143936,0.0613615714539588,0.000701691206411349,0.216095438856131,0.0732946118200941,0.637116938541744,0.551659656803046,0.00548398510923473,0.62577222553992,0.142276508271071,2.75232280448653,0.755735337014748,0.535072313485123,1.02887099812303,1.01031912510519,1.0477635278541,0.00928376056070239,0.00217093977868717,0.725872418577706,0.418877859561097,1.25786253922308,0.280512753771626,0.253401498162523,0.635382415168351,0.368507696171331,1.0955288524489,0.277946663301274,0.102740681336448,1.21818222652766,0.780081011519604,1.90232541891656,0.227410950738165,0.385473623155461,2.6865008150243e-07,0.911669637058182,0.839960393069441,0.989500855030298,0.0417981888494187,0.0269336194394339,0.375674401456376,0.179863882081851,0.784655897982795,0.375783670674213,0.00917915177222217,0.531344708511678,0.162636036071887,1.73594491160967,0.604039763953019,0.295164738820254,1.02734292855716,1.01507267838835,1.03976150213414,0.00613050747847286,1.08124398509818e-05,0.880594273767603,0.638769757058265,1.21396836093723,0.163805519555174,0.43758605921428,0.846165458312293,0.599203258021698,1.19491336746858,0.176081831570834,0.342797693285011,1.2601656849173,0.958525688373031,1.65672925901291,0.139595485784702,0.0976158419747216
"KLF5",0.00305183311993069,0.965523484250272,0.814759900472397,1.14418443776906,0.0866224875199642,0.68545420442191,0.328143233873168,0.0951411604257369,1.13177074417533,0.631689420573066,0.0777306627246525,0.452117486579894,0.0599720090604628,3.40842711247572,1.03066390522589,0.441183642234276,1.02608297213277,1.00902651607871,1.04342774835333,0.00855250022313201,0.00260686320289438,1.02796126585697,0.660547159882296,1.59974098486861,0.225649169054534,0.902729540406011,1.23587257600236,0.776397187376142,1.96726759054413,0.237182067568762,0.371916616726817,1.24367656520115,0.848401528399347,1.82311246155897,0.195142983491219,0.263781298928246,0.00384389279762399,1.13020686733811,0.967828587930979,1.31982830318019,0.079134602269742,0.121925862990411,0.323125440459931,0.107651158076397,0.969892494777693,0.56079837972119,0.043959620723204,0.651385532997695,0.147885019064474,2.86914195422126,0.756476456501063,0.570955400729777,1.02569646321302,1.00705648168646,1.04468145906362,0.00935739486765885,0.00669950454405209,0.76857739650081,0.445236151222137,1.32673686265257,0.278544123784824,0.344677547696606,0.600845076076174,0.347331050875408,1.03939686513799,0.279626955632296,0.0684887213556241,1.1984407550119,0.769581161448285,1.86628820353472,0.2259889481888,0.423120903227043,1.44363683112124e-06,1.05275726032167,0.943846198583466,1.17423564434897,0.0557177258189481,0.356145426031586,0.451424606172503,0.217545010493306,0.936744881419702,0.37245714999598,0.0327279327839679,0.514816070208519,0.157861903000224,1.67890783721622,0.603117752048372,0.270959485183455,1.0275744325773,1.01522510449483,1.04007397946682,0.00616885799553461,1.03646332187442e-05,0.898438727848684,0.647830009365149,1.24599375766705,0.166855198331491,0.520967624272468,0.881392377094307,0.624917329705895,1.24312846751356,0.175454007283957,0.471786505728224,1.27108250892342,0.965064664603823,1.67413729229669,0.140527621298043,0.0878375852392054
"TCF7L1",0.00180293327221426,1.14393146129767,0.920592306595055,1.4214535346125,0.110822946749779,0.224982387941866,0.30526955384018,0.0898510879156003,1.03715494896754,0.62401220519522,0.0572363634713665,0.424883250391858,0.0561691199800985,3.21396839629165,1.03239003514614,0.407055346127052,1.0269017304732,1.00969309058354,1.04440366472094,0.00862251884785509,0.00207898514282322,1.09056504108853,0.706264030562797,1.68397661126347,0.221668399066117,0.695718527832024,1.1996878233147,0.759544217435036,1.89488753962197,0.233217609517785,0.435008252423385,1.27518954712246,0.87108546289642,1.86676101295901,0.194447459998149,0.211232849871964,0.000876298777128899,0.74425593504432,0.586024122608711,0.945211767704905,0.121953271942204,0.0154355316755411,0.378329014552962,0.139537571435748,1.02576561839133,0.50890237753551,0.056136372935519,0.869886069605308,0.197257482115054,3.83611189791021,0.75708144085928,0.853920150578239,1.02747318347847,1.00910003319867,1.04618086218965,0.0092061338871335,0.00324032969423628,0.633314077869624,0.35207902310706,1.13919516615419,0.299551843516505,0.127282209660172,0.652353845999918,0.378324667320239,1.12486860400952,0.277981836593148,0.124372548665775,1.39337132555323,0.884376618977287,2.19531318356103,0.231942268190951,0.15265666559701,1.20779781932441e-06,0.919763572802918,0.793213399215664,1.06650370592792,0.0755240213547886,0.268101989916941,0.496020757993107,0.252193292867889,0.975587374121574,0.345119580409122,0.0421963501258819,0.551973407020038,0.168392565995718,1.8093117131136,0.605726392361032,0.326561953497888,1.02762934469243,1.01533695523855,1.04007055453318,0.00613991352208581,9.04143231724842e-06,0.881259012934499,0.632032094499345,1.22876267619522,0.169600772690955,0.456089520233642,0.917283727459332,0.652664896344641,1.28919058060904,0.173652686203692,0.619054799834479,1.30154450060718,0.990915692082978,1.70954814884387,0.139123708728009,0.0581760523204227
"KLF10",0.00288956543043194,1.0946316350712,0.794837185481899,1.50750171026811,0.163286614603982,0.579758596968757,0.312210836417824,0.0918599378852953,1.06113294457519,0.624202140589822,0.0621949755770357,0.462704376541818,0.0613576170308991,3.48930337309443,1.03081946917114,0.454686077277844,1.02669039607767,1.00953941412875,1.04413275464616,0.00859516808423387,0.00217989357611801,0.98029018952706,0.650853606771449,1.47647465679705,0.208965011753053,0.924105909877533,1.20670287755464,0.764865889474432,1.90377405338237,0.232630047153582,0.419272074184138,1.2225952999165,0.842051087850645,1.77511707893315,0.190253744142894,0.290805095804526,0.00871039202788325,1.02831073547269,0.702918699538592,1.50433182298676,0.194101237553925,0.885635476552142,0.460541329184692,0.168659059400249,1.25755661534829,0.512521317157137,0.130325298016026,0.65501343793214,0.144349820451779,2.97224203347732,0.771655041119498,0.583484976699819,1.02665861135208,1.00782508117754,1.04584408936506,0.00944651959619489,0.005351190780828,0.79135395835718,0.446292080327987,1.40320905302049,0.292235841073515,0.423272270018134,0.630171497428257,0.362345822139919,1.09595886555476,0.282348522350184,0.101957428214769,1.24196874415808,0.796645566817506,1.93622663040433,0.226556829209459,0.338828131368989,2.02881391833484e-06,1.02437656106992,0.806976983327035,1.30034357924702,0.12170852562578,0.8431356649435,0.510111276532624,0.259427427381694,1.00303008464441,0.344981793700155,0.0510339787341174,0.520375588212045,0.157814687940198,1.71587801073145,0.608750651409165,0.283260064951202,1.02776034134413,1.0153735493911,1.0402982428223,0.00618656016983589,9.59754211227205e-06,0.926861040865391,0.67175699391138,1.27884249343209,0.164241279925841,0.643766304058196,0.900103186446385,0.639541423165878,1.26682294047558,0.17436953833459,0.54612327659577,1.29622088774627,0.987004299361231,1.70231131811392,0.139050465825779,0.0620566082233177
"THAP1",0.00326136192084477,1.00399749071324,0.663769944354737,1.51861495075434,0.211131012674843,0.984924106929043,0.313901298778024,0.0924709580088381,1.06556726021063,0.623574710191087,0.0631519668280756,0.455965587011107,0.0604831990047326,3.43739451549373,1.03065756894023,0.44607339737288,1.02625480436427,1.00898407250995,1.04382115850531,0.00865939759981748,0.00276408023196012,0.991976225631639,0.653735022820005,1.50522275519775,0.212757498973151,0.969795036480117,1.21238716233372,0.766660395191079,1.91725389835125,0.23383216583223,0.410149603910247,1.22209753176394,0.840217081631567,1.77754345846354,0.191158441566104,0.294073479963749,0.00655497216665701,0.833872029719286,0.553585136561861,1.25607158867507,0.209016286516592,0.384742002380596,0.476449701435843,0.178183445266968,1.27399219191316,0.50181970481298,0.139565943510802,0.759891515866808,0.16380078466856,3.52522802045641,0.78293516161598,0.725809365195092,1.02817824556568,1.00874068609183,1.04799034997809,0.00973784995039915,0.00432183429862984,0.790912818796619,0.458910083841333,1.36310599606064,0.277726251322929,0.398334325982742,0.650416866752621,0.378223785233061,1.11849681874348,0.276600718276822,0.119922245328434,1.25967472798314,0.807734405295274,1.96448289179823,0.226726368219874,0.308581353778757,1.8597234777143e-06,0.93509909277963,0.71382890020298,1.22495784783811,0.137762331008625,0.626193935887689,0.511772958341907,0.260910421477654,1.00383710013078,0.343732821410896,0.0513166478004965,0.534472273616127,0.161828587538816,1.76520487269207,0.609573538907692,0.304078079002442,1.02788729314354,1.01547346994328,1.0404528711764,0.00619937280414037,9.12960180471283e-06,0.924890572689062,0.672940121585046,1.27117189778228,0.162257612857003,0.630367857074814,0.904367853095953,0.644314406662129,1.26938216072246,0.172987555571439,0.561188580995849,1.29752161016038,0.987947872246366,1.70410036412666,0.139074665049612,0.0610990291899964
"KLF3",0.00101808104857304,1.44295576772488,0.952426474682369,2.18612292177712,0.211961034231634,0.0836294010399222,0.259834141025745,0.0746632867169576,0.904243354548885,0.636264249335534,0.0341612150420022,0.442257742691578,0.0585828728112242,3.33872173870544,1.03137122687661,0.428916947971756,1.02740909681029,1.01009785241945,1.04501702451913,0.0086700488412377,0.00181585985101734,0.967876264572512,0.642253448397208,1.45859000969268,0.209249379716327,0.876002424173227,1.25867480935062,0.796046224784174,1.99016366935644,0.233758097591806,0.325028312264964,1.21619235243457,0.8360208740451,1.76924271156482,0.191241602302029,0.306098248386509,0.0064781829149152,1.28139535035831,0.746052043743258,2.20088405050325,0.275979315640409,0.368953442220702,0.438813171189491,0.162695462400053,1.18354253012845,0.506230536730193,0.103718449919383,0.613990498435467,0.136384450176719,2.76412986730202,0.767617021414779,0.525140411931317,1.0271951949344,1.00829144971332,1.04645335314141,0.00947706783536565,0.00463660391406985,0.802595171127159,0.466855276943393,1.37978307310584,0.276449534476139,0.426345357886362,0.619518551713422,0.358759162128976,1.06980748209886,0.278725193633834,0.085820995142409,1.20610986535403,0.770467904973258,1.88807476328922,0.228655973554358,0.412459743150026,1.47961865883687e-06,1.15457350561968,0.836701518448502,1.59320851042648,0.164298374864506,0.381673468671352,0.489352518969765,0.247582631110911,0.967216022980139,0.347628192891647,0.0397967740343511,0.497287230776506,0.151618859911048,1.63102789480444,0.606030481396935,0.249022596524748,1.02812655608983,1.015690526012,1.0407148518826,0.00620907639843965,7.91855015176696e-06,0.928136880469354,0.676653758984757,1.27308547015223,0.161237409010451,0.643706105993033,0.898014210701968,0.639245559275966,1.26153324167957,0.173420138491366,0.535072160017311,1.28678450774418,0.979431152174062,1.6905878128289,0.139252461734243,0.070185028983308
"REST",0.00247542148264752,0.807615396672115,0.485481019399738,1.34349769172914,0.259670975070843,0.41059534443924,0.34204346988645,0.0991663586401514,1.17977242379648,0.631715181258362,0.0894584553967729,0.554375526539158,0.0697534891864737,4.40597636060856,1.05760864769639,0.576994605501728,1.02613475005223,1.00900227095788,1.04355813219839,0.0085905054994392,0.00267149917417928,1.00474129651619,0.667411463598713,1.51256777562935,0.208717421088945,0.981919361100566,1.16016601497312,0.725654863963306,1.85485586763278,0.239414543388758,0.534911095770301,1.17092740040626,0.79646912430635,1.72143644390011,0.196617388065325,0.422232525337424,0.000370509827887543,0.489249007166316,0.294826612302631,0.811882581235665,0.258415028201586,0.0056676027104956,0.548990867975622,0.202435564120518,1.48882423120671,0.509019645912255,0.238758757252414,0.601271297342345,0.134845431563631,2.681048729761,0.762726806849112,0.504797042982152,1.02564775921298,1.00689932009229,1.04474529378189,0.00941279770965351,0.00713622795616638,0.906201479725123,0.522512354089765,1.5716396280937,0.28093018122512,0.725889812467935,0.654414825224391,0.377879415314545,1.13332122925243,0.280192037417426,0.130204171311586,1.26459114835541,0.807816265889948,1.97964665979717,0.228662113493743,0.304599910435467,6.69641464625749e-08,0.620348373825242,0.440542043088122,0.873542289426038,0.174633478659265,0.00625416115517915,0.56872053582957,0.287828775656792,1.12373423100666,0.347467297764747,0.10432715645973,0.550361769429888,0.167213990431708,1.81143979919374,0.607818032377786,0.325855010748855,1.02745197991115,1.01499044397085,1.04006651224557,0.00622599898281384,1.36253663795119e-05,0.996252551796378,0.723944090063043,1.37098867244619,0.162904333083304,0.981612628978482,0.8798417867853,0.62562461980703,1.2373579064269,0.173978483220084,0.461853094816195,1.25951816485868,0.958458209538345,1.65514363779416,0.139369171291617,0.0978179162272782
