"SYMBOL_UPPER","Overall_pvalue","Expression_coef_FF","Expression_Lower95_FF","Expression_Upper95_FF","Expression_SE_FF","Expression_pvalue_FF","Recurrence_Recurrent_coef_FF","Recurrence_Recurrent_Lower95_FF","Recurrence_Recurrent_Upper95_FF","Recurrence_Recurrent_SE_FF","Recurrence_Recurrent_pvalue_FF","Recurrence_Secondary_coef_FF","Recurrence_Secondary_Lower95_FF","Recurrence_Secondary_Upper95_FF","Recurrence_Secondary_SE_FF","Recurrence_Secondary_pvalue_FF","Age_coef_FF","Age_Lower95_FF","Age_Upper95_FF","Age_SE_FF","Age_pvalue_FF","Subtype_Mesenchymal_coef_FF","Subtype_Mesenchymal_Lower95_FF","Subtype_Mesenchymal_Upper95_FF","Subtype_Mesenchymal_SE_FF","Subtype_Mesenchymal_pvalue_FF","Subtype_Proneural_coef_FF","Subtype_Proneural_Lower95_FF","Subtype_Proneural_Upper95_FF","Subtype_Proneural_SE_FF","Subtype_Proneural_pvalue_FF","MGMT_Unmethylated_coef_FF","MGMT_Unmethylated_Lower95_FF","MGMT_Unmethylated_Upper95_FF","MGMT_Unmethylated_SE_FF","MGMT_Unmethylated_pvalue_FF"
"ZFX",0.00123545081676062,1.8666769736382,1.12754170807994,3.09033617021998,0.257208832034861,0.0152382931648628,0.342182150564717,0.124113967373883,0.943396030620587,0.517429387501787,0.0382116936073855,0.610440946292177,0.135922416266911,2.74155035750937,0.766390258351198,0.519559870773288,1.02936392227097,1.01068109782552,1.04839210583119,0.00934537704178724,0.00195600861630935,0.780311930994724,0.453551306037862,1.34248695031183,0.27683434946023,0.370218132870466,0.655757675561834,0.379702807633617,1.13251237655633,0.278781889077137,0.130127605173873,1.13608767176786,0.721560892787221,1.78875436687992,0.231600684296025,0.581697265879605
"KLF4",0.00148514356904684,1.33815015696294,1.04964935119485,1.70594669595289,0.123896166004761,0.0187196656450357,0.356581916806149,0.127510516952609,0.997177851928914,0.524685736642777,0.0493737042723314,0.497654574658391,0.110316941579348,2.24498678201923,0.768661420887851,0.363943868441802,1.03007053966026,1.01079197716055,1.04971679697794,0.00963952693559004,0.00211549052772889,0.743684016649764,0.429677969763028,1.28716377273275,0.279893008011055,0.290035504608458,0.680813269556711,0.394448635646735,1.17507494288714,0.278474064746903,0.167395446701338,1.31598103358667,0.839065098482721,2.06397106004227,0.229621263014274,0.231772381746231
"KLF9",0.00160642851875251,1.26307325954151,1.01064319991128,1.57855320167282,0.113757644566494,0.0400696773732459,0.70040532447245,0.24291002510977,2.01954455493417,0.540299772365306,0.509849980578563,0.566706571347432,0.127217703610654,2.52446262503881,0.762229229799734,0.456229810080001,1.03120281972249,1.0113030926533,1.05149411994151,0.00994213015321758,0.00199836466954835,0.972420439651536,0.547855865976885,1.72600417404672,0.292748250724301,0.923891755756393,0.889598372874921,0.480255845965945,1.64784098240383,0.314521657017344,0.709932789286332,1.29911310439293,0.826672083569368,2.04155298279625,0.23063126854768,0.256529200142454
"ZIC1",0.000150636108298617,0.812248214346972,0.720207601638941,0.916051372143936,0.0613615714539588,0.000701691206411349,0.216095438856131,0.0732946118200941,0.637116938541744,0.551659656803046,0.00548398510923473,0.62577222553992,0.142276508271071,2.75232280448653,0.755735337014748,0.535072313485123,1.02887099812303,1.01031912510519,1.0477635278541,0.00928376056070239,0.00217093977868717,0.725872418577706,0.418877859561097,1.25786253922308,0.280512753771626,0.253401498162523,0.635382415168351,0.368507696171331,1.0955288524489,0.277946663301274,0.102740681336448,1.21818222652766,0.780081011519604,1.90232541891656,0.227410950738165,0.385473623155461
"KLF5",0.00384389279762399,1.13020686733811,0.967828587930979,1.31982830318019,0.079134602269742,0.121925862990411,0.323125440459931,0.107651158076397,0.969892494777693,0.56079837972119,0.043959620723204,0.651385532997695,0.147885019064474,2.86914195422126,0.756476456501063,0.570955400729777,1.02569646321302,1.00705648168646,1.04468145906362,0.00935739486765885,0.00669950454405209,0.76857739650081,0.445236151222137,1.32673686265257,0.278544123784824,0.344677547696606,0.600845076076174,0.347331050875408,1.03939686513799,0.279626955632296,0.0684887213556241,1.1984407550119,0.769581161448285,1.86628820353472,0.2259889481888,0.423120903227043
"TCF7L1",0.000876298777128899,0.74425593504432,0.586024122608711,0.945211767704905,0.121953271942204,0.0154355316755411,0.378329014552962,0.139537571435748,1.02576561839133,0.50890237753551,0.056136372935519,0.869886069605308,0.197257482115054,3.83611189791021,0.75708144085928,0.853920150578239,1.02747318347847,1.00910003319867,1.04618086218965,0.0092061338871335,0.00324032969423628,0.633314077869624,0.35207902310706,1.13919516615419,0.299551843516505,0.127282209660172,0.652353845999918,0.378324667320239,1.12486860400952,0.277981836593148,0.124372548665775,1.39337132555323,0.884376618977287,2.19531318356103,0.231942268190951,0.15265666559701
"KLF10",0.00871039202788325,1.02831073547269,0.702918699538592,1.50433182298676,0.194101237553925,0.885635476552142,0.460541329184692,0.168659059400249,1.25755661534829,0.512521317157137,0.130325298016026,0.65501343793214,0.144349820451779,2.97224203347732,0.771655041119498,0.583484976699819,1.02665861135208,1.00782508117754,1.04584408936506,0.00944651959619489,0.005351190780828,0.79135395835718,0.446292080327987,1.40320905302049,0.292235841073515,0.423272270018134,0.630171497428257,0.362345822139919,1.09595886555476,0.282348522350184,0.101957428214769,1.24196874415808,0.796645566817506,1.93622663040433,0.226556829209459,0.338828131368989
"THAP1",0.00655497216665701,0.833872029719286,0.553585136561861,1.25607158867507,0.209016286516592,0.384742002380596,0.476449701435843,0.178183445266968,1.27399219191316,0.50181970481298,0.139565943510802,0.759891515866808,0.16380078466856,3.52522802045641,0.78293516161598,0.725809365195092,1.02817824556568,1.00874068609183,1.04799034997809,0.00973784995039915,0.00432183429862984,0.790912818796619,0.458910083841333,1.36310599606064,0.277726251322929,0.398334325982742,0.650416866752621,0.378223785233061,1.11849681874348,0.276600718276822,0.119922245328434,1.25967472798314,0.807734405295274,1.96448289179823,0.226726368219874,0.308581353778757
"KLF3",0.0064781829149152,1.28139535035831,0.746052043743258,2.20088405050325,0.275979315640409,0.368953442220702,0.438813171189491,0.162695462400053,1.18354253012845,0.506230536730193,0.103718449919383,0.613990498435467,0.136384450176719,2.76412986730202,0.767617021414779,0.525140411931317,1.0271951949344,1.00829144971332,1.04645335314141,0.00947706783536565,0.00463660391406985,0.802595171127159,0.466855276943393,1.37978307310584,0.276449534476139,0.426345357886362,0.619518551713422,0.358759162128976,1.06980748209886,0.278725193633834,0.085820995142409,1.20610986535403,0.770467904973258,1.88807476328922,0.228655973554358,0.412459743150026
"REST",0.000370509827887543,0.489249007166316,0.294826612302631,0.811882581235665,0.258415028201586,0.0056676027104956,0.548990867975622,0.202435564120518,1.48882423120671,0.509019645912255,0.238758757252414,0.601271297342345,0.134845431563631,2.681048729761,0.762726806849112,0.504797042982152,1.02564775921298,1.00689932009229,1.04474529378189,0.00941279770965351,0.00713622795616638,0.906201479725123,0.522512354089765,1.5716396280937,0.28093018122512,0.725889812467935,0.654414825224391,0.377879415314545,1.13332122925243,0.280192037417426,0.130204171311586,1.26459114835541,0.807816265889948,1.97964665979717,0.228662113493743,0.304599910435467
